,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,11:42:48.925853,11:42:49.135285,0 days 00:00:00.209432
1,2,200,0,11:42:52.160639,11:42:52.373201,0 days 00:00:00.212562
2,3,200,0,11:42:55.400225,11:42:55.610031,0 days 00:00:00.209806
3,4,200,0,11:42:58.641062,11:42:58.843612,0 days 00:00:00.202550
4,5,200,0,11:43:01.883286,11:43:02.092877,0 days 00:00:00.209591
5,6,200,0,11:43:05.116830,11:43:05.325945,0 days 00:00:00.209115
6,7,200,0,11:43:08.350054,11:43:08.559153,0 days 00:00:00.209099
7,8,200,0,11:43:11.592443,11:43:11.799423,0 days 00:00:00.206980
8,9,200,0,11:43:14.832522,11:43:15.042454,0 days 00:00:00.209932
9,10,200,0,11:43:18.085740,11:43:18.291627,0 days 00:00:00.205887
10,1,200,20,11:43:21.315450,11:43:21.531876,0 days 00:00:00.216426
11,2,200,20,11:43:24.567931,11:43:24.777196,0 days 00:00:00.209265
12,3,200,20,11:43:27.804822,11:43:28.008004,0 days 00:00:00.203182
13,4,200,20,11:43:31.031972,11:43:31.241626,0 days 00:00:00.209654
14,5,200,20,11:43:34.281622,11:43:34.490570,0 days 00:00:00.208948
15,6,200,20,11:43:37.514815,11:43:37.728364,0 days 00:00:00.213549
16,7,200,20,11:43:40.768221,11:43:40.976253,0 days 00:00:00.208032
17,8,200,20,11:43:44.007431,11:43:44.207584,0 days 00:00:00.200153
18,9,200,20,11:43:47.232147,11:43:47.440715,0 days 00:00:00.208568
19,10,200,20,11:43:50.473503,11:43:50.679938,0 days 00:00:00.206435
20,1,200,40,11:43:53.713592,11:43:53.927556,0 days 00:00:00.213964
21,2,200,40,11:43:56.966505,11:43:57.175059,0 days 00:00:00.208554
22,3,200,40,11:44:00.200131,11:44:00.406320,0 days 00:00:00.206189
23,4,200,40,11:44:03.430029,11:44:03.632766,0 days 00:00:00.202737
24,5,200,40,11:44:06.663090,11:44:06.872631,0 days 00:00:00.209541
25,6,200,40,11:44:09.912866,11:44:10.122403,0 days 00:00:00.209537
26,7,200,40,11:44:13.165403,11:44:13.366268,0 days 00:00:00.200865
27,8,200,40,11:44:16.400983,11:44:16.613800,0 days 00:00:00.212817
28,9,200,40,11:44:19.645761,11:44:19.855309,0 days 00:00:00.209548
29,10,200,40,11:44:22.881539,11:44:23.088539,0 days 00:00:00.207000
30,1,200,60,11:44:26.112394,11:44:26.328014,0 days 00:00:00.215620
31,2,200,60,11:44:29.361865,11:44:29.571862,0 days 00:00:00.209997
32,3,200,60,11:44:32.604779,11:44:32.812207,0 days 00:00:00.207428
33,4,200,60,11:44:35.844790,11:44:36.054647,0 days 00:00:00.209857
34,5,200,60,11:44:39.081523,11:44:39.290838,0 days 00:00:00.209315
35,6,200,60,11:44:42.328318,11:44:42.541451,0 days 00:00:00.213133
36,7,200,60,11:44:45.580737,11:44:45.790584,0 days 00:00:00.209847
37,8,200,60,11:44:48.828247,11:44:49.041035,0 days 00:00:00.212788
38,9,200,60,11:44:52.079263,11:44:52.287497,0 days 00:00:00.208234
39,10,200,60,11:44:55.327598,11:44:55.541149,0 days 00:00:00.213551
40,1,200,80,11:44:58.587547,11:44:58.806701,0 days 00:00:00.219154
41,2,200,80,11:45:01.843857,11:45:02.054025,0 days 00:00:00.210168
42,3,200,80,11:45:05.092623,11:45:05.305746,0 days 00:00:00.213123
43,4,200,80,11:45:08.336890,11:45:08.543453,0 days 00:00:00.206563
44,5,200,80,11:45:11.570026,11:45:11.770151,0 days 00:00:00.200125
45,6,200,80,11:45:14.802281,11:45:15.002530,0 days 00:00:00.200249
46,7,200,80,11:45:18.045846,11:45:18.246360,0 days 00:00:00.200514
47,8,200,80,11:45:21.276305,11:45:21.489823,0 days 00:00:00.213518
48,9,200,80,11:45:24.527919,11:45:24.742751,0 days 00:00:00.214832
49,10,200,80,11:45:27.775699,11:45:27.988613,0 days 00:00:00.212914
50,1,200,100,11:45:31.025592,11:45:31.238576,0 days 00:00:00.212984
51,2,200,100,11:45:34.268078,11:45:34.474664,0 days 00:00:00.206586
52,3,200,100,11:45:37.508805,11:45:37.718498,0 days 00:00:00.209693
53,4,200,100,11:45:40.758872,11:45:40.968555,0 days 00:00:00.209683
54,5,200,100,11:45:44.008295,11:45:44.211830,0 days 00:00:00.203535
55,6,200,100,11:45:47.241012,11:45:47.450796,0 days 00:00:00.209784
56,7,200,100,11:45:50.471519,11:45:50.677528,0 days 00:00:00.206009
57,8,200,100,11:45:53.700752,11:45:53.901586,0 days 00:00:00.200834
58,9,200,100,11:45:56.923212,11:45:57.129699,0 days 00:00:00.206487
59,10,200,100,11:46:00.158800,11:46:00.360541,0 days 00:00:00.201741
