,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,500,0,12:42:33.431389,12:42:33.939345,0 days 00:00:00.507956
1,2,500,0,12:42:36.973588,12:42:37.478189,0 days 00:00:00.504601
2,3,500,0,12:42:40.515936,12:42:41.025312,0 days 00:00:00.509376
3,4,500,0,12:42:44.045707,12:42:44.555203,0 days 00:00:00.509496
4,5,500,0,12:42:47.584177,12:42:48.099013,0 days 00:00:00.514836
5,6,500,0,12:42:51.125913,12:42:51.631616,0 days 00:00:00.505703
6,7,500,0,12:42:54.662167,12:42:55.180315,0 days 00:00:00.518148
7,8,500,0,12:42:58.200947,12:42:58.709864,0 days 00:00:00.508917
8,9,500,0,12:43:01.737924,12:43:02.247128,0 days 00:00:00.509204
9,10,500,0,12:43:05.270723,12:43:05.777966,0 days 00:00:00.507243
10,1,500,20,12:43:08.816265,12:43:09.325048,0 days 00:00:00.508783
11,2,500,20,12:43:12.356087,12:43:12.861719,0 days 00:00:00.505632
12,3,500,20,12:43:15.899023,12:43:16.407619,0 days 00:00:00.508596
13,4,500,20,12:43:19.434775,12:43:19.935290,0 days 00:00:00.500515
14,5,500,20,12:43:22.958656,12:43:23.467690,0 days 00:00:00.509034
15,6,500,20,12:43:26.504493,12:43:27.012637,0 days 00:00:00.508144
16,7,500,20,12:43:30.042058,12:43:30.559799,0 days 00:00:00.517741
17,8,500,20,12:43:33.639091,12:43:34.146917,0 days 00:00:00.507826
18,9,500,20,12:43:37.168410,12:43:37.676781,0 days 00:00:00.508371
19,10,500,20,12:43:40.725720,12:43:41.234884,0 days 00:00:00.509164
20,1,500,40,12:43:44.259518,12:43:44.766180,0 days 00:00:00.506662
21,2,500,40,12:43:47.807284,12:43:48.317003,0 days 00:00:00.509719
22,3,500,40,12:43:51.365678,12:43:51.865961,0 days 00:00:00.500283
23,4,500,40,12:43:54.903977,12:43:55.413318,0 days 00:00:00.509341
24,5,500,40,12:43:58.441501,12:43:58.950220,0 days 00:00:00.508719
25,6,500,40,12:44:01.975676,12:44:02.482441,0 days 00:00:00.506765
26,7,500,40,12:44:05.517625,12:44:06.024461,0 days 00:00:00.506836
27,8,500,40,12:44:09.061344,12:44:09.570208,0 days 00:00:00.508864
28,9,500,40,12:44:12.614069,12:44:13.121260,0 days 00:00:00.507191
29,10,500,40,12:44:16.146672,12:44:16.655388,0 days 00:00:00.508716
30,1,500,60,12:44:19.676794,12:44:20.194860,0 days 00:00:00.518066
31,2,500,60,12:44:23.217432,12:44:23.727032,0 days 00:00:00.509600
32,3,500,60,12:44:26.753529,12:44:27.260970,0 days 00:00:00.507441
33,4,500,60,12:44:30.297147,12:44:30.853993,0 days 00:00:00.556846
34,5,500,60,12:44:33.903852,12:44:34.410315,0 days 00:00:00.506463
35,6,500,60,12:44:37.437248,12:44:37.945842,0 days 00:00:00.508594
36,7,500,60,12:44:40.974470,12:44:41.493015,0 days 00:00:00.518545
37,8,500,60,12:44:44.521619,12:44:45.029309,0 days 00:00:00.507690
38,9,500,60,12:44:48.049966,12:44:48.618192,0 days 00:00:00.568226
39,10,500,60,12:44:51.646821,12:44:52.156432,0 days 00:00:00.509611
40,1,500,80,12:44:55.179171,12:44:55.689027,0 days 00:00:00.509856
41,2,500,80,12:44:58.719450,12:44:59.220915,0 days 00:00:00.501465
42,3,500,80,12:45:02.242264,12:45:02.749674,0 days 00:00:00.507410
43,4,500,80,12:45:05.774374,12:45:06.281922,0 days 00:00:00.507548
44,5,500,80,12:45:09.310868,12:45:09.811302,0 days 00:00:00.500434
45,6,500,80,12:45:12.844054,12:45:13.351272,0 days 00:00:00.507218
46,7,500,80,12:45:16.381448,12:45:16.889799,0 days 00:00:00.508351
47,8,500,80,12:45:19.916082,12:45:20.424126,0 days 00:00:00.508044
48,9,500,80,12:45:23.446021,12:45:23.954720,0 days 00:00:00.508699
49,10,500,80,12:45:26.978877,12:45:27.486389,0 days 00:00:00.507512
50,1,500,100,12:45:30.511177,12:45:31.020165,0 days 00:00:00.508988
51,2,500,100,12:45:34.049920,12:45:34.559350,0 days 00:00:00.509430
52,3,500,100,12:45:37.592029,12:45:38.097677,0 days 00:00:00.505648
53,4,500,100,12:45:41.121482,12:45:41.634217,0 days 00:00:00.512735
54,5,500,100,12:45:44.659241,12:45:45.168359,0 days 00:00:00.509118
55,6,500,100,12:45:48.198943,12:45:48.706918,0 days 00:00:00.507975
56,7,500,100,12:45:51.729803,12:45:52.236961,0 days 00:00:00.507158
57,8,500,100,12:45:55.257365,12:45:55.764532,0 days 00:00:00.507167
58,9,500,100,12:45:58.788608,12:45:59.296500,0 days 00:00:00.507892
59,10,500,100,12:46:02.335310,12:46:02.842637,0 days 00:00:00.507327
