,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,13:59:00.661787,13:59:00.780630,0 days 00:00:00.118843
1,2,100,0,13:59:03.803085,13:59:03.908436,0 days 00:00:00.105351
2,3,100,0,13:59:06.936431,13:59:07.043953,0 days 00:00:00.107522
3,4,100,0,13:59:10.064989,13:59:10.174567,0 days 00:00:00.109578
4,5,100,0,13:59:13.199913,13:59:13.307924,0 days 00:00:00.108011
5,6,100,0,13:59:16.328903,13:59:16.435349,0 days 00:00:00.106446
6,7,100,0,13:59:19.463961,13:59:19.568857,0 days 00:00:00.104896
7,8,100,0,13:59:22.598183,13:59:22.698804,0 days 00:00:00.100621
8,9,100,0,13:59:25.738190,13:59:25.847775,0 days 00:00:00.109585
9,10,100,0,13:59:28.875194,13:59:28.975355,0 days 00:00:00.100161
10,1,100,20,13:59:32.002287,13:59:32.102539,0 days 00:00:00.100252
11,2,100,20,13:59:35.127515,13:59:35.238921,0 days 00:00:00.111406
12,3,100,20,13:59:38.278257,13:59:38.378766,0 days 00:00:00.100509
13,4,100,20,13:59:41.404086,13:59:41.511318,0 days 00:00:00.107232
14,5,100,20,13:59:44.546539,13:59:44.648291,0 days 00:00:00.101752
15,6,100,20,13:59:47.671680,13:59:47.776729,0 days 00:00:00.105049
16,7,100,20,13:59:50.803353,13:59:50.919537,0 days 00:00:00.116184
17,8,100,20,13:59:53.955762,13:59:54.057317,0 days 00:00:00.101555
18,9,100,20,13:59:57.086156,13:59:57.196266,0 days 00:00:00.110110
19,10,100,20,14:00:00.220753,14:00:00.346690,0 days 00:00:00.125937
20,1,100,40,14:00:03.388871,14:00:03.496779,0 days 00:00:00.107908
21,2,100,40,14:00:06.535974,14:00:06.636482,0 days 00:00:00.100508
22,3,100,40,14:00:09.669013,14:00:09.778464,0 days 00:00:00.109451
23,4,100,40,14:00:12.805421,14:00:12.911630,0 days 00:00:00.106209
24,5,100,40,14:00:15.951931,14:00:16.053799,0 days 00:00:00.101868
25,6,100,40,14:00:19.087406,14:00:19.193697,0 days 00:00:00.106291
26,7,100,40,14:00:22.219163,14:00:22.328012,0 days 00:00:00.108849
27,8,100,40,14:00:25.351510,14:00:25.461007,0 days 00:00:00.109497
28,9,100,40,14:00:28.504655,14:00:28.610541,0 days 00:00:00.105886
29,10,100,40,14:00:31.634301,14:00:31.744007,0 days 00:00:00.109706
30,1,100,60,14:00:34.767855,14:00:34.877520,0 days 00:00:00.109665
31,2,100,60,14:00:37.910240,14:00:38.010264,0 days 00:00:00.100024
32,3,100,60,14:00:41.033812,14:00:41.143275,0 days 00:00:00.109463
33,4,100,60,14:00:44.167017,14:00:44.276512,0 days 00:00:00.109495
34,5,100,60,14:00:47.300287,14:00:47.410869,0 days 00:00:00.110582
35,6,100,60,14:00:50.450516,14:00:50.560279,0 days 00:00:00.109763
36,7,100,60,14:00:53.602341,14:00:53.709130,0 days 00:00:00.106789
37,8,100,60,14:00:56.733134,14:00:56.842711,0 days 00:00:00.109577
38,9,100,60,14:00:59.867150,14:00:59.975905,0 days 00:00:00.108755
39,10,100,60,14:01:03.016481,14:01:03.120467,0 days 00:00:00.103986
40,1,100,80,14:01:06.150487,14:01:06.259545,0 days 00:00:00.109058
41,2,100,80,14:01:09.298981,14:01:09.408550,0 days 00:00:00.109569
42,3,100,80,14:01:12.451346,14:01:12.554046,0 days 00:00:00.102700
43,4,100,80,14:01:15.583499,14:01:15.692956,0 days 00:00:00.109457
44,5,100,80,14:01:18.734305,14:01:18.835674,0 days 00:00:00.101369
45,6,100,80,14:01:21.865080,14:01:21.974778,0 days 00:00:00.109698
46,7,100,80,14:01:25.018145,14:01:25.125360,0 days 00:00:00.107215
47,8,100,80,14:01:28.148906,14:01:28.257656,0 days 00:00:00.108750
48,9,100,80,14:01:31.301275,14:01:31.415001,0 days 00:00:00.113726
49,10,100,80,14:01:34.451282,14:01:34.557916,0 days 00:00:00.106634
50,1,100,100,14:01:37.581052,14:01:37.690580,0 days 00:00:00.109528
51,2,100,100,14:01:40.727000,14:01:40.835489,0 days 00:00:00.108489
52,3,100,100,14:01:43.856644,14:01:43.960362,0 days 00:00:00.103718
53,4,100,100,14:01:46.984874,14:01:47.086943,0 days 00:00:00.102069
54,5,100,100,14:01:50.121882,14:01:50.225061,0 days 00:00:00.103179
55,6,100,100,14:01:53.251464,14:01:53.356617,0 days 00:00:00.105153
56,7,100,100,14:01:56.390097,14:01:56.491010,0 days 00:00:00.100913
57,8,100,100,14:01:59.531529,14:01:59.640258,0 days 00:00:00.108729
58,9,100,100,14:02:02.670088,14:02:02.776075,0 days 00:00:00.105987
59,10,100,100,14:02:05.796070,14:02:05.913296,0 days 00:00:00.117226
