Investigator		Time (s)	Electrode	Amplitude (mV)
		4.13536	B4_21	0.598
		4.1368	B4_42	0.03
		4.13832	B4_21	0.032
		4.13912	B4_42	0.071
		4.1408	B4_21	0.031
		4.14312	B4_42	0.054
		4.14664	B4_21	0.651
		4.14704	B4_22	0.03
		4.1472	B4_42	0.018
		4.14944	B4_21	0.053
		4.14952	B4_42	0.05
		4.1524	B4_21	0.584
		4.15256	B4_42	0.034
		4.1548	B4_42	0.032
		4.15488	B4_21	0.117
		4.15712	B4_21	0.29
		4.15744	B4_13	0.023
		4.15752	B4_42	0.022
		4.16112	B4_13	0.029
		4.16208	B4_22	0.03
		4.1624	B4_21	0.575
		4.16552	B4_42	0.061
		4.16576	B4_21	0.046
		4.16808	B4_21	0.546
		4.16808	B4_42	0.018
		4.16968	B4_34	0.017
		4.17072	B4_42	0.053
		4.1708	B4_21	0.123
		4.17208	B4_22	0.029
		4.17384	B4_21	0.534
		4.17456	B4_42	0.02
		4.17648	B4_21	0.093
		4.17696	B4_42	0.017
		4.17728	B4_22	0.034
		4.17832	B4_13	0.028
		4.1792	B4_42	0.062
		4.1796	B4_34	0.018
		4.18152	B4_42	0.01
		4.1816	B4_21	0.018
		4.18504	B4_42	0.049
		4.18536	B4_21	0.174
		4.18536	B4_22	0.026
		4.1864	B4_13	0.021
		4.18824	B4_34	0.117
		4.18904	B4_21	0.037
		4.19064	B4_42	0.027
		4.19232	B4_21	0.477
		4.19256	B4_34	0.027
		4.19288	B4_43	0.013
		4.19472	B4_21	0.319
		4.19496	B4_22	0.026
		4.1952	B4_13	0.045
		4.19544	B4_42	0.046
		4.19744	B4_21	0.086
		4.1976	B4_23	0.015
		4.198	B4_42	0.02
		4.19952	B4_22	0.029
		4.20088	B4_21	0.033
		4.20288	B4_34	0.019
		4.20304	B4_42	0.048
		4.20336	B4_21	0.177
		4.20472	B4_22	0.023
		4.20584	B4_21	0.038
		4.20936	B4_21	0.516
		4.21	B4_42	0.05
		4.212	B4_21	0.033
		4.2148	B4_21	0.536
		4.21528	B4_34	0.02
		4.21576	B4_42	0.01
		4.21688	B4_13	0.027
		4.21712	B4_21	0.019
		4.21856	B4_42	0.06
		4.2192	B4_22	0.026
		4.22192	B4_42	0.025
		4.2256	B4_21	0.536
		4.22808	B4_21	0.036
		4.23088	B4_21	0.674
		4.23312	B4_21	0.029
		4.23384	B4_13	0.027
		4.23552	B4_42	0.018
		4.23568	B4_21	0.103
		4.238	B4_34	0.022
		4.23896	B4_22	0.031
		4.24056	B4_21	0.025
		4.24104	B4_13	0.023
		4.2416	B4_23	0.015
		4.24368	B4_21	0.455
		4.246	B4_22	0.029
		4.24664	B4_21	0.418
		4.24856	B4_42	0.02
		4.25016	B4_21	0.014
		4.2512	B4_34	0.02
		4.2512	B4_42	0.013
		4.25264	B4_21	0.232
		4.2532	B4_22	0.029
		4.2536	B4_42	0.04
		4.25568	B4_21	0.022
		4.25704	B4_42	0.022
		4.25912	B4_21	0.097
		4.25984	B4_42	0.019
		4.2616	B4_34	0.101
		4.2624	B4_21	0.491
		4.26768	B4_21	0.036
		4.27	B4_21	0.26
		4.27336	B4_21	0.03
		4.27576	B4_42	0.073
		4.27808	B4_42	0.019
		4.27824	B4_34	0.023
		4.28224	B4_43	0.017
		4.28336	B4_21	0.55
		4.28624	B4_21	0.021
		4.29288	B4_21	0.059
		4.2968	B4_21	0.013
		4.30704	B4_22	0.034
		4.3264	B4_21	0.582
		4.3276	B4_22	0.029
		4.3284	B4_42	0.019
		4.32872	B4_21	0.025
		4.33208	B4_21	0.468
		4.33392	B4_42	0.029
		4.3356	B4_21	0.039
		4.33888	B4_21	0.577
		4.3396	B4_34	0.021
		4.34	B4_22	0.032
		4.34008	B4_42	0.078
		4.34168	B4_13	0.025
		4.34168	B4_21	0.018
		4.34248	B4_42	0.015
		4.3448	B4_21	0.504
		4.34552	B4_42	0.025
		4.3456	B4_22	0.028
		4.34736	B4_21	0.376
		4.348	B4_42	0.044
		4.3488	B4_13	0.023
		4.35032	B4_42	0.021
		4.3508	B4_22	0.028
		4.3512	B4_21	0.023
		4.35144	B4_34	0.097
		4.35432	B4_42	0.058
		4.35456	B4_34	0.014
		4.3572	B4_42	0.015
		4.35752	B4_22	0.029
		4.35776	B4_21	0.542
		4.36032	B4_21	0.02
		4.36056	B4_42	0.026
		4.36304	B4_21	0.162
		4.36408	B4_22	0.033
		4.36408	B4_42	0.013
		4.36528	B4_21	0.541
		4.3676	B4_21	0.014
		4.37008	B4_42	0.047
		4.3704	B4_34	0.022
		4.37136	B4_22	0.026
		4.374	B4_21	0.598
		4.37712	B4_21	0.035
		4.37832	B4_42	0.059
		4.37992	B4_21	0.523
		4.38264	B4_21	0.037
		4.38488	B4_21	0.031
		4.38688	B4_42	0.037
		4.3872	B4_21	0.072
		4.38816	B4_22	0.031
		4.39064	B4_21	0.021
		4.39328	B4_21	0.215
		4.39568	B4_42	0.022
		4.39728	B4_21	0.044
		4.3988	B4_23	0.013
		4.4008	B4_21	0.538
		4.40328	B4_21	0.022
		4.40344	B4_42	0.034
		4.406	B4_21	0.433
		4.40608	B4_42	0.024
		4.40752	B4_22	0.035
		4.40904	B4_21	0.04
		4.41168	B4_21	0.49
		4.41336	B4_13	0.023
		4.41488	B4_21	0.026
		4.41744	B4_21	0.157
		4.41992	B4_21	0.017
		4.42288	B4_22	0.031
		4.42296	B4_21	0.439
		4.42528	B4_21	0.08
		4.4256	B4_13	0.028
		4.42688	B4_42	0.062
		4.428	B4_21	0.384
		4.42944	B4_22	0.029
		4.432	B4_21	0.034
		4.43472	B4_22	0.029
		4.43648	B4_42	0.057
		4.44072	B4_22	0.032
		4.4416	B4_21	0.021
		4.44192	B4_42	0.016
		4.448	B4_21	0.591
		4.44888	B4_42	0.014
		4.44976	B4_22	0.032
		4.45048	B4_21	0.271
		4.45152	B4_42	0.019
		4.45448	B4_21	0.089
		4.45504	B4_34	0.019
		4.456	B4_42	0.054
		4.45792	B4_22	0.031
		4.45848	B4_21	0.352
		4.46096	B4_24	0.015
		4.46216	B4_21	0.021
		4.46504	B4_21	0.513
		4.46752	B4_22	0.032
		4.4676	B4_21	0.032
		4.46848	B4_42	0.052
		4.47064	B4_21	0.079
		4.47088	B4_42	0.012
		4.47368	B4_21	0.027
		4.47376	B4_42	0.014
		4.4776	B4_42	0.045
		4.49	B4_21	0.564
		4.4924	B4_21	0.031
		4.49496	B4_21	0.023
		4.57528	B4_22	0.04
		4.58512	B4_42	0.087
		4.58736	B4_42	0.01
		4.5896	B4_22	0.027
		4.5972	B4_34	0.111
		4.6	B4_42	0.079
		4.60256	B4_42	0.013
		4.60872	B4_42	0.063
		4.62008	B4_42	0.064
		4.62944	B4_42	0.052
		4.63376	B4_22	0.037
		4.63768	B4_42	0.044
		4.64056	B4_42	0.014
		4.64104	B4_21	0.022
		4.64792	B4_42	0.047
		4.65016	B4_42	0.011
		4.69128	B4_22	0.041
		4.75712	B4_42	0.084
		4.75936	B4_42	0.011
		4.766	B4_22	0.041
		4.8224	B4_42	0.087
		4.83664	B4_42	0.078
		4.84544	B4_42	0.069
		4.85184	B4_42	0.054
		4.85496	B4_42	0.014
		4.85856	B4_42	0.051
		4.86104	B4_42	0.011
		4.86536	B4_42	0.043
		4.87256	B4_42	0.035
		4.87928	B4_42	0.026
		4.88672	B4_42	0.027
		4.89536	B4_42	0.03
		4.90536	B4_42	0.025
		4.91624	B4_42	0.037
		4.91856	B4_22	0.042
		6.04008	B4_42	0.038
		6.07232	B4_42	0.033
		6.08832	B4_42	0.019
		6.09976	B4_42	0.022
		6.11368	B4_42	0.017
		6.13456	B4_42	0.097
		6.13816	B4_42	0.02
		6.15072	B4_21	0.169
		6.15336	B4_21	0.017
		6.15336	B4_42	0.087
		6.15568	B4_42	0.032
		6.15848	B4_42	0.074
		6.1592	B4_34	0.021
		6.15944	B4_21	0.033
		6.16192	B4_21	0.049
		6.1648	B4_21	0.025
		6.16856	B4_21	0.042
		6.16856	B4_42	0.076
		6.17128	B4_42	0.029
		6.17496	B4_21	0.451
		6.1752	B4_42	0.012
		6.17752	B4_42	0.038
		6.17832	B4_21	0.022
		6.17984	B4_42	0.016
		6.18088	B4_21	0.643
		6.18352	B4_21	0.051
		6.18432	B4_42	0.033
		6.18592	B4_21	0.568
		6.18824	B4_21	0.023
		6.18952	B4_42	0.038
		6.19184	B4_21	0.012
		6.19192	B4_22	0.033
		6.19256	B4_42	0.012
		6.19432	B4_21	0.607
		6.19768	B4_21	0.034
		6.20008	B4_21	0.552
		6.2008	B4_42	0.027
		6.20232	B4_21	0.048
		6.20312	B4_42	0.065
		6.20664	B4_21	0.032
		6.20728	B4_42	0.067
		6.21064	B4_21	0.022
		6.2132	B4_21	0.377
		6.21568	B4_22	0.03
		6.21664	B4_42	0.037
		6.21672	B4_21	0.039
		6.2192	B4_34	0.019
		6.22072	B4_21	0.034
		6.22304	B4_42	0.032
		6.22712	B4_21	0.587
		6.22936	B4_21	0.026
		6.23144	B4_22	0.021
		6.23848	B4_21	0.021
		6.23976	B4_34	0.017
		6.24032	B4_42	0.024
		6.25096	B4_22	0.028
		6.25416	B4_21	0.609
		6.25712	B4_21	0.143
		6.26064	B4_22	0.034
		6.26176	B4_13	0.022
		6.26312	B4_21	0.034
		6.26528	B4_42	0.076
		6.2656	B4_32	0.014
		6.26584	B4_22	0.031
		6.26712	B4_13	0.031
		6.26712	B4_21	0.02
		6.26872	B4_42	0.02
		6.27192	B4_21	0.109
		6.2728	B4_22	0.033
		6.27688	B4_21	0.555
		6.2776	B4_42	0.082
		6.27968	B4_21	0.027
		6.28024	B4_42	0.016
		6.28736	B4_21	0.584
		6.28968	B4_21	0.099
		6.28984	B4_42	0.063
		6.29304	B4_42	0.031
		6.29424	B4_21	0.36
		6.29576	B4_42	0.061
		6.29776	B4_21	0.023
		6.29816	B4_34	0.019
		6.30008	B4_21	0.367
		6.30232	B4_21	0.256
		6.312	B4_21	0.03
		6.31256	B4_42	0.072
		6.31696	B4_42	0.013
		6.3228	B4_42	0.027
		6.32976	B4_21	0.029
		6.3328	B4_21	0.549
		6.3344	B4_42	0.08
		6.33544	B4_21	0.035
		6.3392	B4_42	0.017
		6.3416	B4_34	0.017
		6.34424	B4_22	0.039
		6.34792	B4_42	0.058
		6.36176	B4_42	0.069
		6.3644	B4_42	0.012
		7.60336	B4_42	0.034
		7.61768	B4_21	0.169
		7.62008	B4_21	0.014
		7.62248	B4_22	0.014
		7.624	B4_42	0.025
		7.65136	B4_21	0.048
		7.65464	B4_21	0.023
		7.6588	B4_21	0.035
		7.66144	B4_21	0.188
		7.66416	B4_21	0.617
		7.66424	B4_42	0.101
		7.6664	B4_21	0.042
		7.66664	B4_42	0.028
		7.67056	B4_42	0.088
		7.67136	B4_21	0.027
		7.6736	B4_42	0.019
		7.67568	B4_21	0.147
		7.67624	B4_42	0.049
		7.67912	B4_42	0.068
		7.68008	B4_21	0.022
		7.68192	B4_34	0.02
		7.68256	B4_21	0.02
		7.68512	B4_21	0.57
		7.68816	B4_21	0.058
		7.68872	B4_42	0.096
		7.69144	B4_21	0.574
		7.69208	B4_42	0.034
		7.69488	B4_21	0.011
		7.69488	B4_42	0.062
		7.69616	B4_13	0.026
		7.69712	B4_21	0.607
		7.6992	B4_13	0.019
		7.70008	B4_22	0.033
		7.70088	B4_21	0.581
		7.70128	B4_42	0.068
		7.70416	B4_21	0.037
		7.70424	B4_22	0.033
		7.70656	B4_34	0.134
		7.70704	B4_21	0.557
		7.70704	B4_42	0.06
		7.70832	B4_23	0.014
		7.7096	B4_34	0.011
		7.71	B4_21	0.05
		7.71448	B4_21	0.419
		7.71536	B4_42	0.058
		7.71816	B4_21	0.137
		7.71848	B4_22	0.03
		7.72096	B4_21	0.025
		7.72272	B4_42	0.038
		7.72296	B4_13	0.018
		7.72344	B4_21	0.561
		7.72384	B4_22	0.021
		7.7256	B4_34	0.017
		7.726	B4_21	0.502
		7.7272	B4_42	0.033
		7.72912	B4_13	0.028
		7.72912	B4_21	0.035
		7.72968	B4_42	0.042
		7.73	B4_22	0.029
		7.732	B4_42	0.011
		7.73208	B4_21	0.374
		7.73456	B4_42	0.022
		7.73568	B4_21	0.021
		7.73576	B4_22	0.021
		7.73784	B4_13	0.037
		7.73784	B4_43	0.014
		7.73816	B4_34	0.019
		7.73872	B4_21	0.577
		7.74064	B4_42	0.018
		7.74128	B4_21	0.033
		7.74424	B4_21	0.622
		7.74432	B4_42	0.026
		7.74472	B4_22	0.03
		7.74744	B4_21	0.03
		7.7476	B4_42	0.028
		7.75032	B4_21	0.555
		7.75104	B4_34	0.021
		7.75344	B4_21	0.026
		7.75592	B4_21	0.489
		7.75712	B4_42	0.033
		7.7588	B4_21	0.329
		7.7604	B4_42	0.018
		7.76248	B4_22	0.033
		7.76264	B4_21	0.03
		7.76336	B4_42	0.029
		7.76608	B4_42	0.018
		7.76784	B4_21	0.59
		7.76864	B4_42	0.023
		7.77016	B4_21	0.049
		7.77088	B4_42	0.057
		7.77336	B4_21	0.097
		7.77368	B4_13	0.035
		7.77368	B4_42	0.014
		7.77456	B4_22	0.035
		7.7788	B4_21	0.106
		7.7788	B4_22	0.019
		7.7792	B4_23	0.015
		7.7792	B4_42	0.021
		7.78112	B4_21	0.307
		7.7812	B4_43	0.018
		7.78448	B4_21	0.018
		7.78672	B4_34	0.109
		7.78752	B4_21	0.468
		7.78752	B4_22	0.026
		7.78792	B4_42	0.015
		7.79	B4_21	0.033
		7.79304	B4_21	0.433
		7.794	B4_13	0.027
		7.7944	B4_43	0.02
		7.79592	B4_21	0.02
		7.79872	B4_21	0.036
		7.79944	B4_13	0.025
		7.8004	B4_22	0.029
		7.80112	B4_21	0.399
		7.80272	B4_42	0.085
		7.80344	B4_21	0.022
		7.80592	B4_21	0.479
		7.80664	B4_22	0.031
		7.80704	B4_34	0.018
		7.8088	B4_21	0.027
		7.81144	B4_22	0.031
		7.81752	B4_21	0.526
		7.82	B4_21	0.025
		7.82128	B4_22	0.029
		7.82152	B4_34	0.021
		7.82256	B4_21	0.147
		7.82592	B4_21	0.01
		7.82992	B4_21	0.03
		7.83216	B4_21	0.505
		7.83408	B4_42	0.078
		7.83456	B4_21	0.021
		7.83632	B4_42	0.013
		7.846	B4_13	0.023
		7.84944	B4_22	0.036
		7.85168	B4_21	0.57
		7.85432	B4_21	0.026
		7.85664	B4_21	0.475
		7.85984	B4_21	0.055
		7.86448	B4_22	0.033
		7.86456	B4_42	0.082
		7.86576	B4_21	0.543
		7.868	B4_21	0.146
		7.87064	B4_42	0.025
		7.87072	B4_21	0.037
		7.87344	B4_42	0.021
		7.87448	B4_21	0.5
		7.87576	B4_42	0.058
		7.87696	B4_21	0.419
		7.87776	B4_22	0.031
		7.87968	B4_21	0.018
		7.88048	B4_34	0.114
		7.8832	B4_34	0.009
		7.8848	B4_21	0.353
		7.88568	B4_22	0.03
		7.88704	B4_13	0.017
		7.88832	B4_21	0.028
		7.89096	B4_22	0.031
		7.89864	B4_21	0.607
		7.90104	B4_21	0.033
		7.90192	B4_42	0.068
		7.90416	B4_42	0.013
		7.9096	B4_42	0.057
		7.91128	B4_22	0.035
		7.92456	B4_22	0.032
		7.93072	B4_13	0.025
		7.93096	B4_21	0.023
		7.93336	B4_21	0.075
		7.936	B4_22	0.03
		7.93696	B4_13	0.025
		7.93728	B4_21	0.035
		7.93952	B4_21	0.684
		7.94016	B4_34	0.015
		7.94072	B4_13	0.024
		7.94248	B4_21	0.037
		7.9444	B4_42	0.071
		7.946	B4_21	0.348
		7.9464	B4_22	0.028
		7.94704	B4_42	0.012
		7.94712	B4_13	0.026
		7.94952	B4_21	0.031
		7.95264	B4_42	0.068
		7.95344	B4_21	0.305
		7.9568	B4_21	0.269
		7.95784	B4_42	0.059
		7.958	B4_22	0.035
		7.96064	B4_21	0.022
		7.9608	B4_13	0.022
		7.9632	B4_21	0.447
		7.9644	B4_13	0.019
		7.96456	B4_42	0.046
		7.96544	B4_22	0.031
		7.96632	B4_21	0.013
		7.96752	B4_13	0.02
		7.96816	B4_42	0.018
		7.97024	B4_22	0.03
		7.97048	B4_21	0.039
		7.9736	B4_21	0.481
		7.97632	B4_21	0.037
		7.9772	B4_13	0.023
		7.97816	B4_42	0.053
		7.97944	B4_22	0.028
		7.98048	B4_42	0.017
		7.98296	B4_21	0.558
		7.98408	B4_42	0.015
		7.98608	B4_21	0.025
		7.98648	B4_42	0.017
		7.99072	B4_42	0.056
		7.99624	B4_21	0.546
		7.99872	B4_21	0.034
		8.00048	B4_22	0.032
		8.0048	B4_22	0.028
		8.00496	B4_21	0.152
		8.00752	B4_21	0.008
		8.00872	B4_13	0.023
		8.01176	B4_21	0.554
		8.0144	B4_22	0.029
		8.02048	B4_21	0.157
		8.02416	B4_22	0.029
		8.0244	B4_21	0.017
		8.02688	B4_34	0.021
		8.02704	B4_21	0.037
		8.0304	B4_22	0.021
		8.03176	B4_21	0.548
		8.03424	B4_21	0.018
		8.03624	B4_42	0.07
		8.03832	B4_21	0.027
		8.03888	B4_22	0.03
