Investigator;;Time (s);Electrode;Amplitude (mV)
;;1.85528;B3_42;0.023
;;1.85544;B3_22;0.06
;;1.85576;B3_24;0.022
;;1.85688;B3_34;0.014
;;1.858;B3_23;0.032
;;1.85824;B3_13;0.036
;;1.85856;B3_42;0.076
;;1.85888;B3_12;0.055
;;1.85888;B3_44;0.015
;;1.85976;B3_31;0.016
;;1.86024;B3_33;0.023
;;1.86144;B3_12;0.081
;;1.86232;B3_42;0.013
;;1.86264;B3_14;0.017
;;1.8628;B3_24;0.028
;;1.86456;B3_23;0.018
;;1.86552;B3_24;0.112
;;1.86576;B3_31;0.019
;;1.86672;B3_42;0.058
;;1.86704;B3_12;0.02
;;1.86952;B3_23;0.032
;;1.87088;B3_42;0.016
;;1.87232;B3_23;0.023
;;1.8736;B3_31;0.02
;;1.87496;B3_23;0.012
;;1.8788;B3_24;0.025
;;1.87944;B3_42;0.045
;;1.88264;B3_42;0.008
;;1.88504;B3_12;0.018
;;1.88592;B3_23;0.029
;;1.88696;B3_44;0.015
;;1.88776;B3_42;0.014
;;1.8896;B3_14;0.017
;;1.88976;B3_23;0.024
;;1.8924;B3_23;0.013
;;1.89688;B3_12;0.159
;;1.89808;B3_24;0.136
;;1.8984;B3_42;0.014
;;1.8996;B3_34;0.035
;;1.90024;B3_12;0.038
;;1.90032;B3_24;0.062
;;1.90072;B3_13;0.024
;;1.90184;B3_42;0.026
;;1.90216;B3_33;0.022
;;1.90312;B3_12;0.099
;;1.90336;B3_23;0.017
;;1.90408;B3_14;0.031
;;1.90416;B3_13;0.019
;;1.9044;B3_22;0.057
;;1.90504;B3_24;0.078
;;1.90632;B3_12;0.018
;;1.908;B3_44;0.014
;;1.90896;B3_12;0.034
;;1.90896;B3_24;0.015
;;1.90952;B3_23;0.012
;;1.91016;B3_31;0.021
;;1.91072;B3_13;0.035
;;1.912;B3_44;0.023
;;1.9132;B3_24;0.027
;;1.91568;B3_12;0.027
;;1.91624;B3_34;0.018
;;1.91672;B3_33;0.019
;;1.9172;B3_42;0.051
;;1.91736;B3_31;0.027
;;1.91776;B3_24;0.025
;;1.91824;B3_12;0.075
;;1.9184;B3_23;0.024
;;1.92088;B3_23;0.012
;;1.92144;B3_42;0.01
;;1.92176;B3_12;0.025
;;1.9236;B3_13;0.039
;;1.92408;B3_34;0.017
;;1.92552;B3_24;0.022
;;1.92768;B3_12;0.039
;;1.92816;B3_13;0.019
;;1.92912;B3_42;0.059
;;1.92936;B3_24;0.047
;;1.93008;B3_12;0.089
;;1.93208;B3_24;0.024
;;1.93208;B3_42;0.018
;;1.93248;B3_12;0.049
;;1.9328;B3_13;0.017
;;1.9352;B3_24;0.107
;;1.93704;B3_23;0.025
;;1.93744;B3_31;0.019
;;1.93856;B3_24;0.044
;;1.94088;B3_24;0.024
;;1.9412;B3_23;0.014
;;1.9424;B3_42;0.049
;;1.94408;B3_22;0.038
;;1.94464;B3_24;0.03
;;1.94512;B3_42;0.024
;;1.94608;B3_23;0.025
;;1.94744;B3_31;0.021
;;1.94904;B3_34;0.028
;;1.94992;B3_24;0.054
;;1.95032;B3_33;0.032
;;1.95144;B3_14;0.017
;;1.9524;B3_12;0.018
;;1.95296;B3_13;0.042
;;1.95464;B3_12;0.134
;;1.95592;B3_24;0.05
;;1.95664;B3_42;0.015
;;1.95728;B3_34;0.022
;;1.958;B3_44;0.017
;;1.95832;B3_12;0.048
;;1.95944;B3_24;0.029
;;1.9612;B3_12;0.014
;;1.96216;B3_24;0.027
;;1.96312;B3_31;0.023
;;1.96456;B3_24;0.014
;;1.9648;B3_14;0.015
;;1.9652;B3_33;0.02
;;1.96768;B3_23;0.023
;;1.96784;B3_33;0.021
;;1.9688;B3_24;0.022
;;1.97344;B3_31;0.02
;;1.97896;B3_42;0.017
;;1.98128;B3_42;0.075
;;1.98416;B3_23;0.026
;;1.98488;B3_42;0.012
;;1.99608;B3_31;0.019
;;2.00104;B3_42;0.017
;;2.00512;B3_23;0.033
;;2.00576;B3_12;0.02
;;2.00664;B3_31;0.023
;;2.0092;B3_42;0.038
;;2.01064;B3_22;0.042
;;2.014;B3_42;0.044
;;2.01688;B3_42;0.009
;;2.02128;B3_42;0.014
;;2.0256;B3_23;0.027
;;2.02728;B3_33;0.02
;;2.02984;B3_33;0.02
;;2.03;B3_42;0.024
;;2.03072;B3_13;0.042
;;2.0308;B3_44;0.019
;;2.03112;B3_23;0.144
;;2.032;B3_24;0.044
;;2.03432;B3_24;0.034
;;2.03488;B3_12;0.162
;;2.0352;B3_34;0.026
;;2.036;B3_33;0.025
;;2.03712;B3_24;0.076
;;2.03784;B3_12;0.049
;;2.03856;B3_23;0.026
;;2.03904;B3_13;0.015
;;2.03912;B3_42;0.02
;;2.03912;B3_44;0.023
;;2.03936;B3_14;0.026
;;2.03944;B3_34;0.025
;;2.03992;B3_31;0.019
;;2.04008;B3_12;0.034
;;2.04024;B3_24;0.036
;;2.04184;B3_23;0.027
;;2.04224;B3_13;0.014
;;2.04296;B3_12;0.037
;;2.0432;B3_24;0.03
;;2.04376;B3_31;0.024
;;2.0456;B3_12;0.021
;;2.04616;B3_24;0.038
;;2.05104;B3_31;0.018
;;2.05616;B3_24;0.02
;;2.06216;B3_44;0.015
;;2.06416;B3_42;0.018
;;2.06504;B3_24;0.031
;;2.13608;B3_34;0.014
;;2.15632;B3_31;0.02
;;3.51832;B3_33;0.025
;;3.54264;B3_33;0.025
;;3.58296;B3_33;0.024
;;4.06672;B3_33;0.028
;;4.12304;B3_31;0.019
;;4.42088;B3_33;0.027
;;4.45632;B3_33;0.026
;;4.46208;B3_42;0.014
;;4.46464;B3_44;0.016
;;4.47072;B3_24;0.045
;;4.47352;B3_24;0.039
;;4.4752;B3_33;0.014
;;4.47744;B3_24;0.155
;;4.47776;B3_14;0.019
;;4.47792;B3_12;0.18
;;4.47968;B3_24;0.129
;;4.47968;B3_34;0.039
;;4.48096;B3_13;0.031
;;4.48096;B3_14;0.017
;;4.48152;B3_12;0.17
;;4.48176;B3_23;0.282
;;4.48184;B3_33;0.016
;;4.48216;B3_24;0.095
;;4.48328;B3_14;0.019
;;4.48352;B3_13;0.026
;;4.48432;B3_12;0.023
;;4.48432;B3_44;0.02
;;4.48464;B3_33;0.023
;;4.4848;B3_24;0.049
;;4.48608;B3_13;0.024
;;4.48624;B3_34;0.04
;;4.48632;B3_14;0.018
;;4.4864;B3_11;0.014
;;4.48648;B3_23;0.089
;;4.48696;B3_31;0.016
;;4.4872;B3_44;0.018
;;4.48808;B3_24;0.071
;;4.48808;B3_33;0.028
;;4.48936;B3_12;0.034
;;4.4896;B3_14;0.024
;;4.48968;B3_23;0.017
;;4.49032;B3_34;0.04
;;4.49064;B3_24;0.052
;;4.49096;B3_13;0.033
;;4.49104;B3_33;0.021
;;4.49184;B3_42;0.121
;;4.49232;B3_23;0.053
;;4.4924;B3_14;0.021
;;4.49248;B3_31;0.017
;;4.49312;B3_44;0.015
;;4.4932;B3_24;0.063
;;4.4936;B3_33;0.023
;;4.494;B3_12;0.033
;;4.49424;B3_13;0.01
;;4.4948;B3_42;0.015
;;4.49512;B3_23;0.022
;;4.49568;B3_14;0.018
;;4.49592;B3_34;0.034
;;4.496;B3_24;0.034
;;4.49664;B3_12;0.047
;;4.49752;B3_22;0.06
;;4.49768;B3_13;0.017
;;4.49784;B3_23;0.076
;;4.49856;B3_14;0.018
;;4.49856;B3_31;0.028
;;4.49864;B3_42;0.102
;;4.49928;B3_24;0.121
;;4.49936;B3_33;0.017
;;4.50016;B3_12;0.019
;;4.50016;B3_44;0.016
;;4.50096;B3_31;0.021
;;4.50128;B3_23;0.08
;;4.50216;B3_22;0.022
;;4.50288;B3_12;0.074
;;4.50352;B3_31;0.037
;;4.50368;B3_42;0.017
;;4.50384;B3_24;0.026
;;4.50488;B3_23;0.019
;;4.50616;B3_24;0.037
;;4.50696;B3_31;0.022
;;4.50704;B3_12;0.041
;;4.50744;B3_33;0.021
;;4.50792;B3_23;0.024
;;4.50896;B3_24;0.101
;;4.50928;B3_44;0.023
;;4.50952;B3_42;0.019
;;4.5108;B3_23;0.039
;;4.51104;B3_31;0.038
;;4.51168;B3_12;0.213
;;4.51216;B3_42;0.087
;;4.5124;B3_24;0.013
;;4.51336;B3_23;0.017
;;4.5148;B3_42;0.009
;;4.5196;B3_23;0.032
;;4.52;B3_42;0.08
;;4.52304;B3_42;0.011
;;4.52392;B3_31;0.035
;;4.5248;B3_12;0.028
;;4.52552;B3_23;0.02
;;4.52664;B3_31;0.02
;;4.52848;B3_23;0.026
;;4.52968;B3_24;0.14
;;4.52984;B3_34;0.035
;;4.52992;B3_42;0.073
;;4.53024;B3_13;0.02
;;4.53312;B3_42;0.009
;;4.53384;B3_12;0.202
;;4.53384;B3_23;0.222
;;4.534;B3_24;0.085
;;4.5364;B3_12;0.048
;;4.53648;B3_24;0.048
;;4.53656;B3_13;0.026
;;4.5368;B3_42;0.043
;;4.53744;B3_34;0.017
;;4.5384;B3_31;0.02
;;4.53888;B3_12;0.091
;;4.53968;B3_24;0.068
;;4.54008;B3_34;0.018
;;4.54016;B3_44;0.017
;;4.54136;B3_12;0.048
;;4.542;B3_24;0.06
;;4.54272;B3_22;0.059
;;4.54272;B3_31;0.03
;;4.54296;B3_23;0.017
;;4.54376;B3_34;0.029
;;4.54392;B3_12;0.16
;;4.54528;B3_24;0.063
;;4.54536;B3_13;0.017
;;4.54592;B3_42;0.026
;;4.54616;B3_12;0.048
;;4.54664;B3_34;0.015
;;4.54712;B3_23;0.029
;;4.54768;B3_24;0.038
;;4.54816;B3_13;0.043
;;4.55064;B3_42;0.073
;;4.55072;B3_24;0.029
;;4.5524;B3_12;0.038
;;4.5536;B3_34;0.025
;;4.55504;B3_12;0.189
;;4.5552;B3_44;0.015
;;4.55552;B3_24;0.056
;;4.55608;B3_31;0.026
;;4.55648;B3_23;0.061
;;4.55792;B3_24;0.125
;;4.55848;B3_12;0.017
;;4.55952;B3_33;0.02
;;4.55976;B3_23;0.012
;;4.56064;B3_42;0.035
;;4.56088;B3_12;0.039
;;4.56112;B3_24;0.058
;;4.56144;B3_13;0.019
;;4.56256;B3_23;0.043
;;4.56272;B3_34;0.023
;;4.56312;B3_12;0.196
;;4.56328;B3_42;0.013
;;4.56424;B3_24;0.027
;;4.56576;B3_23;0.01
;;4.566;B3_12;0.016
;;4.56712;B3_31;0.023
;;4.56776;B3_24;0.019
;;4.56832;B3_13;0.039
;;4.56904;B3_42;0.011
;;4.57144;B3_24;0.023
;;4.57168;B3_23;0.036
;;4.57176;B3_42;0.058
;;4.57232;B3_31;0.02
;;4.57296;B3_12;0.048
;;4.57368;B3_34;0.023
;;4.57472;B3_42;0.009
;;4.5776;B3_12;0.009
;;4.58008;B3_12;0.029
;;4.58088;B3_23;0.025
;;4.58136;B3_24;0.029
;;4.58312;B3_44;0.018
;;4.5836;B3_42;0.051
;;4.58392;B3_24;0.039
;;4.58448;B3_23;0.081
;;4.58448;B3_33;0.031
;;4.58688;B3_23;0.04
;;4.58744;B3_42;0.011
;;4.58896;B3_12;0.134
;;4.58904;B3_24;0.136
;;4.58952;B3_23;0.017
;;4.59144;B3_24;0.048
;;4.5916;B3_33;0.023
;;4.59168;B3_31;0.031
;;4.592;B3_34;0.03
;;4.59248;B3_12;0.042
;;4.59272;B3_13;0.022
;;4.59288;B3_42;0.014
