Investigator,,Time (s),Electrode,Amplitude (mV)
,,00001.206000,C3_31,0.182
,,00001.206640,C3_32,0.035
,,00001.206640,C3_44,0.047
,,00001.207200,C3_21,0.021
,,00001.207520,C3_13,0.054
,,00001.208000,C3_14,0.02
,,00001.208160,C3_41,0.021
,,00001.208320,C3_24,0.109
,,00001.208480,C3_31,0.029
,,00001.208880,C3_44,0.063
,,00001.209040,C3_32,0.046
,,00001.210400,C3_13,0.019
,,00001.210640,C3_41,0.024
,,00001.210880,C3_24,0.059
,,00001.211600,C3_14,0.012
,,00001.211600,C3_31,0.066
,,00001.212080,C3_44,0.066
,,00001.212240,C3_32,0.099
,,00001.212800,C3_13,0.027
,,00001.214560,C3_24,0.034
,,00001.214640,C3_31,0.274
,,00001.214880,C3_32,0.033
,,00001.214880,C3_44,0.052
,,00001.216000,C3_13,0.078
,,00001.216880,C3_24,0.042
,,00001.217120,C3_44,0.069
,,00001.218480,C3_31,0.039
,,00001.218640,C3_32,0.042
,,00001.220080,C3_44,0.062
,,00001.220320,C3_13,0.033
,,00001.220320,C3_24,0.051
,,00001.220880,C3_32,0.051
,,00001.221120,C3_31,0.036
,,00001.222560,C3_21,0.061
,,00001.222560,C3_44,0.065
,,00001.222640,C3_13,0.061
,,00001.222720,C3_43,0.027
,,00001.223200,C3_24,0.096
,,00001.223200,C3_32,0.068
,,00001.224480,C3_31,0.038
,,00001.225440,C3_44,0.039
,,00001.226640,C3_32,0.038
,,00001.226720,C3_24,0.023
,,00001.226800,C3_31,0.28
,,00001.227200,C3_41,0.014
,,00001.227920,C3_13,0.025
,,00001.228560,C3_44,0.054
,,00001.229440,C3_11,0.018
,,00001.229680,C3_24,0.032
,,00001.229680,C3_32,0.037
,,00001.229760,C3_14,0.019
,,00001.229920,C3_31,0.049
,,00001.230160,C3_13,0.021
,,00001.230720,C3_21,0.049
,,00001.231520,C3_44,0.082
,,00001.232480,C3_31,0.028
,,00001.233120,C3_24,0.034
,,00001.233280,C3_32,0.057
,,00001.233360,C3_13,0.027
,,00001.234960,C3_44,0.045
,,00001.235600,C3_32,0.015
,,00001.236160,C3_24,0.026
,,00001.236720,C3_31,0.06
,,00001.237840,C3_44,0.04
