Investigator,,Time (s),Electrode,Amplitude (mV)
,,00001.437040,C1_32,0.017
,,00001.437360,C1_43,0.031
,,00001.437920,C1_31,0.023
,,00001.438160,C1_34,0.021
,,00001.439280,C1_21,0.027
,,00001.439360,C1_32,0.032
,,00001.440560,C1_11,0.035
,,00001.440720,C1_12,0.03
,,00001.441200,C1_43,0.019
,,00001.441520,C1_14,0.016
,,00001.442320,C1_23,0.021
,,00001.442560,C1_31,0.016
,,00001.442560,C1_32,0.038
,,00001.443760,C1_43,0.027
,,00001.444080,C1_21,0.03
,,00001.444160,C1_11,0.022
,,00001.445120,C1_31,0.016
,,00001.445360,C1_34,0.023
,,00001.445520,C1_24,0.014
,,00001.445520,C1_32,0.036
,,00001.447120,C1_44,0.019
,,00001.447360,C1_43,0.028
,,00001.447760,C1_21,0.017
,,00001.448080,C1_14,0.028
,,00001.448400,C1_24,0.017
,,00001.449280,C1_32,0.098
,,00001.449520,C1_11,0.027
,,00001.449520,C1_31,0.016
,,00001.451360,C1_21,0.044
,,00001.451520,C1_32,0.023
,,00001.451840,C1_31,0.019
,,00001.452400,C1_43,0.039
,,00001.453920,C1_14,0.025
,,00001.454000,C1_33,0.016
,,00001.454480,C1_21,0.023
,,00001.456080,C1_43,0.024
,,00001.456800,C1_24,0.013
,,00001.457120,C1_21,0.032
,,00001.457760,C1_11,0.023
,,00001.458400,C1_32,0.065
,,00001.458640,C1_43,0.059
,,00001.458960,C1_31,0.033
,,00001.460400,C1_21,0.027
,,00001.460480,C1_14,0.026
,,00001.460640,C1_32,0.028
,,00001.461520,C1_11,0.021
,,00001.461600,C1_42,0.021
,,00001.461600,C1_43,0.03
,,00001.461840,C1_12,0.028
,,00001.462880,C1_21,0.021
,,00001.462880,C1_32,0.188
,,00001.463040,C1_31,0.018
,,00001.465360,C1_43,0.02
,,00001.465680,C1_23,0.021
,,00001.465760,C1_21,0.043
,,00001.466320,C1_34,0.022
,,00001.466480,C1_11,0.03
,,00001.466560,C1_32,0.047
,,00001.466640,C1_14,0.032
,,00001.467200,C1_44,0.016
,,00001.467680,C1_31,0.028
,,00001.468240,C1_43,0.027
,,00001.468800,C1_21,0.025
,,00001.469200,C1_12,0.022
,,00001.470080,C1_31,0.013
,,00001.470240,C1_32,0.025
,,00001.470720,C1_11,0.05
,,00001.471440,C1_21,0.035
,,00001.472720,C1_43,0.056
,,00001.473680,C1_11,0.022
,,00001.473840,C1_14,0.035
,,00001.474080,C1_21,0.039
,,00001.474480,C1_31,0.027
,,00001.474480,C1_32,0.034
,,00001.475680,C1_23,0.027
,,00001.475760,C1_43,0.027
,,00001.477040,C1_32,0.035
,,00001.477600,C1_21,0.047
,,00001.477680,C1_31,0.023
,,00001.478880,C1_43,0.027
,,00001.479520,C1_11,0.021
,,00001.480080,C1_14,0.034
,,00001.480480,C1_21,0.043
,,00001.481040,C1_24,0.013
,,00001.481200,C1_32,0.029
,,00001.481360,C1_23,0.026
,,00001.481840,C1_12,0.024
,,00001.482000,C1_11,0.023
,,00001.482640,C1_43,0.026
,,00001.483040,C1_21,0.057
,,00001.484160,C1_32,0.041
,,00001.484640,C1_31,0.021
,,00001.485280,C1_33,0.016
,,00001.485680,C1_14,0.029
,,00001.486160,C1_23,0.022
,,00001.486800,C1_11,0.04
,,00001.486880,C1_21,0.037
,,00001.488160,C1_32,0.051
,,00001.488480,C1_31,0.017
,,00001.489040,C1_11,0.062
,,00001.489840,C1_21,0.023
,,00001.490400,C1_12,0.036
,,00001.491440,C1_32,0.034
,,00001.492000,C1_14,0.027
,,00001.492400,C1_21,0.035
,,00001.492400,C1_43,0.022
,,00001.495280,C1_32,0.031
,,00001.495920,C1_21,0.036
,,00001.497360,C1_11,0.032
,,00001.497760,C1_32,0.025
,,00001.499120,C1_21,0.028
,,00001.500000,C1_11,0.02
,,00001.500560,C1_31,0.026
,,00001.500720,C1_32,0.023
,,00001.500880,C1_43,0.028
,,00001.500960,C1_14,0.032
,,00001.502320,C1_21,0.032
,,00001.504560,C1_21,0.023
,,00001.504640,C1_43,0.017
,,00001.504880,C1_32,0.034
,,00001.504960,C1_44,0.019
,,00001.507360,C1_32,0.033
,,00001.507600,C1_14,0.031
,,00001.508640,C1_21,0.033
,,00001.510000,C1_11,0.031
,,00001.510880,C1_21,0.037
,,00001.511600,C1_12,0.017
,,00001.512560,C1_32,0.028
,,00001.512960,C1_43,0.018
,,00001.513360,C1_21,0.022
,,00001.515200,C1_14,0.034
,,00001.515440,C1_43,0.017
,,00001.515760,C1_21,0.028
,,00001.516800,C1_32,0.032
,,00001.518240,C1_21,0.038
,,00001.521440,C1_21,0.026
,,00001.522000,C1_32,0.033
,,00001.523760,C1_11,0.024
,,00001.523840,C1_14,0.033
,,00001.526400,C1_32,0.029
,,00001.527600,C1_11,0.026
,,00001.527760,C1_21,0.013
,,00001.530240,C1_43,0.018
,,00001.532240,C1_21,0.026
,,00001.533200,C1_43,0.03
,,00001.534080,C1_14,0.035
,,00001.535440,C1_43,0.078
,,00001.536640,C1_32,0.056
,,00001.537680,C1_12,0.026
,,00001.538000,C1_21,0.034
,,00001.538960,C1_32,0.026
,,00001.538960,C1_43,0.017
,,00001.541520,C1_21,0.044
,,00001.541520,C1_31,0.025
,,00001.542240,C1_14,0.036
,,00001.542400,C1_11,0.035
,,00001.542960,C1_32,0.031
,,00001.543040,C1_43,0.055
,,00001.544560,C1_31,0.044
,,00001.544560,C1_33,0.028
,,00001.544800,C1_14,0.014
,,00001.545040,C1_11,0.025
,,00001.545040,C1_21,0.034
,,00001.545280,C1_43,0.024
,,00001.545360,C1_32,0.24
,,00001.547680,C1_31,0.018
,,00001.547680,C1_32,0.076
,,00001.548080,C1_43,0.034
,,00001.548240,C1_12,0.028
,,00001.548240,C1_21,0.092
,,00001.548400,C1_42,0.017
,,00001.548480,C1_11,0.046
,,00001.550400,C1_31,0.029
,,00001.550480,C1_23,0.015
,,00001.550560,C1_12,0.023
,,00001.550720,C1_21,0.059
,,00001.550880,C1_43,0.029
,,00001.551280,C1_32,0.033
,,00001.551600,C1_14,0.042
,,00001.551840,C1_11,0.063
,,00001.553520,C1_43,0.02
,,00001.553680,C1_33,0.023
,,00001.553760,C1_21,0.088
,,00001.553920,C1_32,0.018
,,00001.555360,C1_14,0.012
,,00001.555760,C1_44,0.018
,,00001.555840,C1_31,0.03
,,00001.555920,C1_11,0.051
,,00001.556080,C1_43,0.034
,,00001.556480,C1_32,0.049
,,00001.556560,C1_21,0.064
,,00001.556640,C1_12,0.029
,,00001.558240,C1_14,0.01
,,00001.558320,C1_11,0.016
,,00001.558800,C1_21,0.057
,,00001.558960,C1_44,0.015
,,00001.559440,C1_31,0.023
,,00001.559760,C1_32,0.053
,,00001.560960,C1_11,0.103
,,00001.561040,C1_21,0.116
,,00001.561120,C1_22,0.021
,,00001.562320,C1_24,0.012
,,00001.562320,C1_43,0.022
,,00001.562400,C1_14,0.02
,,00001.562720,C1_32,0.032
,,00001.563600,C1_42,0.015
,,00001.563680,C1_21,0.059
,,00001.563680,C1_22,0.02
,,00001.565040,C1_11,0.016
,,00001.565920,C1_12,0.016
,,00001.566640,C1_32,0.078
,,00001.567520,C1_21,0.074
,,00001.567840,C1_11,0.033
,,00001.568080,C1_14,0.017
,,00001.569840,C1_21,0.043
,,00001.570800,C1_31,0.023
,,00001.571040,C1_11,0.048
,,00001.571360,C1_32,0.02
,,00001.572160,C1_21,0.05
,,00001.573680,C1_31,0.021
,,00001.573920,C1_32,0.022
,,00001.574000,C1_11,0.027
,,00001.574560,C1_21,0.013
,,00001.575280,C1_14,0.013
,,00001.575600,C1_43,0.016
,,00001.575920,C1_24,0.015
,,00001.576880,C1_32,0.042
,,00001.579440,C1_21,0.023
,,00001.580000,C1_32,0.029
,,00001.580160,C1_43,0.01
,,00001.580880,C1_11,0.028
,,00001.583040,C1_43,0.022
,,00001.583200,C1_21,0.022
,,00001.587920,C1_32,0.021
,,00001.588400,C1_43,0.014
,,00001.590480,C1_11,0.032
,,00001.593520,C1_21,0.021
,,00001.597680,C1_32,0.026
,,00001.597920,C1_43,0.022
,,00001.603040,C1_43,0.021
,,00001.604560,C1_32,0.066
,,00001.607040,C1_32,0.019
,,00001.610400,C1_32,0.02
,,00001.612640,C1_32,0.023
,,00001.619600,C1_32,0.027
,,00001.626000,C1_32,0.029
,,00001.627520,C1_21,0.019
,,00001.633040,C1_32,0.069
,,00001.633200,C1_43,0.02
,,00001.636560,C1_32,0.019
,,00001.639040,C1_21,0.025
,,00001.639120,C1_12,0.026
,,00001.641920,C1_43,0.014
,,00001.642560,C1_32,0.022
,,00001.646480,C1_43,0.027
,,00001.649760,C1_32,0.032
,,00001.651120,C1_43,0.019
,,00001.654960,C1_32,0.04
,,00001.657600,C1_14,0.064
,,00001.657600,C1_43,0.04
,,00001.658160,C1_32,0.08
,,00001.659280,C1_33,0.021
,,00001.659600,C1_11,0.021
,,00001.660080,C1_43,0.02
,,00001.661520,C1_21,0.026
,,00001.661600,C1_32,0.029
,,00001.662640,C1_43,0.083
,,00001.663600,C1_12,0.035
,,00001.664000,C1_21,0.032
,,00001.664320,C1_32,0.024
,,00001.665520,C1_43,0.025
,,00001.667760,C1_31,0.032
,,00001.667920,C1_21,0.026
,,00001.667920,C1_43,0.021
,,00001.668160,C1_11,0.036
,,00001.668800,C1_32,0.06
,,00001.670160,C1_21,0.051
,,00001.670240,C1_31,0.018
,,00001.671200,C1_32,0.03
,,00001.671280,C1_42,0.018
,,00001.672480,C1_11,0.039
,,00001.672960,C1_21,0.04
,,00001.673200,C1_31,0.016
,,00001.674640,C1_12,0.033
,,00001.674800,C1_43,0.078
,,00001.674880,C1_32,0.026
,,00001.675440,C1_11,0.069
,,00001.675440,C1_14,0.056
,,00001.676080,C1_31,0.027
,,00001.676560,C1_21,0.03
,,00001.677040,C1_43,0.02
,,00001.678000,C1_11,0.03
,,00001.678320,C1_31,0.033
,,00001.678400,C1_32,0.02
,,00001.678800,C1_33,0.021
,,00001.679200,C1_21,0.031
,,00001.680160,C1_43,0.06
,,00001.680560,C1_11,0.11
,,00001.681680,C1_21,0.113
,,00001.681680,C1_31,0.031
,,00001.681920,C1_32,0.145
,,00001.682000,C1_12,0.021
,,00001.682960,C1_43,0.028
,,00001.683760,C1_14,0.036
,,00001.684480,C1_21,0.056
,,00001.684880,C1_11,0.029
,,00001.685120,C1_32,0.077
,,00001.686080,C1_31,0.025
,,00001.686240,C1_43,0.056
,,00001.687280,C1_42,0.016
,,00001.687840,C1_11,0.015
,,00001.687840,C1_21,0.076
,,00001.688000,C1_12,0.039
,,00001.688880,C1_43,0.02
,,00001.689200,C1_14,0.025
,,00001.689280,C1_31,0.014
,,00001.689280,C1_44,0.015
,,00001.689360,C1_32,0.069
,,00001.690560,C1_12,0.012
,,00001.690880,C1_21,0.065
,,00001.691040,C1_11,0.038
,,00001.691120,C1_43,0.021
,,00001.692400,C1_32,0.016
,,00001.693760,C1_21,0.042
,,00001.693840,C1_12,0.026
,,00001.694560,C1_11,0.026
,,00001.694960,C1_32,0.034
,,00001.695120,C1_43,0.014
,,00001.696080,C1_21,0.06
,,00001.696800,C1_44,0.015
,,00001.698320,C1_11,0.037
,,00001.698400,C1_21,0.031
,,00001.699200,C1_32,0.02
,,00001.700320,C1_43,0.017
,,00001.701840,C1_44,0.014
,,00001.701920,C1_32,0.028
,,00001.703040,C1_31,0.022
,,00001.704400,C1_11,0.042
,,00001.704960,C1_21,0.028
,,00001.706560,C1_32,0.02
,,00001.707360,C1_24,0.013
,,00001.707520,C1_11,0.03
,,00001.709840,C1_21,0.02
,,00001.710880,C1_32,0.022
,,00001.715280,C1_12,0.025
,,00001.717520,C1_21,0.023
,,00001.718880,C1_32,0.022
,,00001.729440,C1_32,0.037
,,00001.730480,C1_21,0.022
,,00001.731040,C1_43,0.026
,,00001.745200,C1_43,0.012
,,00001.753360,C1_43,0.018
,,00001.766480,C1_43,0.018
,,00001.775680,C1_32,0.028
,,00001.784160,C1_43,0.032
,,00001.847520,C1_43,0.027
