Investigator,,Time (s),Electrode,Amplitude (mV)
,,00000.352240,B2_22,0.044
,,00000.352400,B2_43,0.031
,,00000.353840,B2_14,0.028
,,00000.354080,B2_33,0.025
,,00000.354160,B2_13,0.093
,,00000.354160,B2_23,0.028
,,00000.354400,B2_32,0.023
,,00000.354640,B2_43,0.034
,,00000.354960,B2_12,0.107
,,00000.355200,B2_34,0.028
,,00000.355600,B2_11,0.028
,,00000.356880,B2_23,0.023
,,00000.357120,B2_33,0.043
,,00000.357120,B2_43,0.032
,,00000.357360,B2_14,0.028
,,00000.357360,B2_42,0.051
,,00000.357440,B2_22,0.026
,,00000.357680,B2_21,0.032
,,00000.357840,B2_12,0.02
,,00000.357920,B2_34,0.024
,,00000.359680,B2_33,0.05
,,00000.359840,B2_13,0.042
,,00000.359920,B2_32,0.035
,,00000.360080,B2_14,0.023
,,00000.360160,B2_12,0.026
,,00000.360160,B2_22,0.032
,,00000.360320,B2_21,0.026
,,00000.360720,B2_11,0.137
,,00000.360880,B2_42,0.035
,,00000.361120,B2_34,0.026
,,00000.362160,B2_33,0.027
,,00000.362560,B2_13,0.078
,,00000.362880,B2_21,0.026
,,00000.362880,B2_22,0.034
,,00000.363680,B2_11,0.028
,,00000.364160,B2_14,0.022
,,00000.364160,B2_43,0.019
,,00000.364400,B2_23,0.037
,,00000.364720,B2_34,0.02
,,00000.364960,B2_12,0.032
,,00000.365200,B2_21,0.029
,,00000.365360,B2_13,0.054
,,00000.365600,B2_33,0.037
,,00000.365840,B2_22,0.057
,,00000.366880,B2_32,0.031
,,00000.367120,B2_34,0.027
,,00000.367440,B2_14,0.017
,,00000.367760,B2_21,0.033
,,00000.367920,B2_43,0.028
,,00000.368080,B2_11,0.116
,,00000.368080,B2_12,0.032
,,00000.368320,B2_13,0.035
,,00000.369520,B2_32,0.024
,,00000.369600,B2_34,0.022
,,00000.370000,B2_21,0.023
,,00000.370080,B2_33,0.021
,,00000.370320,B2_22,0.04
,,00000.371280,B2_13,0.086
,,00000.371600,B2_11,0.06
,,00000.372320,B2_33,0.03
,,00000.372400,B2_34,0.027
,,00000.372480,B2_21,0.029
,,00000.372480,B2_23,0.027
,,00000.372560,B2_14,0.038
,,00000.373840,B2_43,0.037
,,00000.374480,B2_11,0.063
,,00000.374480,B2_32,0.021
,,00000.374640,B2_42,0.02
,,00000.375120,B2_21,0.021
,,00000.375200,B2_13,0.025
,,00000.375360,B2_22,0.047
,,00000.375840,B2_14,0.022
,,00000.376400,B2_12,0.032
,,00000.377280,B2_43,0.022
,,00000.377440,B2_11,0.046
,,00000.377520,B2_13,0.021
,,00000.378400,B2_33,0.025
,,00000.378400,B2_34,0.026
,,00000.378640,B2_21,0.014
,,00000.379760,B2_23,0.033
,,00000.379840,B2_13,0.039
,,00000.380000,B2_11,0.034
,,00000.380400,B2_42,0.028
,,00000.380400,B2_43,0.025
,,00000.380560,B2_12,0.029
,,00000.380560,B2_22,0.032
,,00000.380720,B2_14,0.018
,,00000.380720,B2_33,0.022
,,00000.381440,B2_21,0.029
,,00000.382160,B2_23,0.036
,,00000.382240,B2_13,0.064
,,00000.382400,B2_32,0.022
,,00000.382800,B2_22,0.049
,,00000.383600,B2_33,0.033
,,00000.384560,B2_34,0.031
,,00000.384640,B2_13,0.032
,,00000.384640,B2_21,0.024
,,00000.385120,B2_22,0.049
,,00000.385440,B2_23,0.022
,,00000.385600,B2_12,0.08
,,00000.385680,B2_11,0.03
,,00000.386080,B2_33,0.037
,,00000.386640,B2_42,0.029
,,00000.386960,B2_14,0.032
,,00000.387120,B2_21,0.04
,,00000.387280,B2_34,0.021
