Investigator,,Time (s),Electrode,Amplitude (mV)
,,00000.408480,B2_24,0.023
,,00000.408640,B2_22,0.017
,,00000.409280,B2_43,0.034
,,00000.410080,B2_12,0.039
,,00000.410080,B2_13,0.033
,,00000.410640,B2_21,0.022
,,00000.410880,B2_22,0.018
,,00000.410880,B2_32,0.034
,,00000.412560,B2_13,0.033
,,00000.412880,B2_43,0.044
,,00000.413600,B2_32,0.054
,,00000.413760,B2_14,0.036
,,00000.413760,B2_21,0.031
,,00000.414640,B2_22,0.036
,,00000.414880,B2_33,0.044
,,00000.415360,B2_12,0.035
,,00000.415360,B2_13,0.035
,,00000.415840,B2_24,0.024
,,00000.416400,B2_43,0.025
,,00000.417280,B2_22,0.042
,,00000.417760,B2_21,0.053
,,00000.417840,B2_12,0.044
,,00000.418080,B2_33,0.017
,,00000.418640,B2_32,0.04
,,00000.418880,B2_43,0.037
,,00000.419520,B2_22,0.03
,,00000.420000,B2_13,0.032
,,00000.420240,B2_12,0.038
,,00000.421520,B2_43,0.017
,,00000.422000,B2_21,0.038
,,00000.422000,B2_22,0.047
,,00000.422160,B2_24,0.023
,,00000.422160,B2_33,0.03
,,00000.422320,B2_32,0.049
,,00000.423040,B2_13,0.029
,,00000.423840,B2_43,0.051
,,00000.424800,B2_22,0.039
,,00000.424800,B2_32,0.032
,,00000.426160,B2_43,0.045
,,00000.426640,B2_13,0.037
,,00000.426880,B2_33,0.033
,,00000.427520,B2_21,0.045
,,00000.428240,B2_32,0.048
,,00000.428640,B2_12,0.044
,,00000.428640,B2_22,0.029
,,00000.429200,B2_24,0.034
,,00000.429280,B2_43,0.061
,,00000.429360,B2_13,0.036
,,00000.429440,B2_33,0.028
,,00000.431920,B2_43,0.036
,,00000.432160,B2_21,0.033
,,00000.432320,B2_13,0.038
,,00000.432400,B2_23,0.021
,,00000.432480,B2_32,0.033
,,00000.432560,B2_22,0.029
,,00000.432720,B2_14,0.052
,,00000.435120,B2_33,0.04
,,00000.435360,B2_13,0.033
,,00000.435520,B2_22,0.036
,,00000.435840,B2_43,0.026
,,00000.438320,B2_22,0.025
,,00000.438400,B2_32,0.044
,,00000.438560,B2_43,0.033
,,00000.438960,B2_13,0.035
,,00000.439280,B2_21,0.025
,,00000.441760,B2_22,0.024
,,00000.441760,B2_43,0.031
,,00000.442000,B2_24,0.033
,,00000.442400,B2_13,0.05
,,00000.442640,B2_21,0.032
,,00000.442800,B2_33,0.03
,,00000.444320,B2_43,0.036
,,00000.444560,B2_22,0.054
,,00000.445280,B2_13,0.043
,,00000.445440,B2_21,0.023
,,00000.446800,B2_12,0.027
,,00000.446880,B2_32,0.04
,,00000.447120,B2_22,0.032
,,00000.447440,B2_24,0.029
,,00000.447520,B2_13,0.032
,,00000.448000,B2_33,0.031
,,00000.449520,B2_21,0.028
,,00000.449680,B2_43,0.032
,,00000.450240,B2_24,0.023
,,00000.450400,B2_22,0.045
,,00000.450800,B2_32,0.03
,,00000.452320,B2_33,0.039
,,00000.452400,B2_21,0.035
,,00000.452880,B2_22,0.043
,,00000.453280,B2_32,0.066
,,00000.453440,B2_12,0.031
,,00000.453600,B2_43,0.042
,,00000.454000,B2_24,0.023
,,00000.455040,B2_21,0.041
,,00000.455120,B2_22,0.041
,,00000.455440,B2_13,0.058
,,00000.456400,B2_33,0.025
,,00000.457200,B2_43,0.044
,,00000.457440,B2_14,0.041
,,00000.457440,B2_32,0.026
,,00000.458080,B2_22,0.025
,,00000.458720,B2_21,0.045
,,00000.459280,B2_12,0.03
,,00000.459840,B2_14,0.028
,,00000.460160,B2_32,0.077
,,00000.460320,B2_22,0.03
,,00000.460480,B2_13,0.039
,,00000.462000,B2_43,0.031
,,00000.462560,B2_21,0.02
,,00000.462640,B2_22,0.028
,,00000.462720,B2_32,0.032
,,00000.462960,B2_33,0.037
,,00000.463440,B2_13,0.023
,,00000.464400,B2_23,0.018
,,00000.465280,B2_22,0.047
,,00000.465840,B2_32,0.037
,,00000.466480,B2_13,0.041
,,00000.466480,B2_33,0.028
,,00000.466640,B2_12,0.034
,,00000.466960,B2_43,0.031
,,00000.467120,B2_14,0.027
,,00000.468480,B2_22,0.034
,,00000.468800,B2_13,0.036
,,00000.468880,B2_32,0.028
,,00000.469520,B2_43,0.04
,,00000.469760,B2_21,0.03
,,00000.471840,B2_22,0.033
,,00000.471920,B2_12,0.028
,,00000.472240,B2_14,0.052
,,00000.472400,B2_13,0.039
,,00000.472800,B2_43,0.029
,,00000.473200,B2_24,0.02
,,00000.474080,B2_32,0.028
,,00000.474560,B2_21,0.048
,,00000.476080,B2_43,0.026
,,00000.476400,B2_22,0.031
,,00000.476640,B2_32,0.04
,,00000.476880,B2_21,0.042
,,00000.478880,B2_22,0.029
,,00000.479760,B2_21,0.027
,,00000.480080,B2_13,0.029
,,00000.480080,B2_33,0.025
,,00000.480560,B2_43,0.028
,,00000.482080,B2_21,0.024
,,00000.482800,B2_13,0.031
,,00000.483040,B2_22,0.021
,,00000.483280,B2_32,0.03
,,00000.484560,B2_33,0.033
,,00000.485200,B2_43,0.037
,,00000.486320,B2_12,0.022
,,00000.486480,B2_21,0.032
,,00000.487120,B2_22,0.033
,,00000.487200,B2_13,0.025
,,00000.487600,B2_43,0.049
,,00000.489760,B2_22,0.034
,,00000.489840,B2_21,0.034
,,00000.490000,B2_13,0.026
,,00000.490880,B2_24,0.03
,,00000.490880,B2_43,0.037
,,00000.491440,B2_41,0.011
,,00000.491920,B2_32,0.025
