Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D52_POSTsiembra_P1_A3_100msec,00000.090720,A3_21,0.026
Description,,00000.336880,A3_21,0.034
Maestro Edge (Maestro-091) Settings,,00000.506640,A3_21,0.039
   Original File Time,06/07/2024 11:41:32,00000.566640,A3_21,0.03
   Sampling Frequency,12.5 kHz,00000.840960,A3_21,0.031
   Voltage Scale,-5.484861781483107E-08 V/sample,00001.071680,A3_21,0.031
   Experiment Start Time,06/07/2024 10:30:31,00001.296080,A3_21,0.034
   Referencing Method,Median,00001.433840,A3_21,0.036
   Analog Mode Setting,Neural Spikes,00001.489360,A3_33,0.017
   Plate Type,CytoView MEA 24,00001.492000,A3_34,0.028
   Digital Low Pass Filter,3 kHz Kaiser Window,00001.494960,A3_41,0.011
   Digital High Pass Filter,200 Hz IIR,00001.495360,A3_24,0.139
   Temperature Set Point,37.0 Degrees C,00001.496880,A3_12,0.023
   Current Temperature,37.0 Degrees C,00001.497440,A3_31,0.023
   Heater Power,On,00001.497520,A3_22,0.017
   Legacy Heating Mode,Off,00001.497840,A3_33,0.02
   Barcode Plate Type,TwentyFourWell,00001.498000,A3_24,0.046
   Plate Serial Number,114-0350,00001.498480,A3_34,0.061
   CO2 Conc. Set Point,5.0 %,00001.499360,A3_12,0.025
   Actual CO2 Conc.,5.0 %,00001.499360,A3_42,0.019
   Gas Mixer Status,Regulating,00001.500720,A3_22,0.03
   AxIS Version,3.10.3.6,00001.500720,A3_24,0.072
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00001.500880,A3_31,0.047
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00001.500960,A3_32,0.026
,,00001.501040,A3_33,0.024
Spike Detector Settings,,00001.501360,A3_23,0.013
   Method,Adaptive Threshold Crossing,00001.501520,A3_34,0.038
   Threshold,6,00001.502000,A3_42,0.023
   Threshold Status,Variable,00001.502320,A3_12,0.033
   Threshold Crossing Only,True,00001.502720,A3_11,0.019
   Pre-Spike Duration,0.84 ms,00001.502960,A3_22,0.031
   Post-Spike Duration,2.16 ms,00001.503200,A3_24,0.03
   Coincident Event Filter,Default (Well),00001.503440,A3_31,0.039
   Coincidence Occurrence Threshold,4 Electrodes,00001.503600,A3_23,0.027
   Coincidence Event Window,80 µs,00001.503680,A3_21,0.038
   Allow Sample Overlap,false,00001.503920,A3_32,0.026
   Spike Count Interval,1 s,00001.503920,A3_34,0.044
,,00001.504480,A3_33,0.019
,,00001.504480,A3_41,0.018
,,00001.505200,A3_22,0.038
,,00001.505280,A3_42,0.029
,,00001.505520,A3_12,0.059
,,00001.505920,A3_31,0.024
,,00001.506160,A3_23,0.019
,,00001.506320,A3_24,0.04
,,00001.506400,A3_34,0.032
,,00001.506640,A3_32,0.053
,,00001.506800,A3_13,0.03
,,00001.507120,A3_33,0.04
,,00001.507440,A3_21,0.059
,,00001.508000,A3_14,0.01
,,00001.508160,A3_22,0.036
,,00001.508160,A3_42,0.052
,,00001.508400,A3_41,0.017
,,00001.508480,A3_12,0.035
,,00001.508960,A3_31,0.04
,,00001.509120,A3_23,0.035
,,00001.509200,A3_24,0.11
,,00001.509520,A3_34,0.038
,,00001.509920,A3_32,0.042
,,00001.510160,A3_33,0.033
,,00001.510480,A3_42,0.051
,,00001.510720,A3_12,0.037
,,00001.511280,A3_41,0.014
,,00001.511440,A3_23,0.03
,,00001.511440,A3_31,0.047
,,00001.511840,A3_22,0.05
,,00001.512000,A3_13,0.022
,,00001.512000,A3_21,0.022
,,00001.512080,A3_34,0.041
,,00001.512320,A3_24,0.058
,,00001.512400,A3_33,0.03
,,00001.513040,A3_12,0.06
,,00001.513040,A3_42,0.026
,,00001.514000,A3_32,0.029
,,00001.514400,A3_23,0.026
,,00001.514400,A3_31,0.04
,,00001.514400,A3_34,0.024
,,00001.514560,A3_21,0.057
,,00001.514880,A3_22,0.028
,,00001.515040,A3_33,0.039
,,00001.515360,A3_24,0.085
,,00001.515600,A3_41,0.018
,,00001.515680,A3_42,0.04
,,00001.515760,A3_12,0.062
,,00001.516880,A3_34,0.023
,,00001.516960,A3_31,0.033
,,00001.517120,A3_22,0.037
,,00001.517120,A3_23,0.022
,,00001.517440,A3_13,0.024
,,00001.517600,A3_32,0.017
,,00001.517920,A3_42,0.033
,,00001.518000,A3_24,0.076
,,00001.518240,A3_41,0.014
,,00001.518480,A3_12,0.041
,,00001.518640,A3_33,0.027
,,00001.519120,A3_21,0.038
,,00001.519680,A3_22,0.028
,,00001.520400,A3_24,0.1
,,00001.520480,A3_42,0.06
,,00001.520560,A3_32,0.028
,,00001.521200,A3_34,0.027
,,00001.521440,A3_12,0.056
,,00001.521760,A3_33,0.032
,,00001.522480,A3_41,0.013
,,00001.522640,A3_22,0.03
,,00001.522800,A3_42,0.035
,,00001.522880,A3_31,0.039
,,00001.523040,A3_23,0.026
,,00001.523120,A3_24,0.074
,,00001.523280,A3_21,0.039
,,00001.523360,A3_13,0.016
,,00001.523520,A3_32,0.019
,,00001.524320,A3_12,0.041
,,00001.524560,A3_34,0.039
,,00001.524880,A3_33,0.023
,,00001.525200,A3_42,0.058
,,00001.525440,A3_31,0.028
,,00001.525440,A3_44,0.014
,,00001.525680,A3_23,0.016
,,00001.525680,A3_24,0.027
,,00001.526640,A3_41,0.013
,,00001.527200,A3_13,0.028
,,00001.527280,A3_33,0.026
,,00001.527440,A3_12,0.036
,,00001.527920,A3_23,0.019
,,00001.527920,A3_34,0.037
,,00001.528000,A3_22,0.02
,,00001.528000,A3_42,0.034
,,00001.528400,A3_31,0.038
,,00001.528640,A3_24,0.046
,,00001.528960,A3_21,0.03
,,00001.529680,A3_41,0.009
,,00001.529840,A3_12,0.028
,,00001.530240,A3_33,0.023
,,00001.530320,A3_22,0.021
,,00001.530400,A3_34,0.039
,,00001.530640,A3_23,0.024
,,00001.530960,A3_31,0.021
,,00001.531440,A3_24,0.033
,,00001.531440,A3_42,0.041
,,00001.532720,A3_21,0.039
,,00001.532880,A3_32,0.027
,,00001.532960,A3_22,0.02
,,00001.533040,A3_33,0.019
,,00001.533360,A3_12,0.036
,,00001.533600,A3_23,0.031
,,00001.533600,A3_41,0.014
,,00001.533760,A3_24,0.071
,,00001.533840,A3_34,0.029
,,00001.533840,A3_42,0.076
,,00001.534560,A3_13,0.024
,,00001.535200,A3_22,0.028
,,00001.535280,A3_31,0.027
,,00001.535360,A3_33,0.016
,,00001.535760,A3_12,0.042
,,00001.536240,A3_24,0.038
,,00001.536400,A3_42,0.026
,,00001.536560,A3_23,0.017
,,00001.536560,A3_32,0.03
,,00001.537120,A3_34,0.028
,,00001.537200,A3_13,0.026
,,00001.537680,A3_33,0.024
,,00001.537680,A3_41,0.019
,,00001.537760,A3_31,0.029
,,00001.538000,A3_12,0.026
,,00001.538880,A3_22,0.021
,,00001.538960,A3_42,0.045
,,00001.539040,A3_24,0.058
,,00001.539440,A3_32,0.023
,,00001.539520,A3_34,0.027
,,00001.539680,A3_23,0.019
,,00001.539840,A3_13,0.036
,,00001.540080,A3_33,0.018
,,00001.540400,A3_41,0.01
,,00001.540480,A3_12,0.018
,,00001.541360,A3_24,0.056
,,00001.541440,A3_22,0.033
,,00001.541440,A3_42,0.036
,,00001.542160,A3_13,0.118
,,00001.542160,A3_32,0.033
,,00001.542240,A3_31,0.013
,,00001.542320,A3_21,0.02
,,00001.542560,A3_34,0.031
,,00001.542640,A3_33,0.019
,,00001.542880,A3_23,0.02
,,00001.544000,A3_42,0.028
,,00001.544480,A3_12,0.03
,,00001.544560,A3_41,0.009
,,00001.544640,A3_31,0.019
,,00001.544880,A3_24,0.061
,,00001.545120,A3_33,0.024
,,00001.545520,A3_22,0.026
,,00001.545760,A3_13,0.032
,,00001.545760,A3_34,0.029
,,00001.546800,A3_21,0.02
,,00001.546880,A3_31,0.019
,,00001.546960,A3_23,0.021
,,00001.546960,A3_41,0.01
,,00001.547120,A3_24,0.026
,,00001.547360,A3_42,0.019
,,00001.547440,A3_33,0.029
,,00001.547920,A3_22,0.022
,,00001.548480,A3_13,0.1
,,00001.548480,A3_32,0.026
,,00001.548640,A3_12,0.032
,,00001.549120,A3_34,0.033
,,00001.549680,A3_42,0.04
,,00001.549920,A3_31,0.02
,,00001.550000,A3_24,0.042
,,00001.550400,A3_44,0.017
,,00001.551040,A3_22,0.029
,,00001.551280,A3_32,0.016
,,00001.551360,A3_12,0.033
,,00001.551440,A3_13,0.111
,,00001.551840,A3_33,0.04
,,00001.551920,A3_42,0.041
,,00001.552000,A3_21,0.024
,,00001.552400,A3_34,0.022
,,00001.552480,A3_31,0.042
,,00001.552640,A3_24,0.034
,,00001.553520,A3_22,0.022
,,00001.553920,A3_12,0.042
,,00001.554240,A3_13,0.09
,,00001.554320,A3_21,0.018
,,00001.554560,A3_42,0.039
,,00001.554720,A3_31,0.018
,,00001.554800,A3_32,0.024
,,00001.554880,A3_33,0.019
,,00001.555120,A3_34,0.018
,,00001.555440,A3_41,0.021
,,00001.556400,A3_23,0.015
,,00001.556400,A3_24,0.072
,,00001.557040,A3_12,0.042
,,00001.557120,A3_13,0.065
,,00001.557280,A3_31,0.018
,,00001.557280,A3_42,0.023
,,00001.557440,A3_33,0.017
,,00001.557520,A3_34,0.016
,,00001.557920,A3_32,0.027
,,00001.558320,A3_21,0.028
,,00001.558800,A3_14,0.012
,,00001.558880,A3_24,0.068
,,00001.558960,A3_22,0.031
,,00001.559520,A3_12,0.058
,,00001.559760,A3_34,0.012
,,00001.560080,A3_42,0.027
,,00001.560160,A3_23,0.024
,,00001.560240,A3_31,0.022
,,00001.560560,A3_32,0.025
,,00001.560560,A3_33,0.021
,,00001.560720,A3_41,0.01
,,00001.561200,A3_13,0.031
,,00001.561360,A3_24,0.043
,,00001.561840,A3_22,0.032
,,00001.562160,A3_12,0.032
,,00001.562560,A3_31,0.018
,,00001.562560,A3_34,0.018
,,00001.562720,A3_21,0.031
,,00001.563200,A3_33,0.018
,,00001.563200,A3_41,0.014
,,00001.563280,A3_32,0.025
,,00001.563280,A3_42,0.033
,,00001.563600,A3_24,0.057
,,00001.563680,A3_13,0.026
,,00001.564240,A3_23,0.011
,,00001.564480,A3_22,0.031
,,00001.564560,A3_12,0.04
,,00001.565360,A3_31,0.031
,,00001.565520,A3_33,0.027
,,00001.565840,A3_34,0.03
,,00001.566080,A3_32,0.019
,,00001.566160,A3_21,0.033
,,00001.566400,A3_41,0.009
,,00001.566640,A3_24,0.038
,,00001.566800,A3_13,0.02
,,00001.567280,A3_22,0.025
,,00001.567360,A3_42,0.051
,,00001.568160,A3_12,0.05
,,00001.568160,A3_33,0.025
,,00001.568480,A3_21,0.019
,,00001.568640,A3_31,0.024
,,00001.568800,A3_23,0.025
,,00001.568960,A3_24,0.045
,,00001.569040,A3_13,0.179
,,00001.569120,A3_34,0.033
,,00001.570080,A3_41,0.017
,,00001.570560,A3_12,0.057
,,00001.570720,A3_22,0.022
,,00001.571040,A3_33,0.019
,,00001.571200,A3_42,0.079
,,00001.571280,A3_24,0.034
,,00001.571360,A3_32,0.03
,,00001.571600,A3_13,0.073
,,00001.571920,A3_34,0.036
,,00001.572960,A3_12,0.039
,,00001.573200,A3_23,0.021
,,00001.573200,A3_41,0.009
,,00001.573280,A3_22,0.019
,,00001.573600,A3_33,0.031
,,00001.573680,A3_42,0.046
,,00001.574000,A3_31,0.025
,,00001.574560,A3_24,0.075
,,00001.574640,A3_21,0.026
,,00001.574880,A3_13,0.113
,,00001.575520,A3_22,0.02
,,00001.575600,A3_12,0.04
,,00001.576240,A3_23,0.02
,,00001.576800,A3_42,0.037
,,00001.576960,A3_24,0.045
,,00001.577200,A3_33,0.017
,,00001.577280,A3_31,0.031
,,00001.577920,A3_12,0.064
,,00001.578000,A3_14,0.013
,,00001.578160,A3_13,0.082
,,00001.578720,A3_23,0.013
,,00001.579200,A3_34,0.02
,,00001.579280,A3_42,0.064
,,00001.579360,A3_22,0.047
,,00001.579440,A3_41,0.014
,,00001.579760,A3_24,0.055
,,00001.580000,A3_21,0.03
,,00001.580480,A3_12,0.031
,,00001.580480,A3_31,0.035
,,00001.580800,A3_13,0.032
,,00001.581040,A3_33,0.03
,,00001.581520,A3_42,0.032
,,00001.581600,A3_32,0.02
,,00001.581760,A3_34,0.029
,,00001.581760,A3_41,0.011
,,00001.581840,A3_22,0.029
,,00001.582240,A3_23,0.02
,,00001.582240,A3_24,0.044
,,00001.582960,A3_12,0.026
,,00001.583600,A3_13,0.021
,,00001.584240,A3_22,0.021
,,00001.584320,A3_42,0.046
,,00001.584400,A3_31,0.015
,,00001.584640,A3_34,0.02
,,00001.585040,A3_24,0.042
,,00001.585200,A3_12,0.045
,,00001.585680,A3_21,0.03
,,00001.585760,A3_23,0.024
,,00001.585760,A3_32,0.022
,,00001.586720,A3_42,0.043
,,00001.586880,A3_13,0.024
,,00001.586960,A3_31,0.031
,,00001.587360,A3_22,0.028
,,00001.587600,A3_34,0.028
,,00001.587680,A3_33,0.034
,,00001.588080,A3_23,0.015
,,00001.588640,A3_12,0.053
,,00001.588640,A3_41,0.012
,,00001.589120,A3_42,0.028
,,00001.589200,A3_24,0.029
,,00001.590080,A3_22,0.025
,,00001.590160,A3_32,0.021
,,00001.590560,A3_31,0.034
,,00001.590560,A3_33,0.024
,,00001.590720,A3_23,0.012
,,00001.590960,A3_34,0.025
,,00001.591200,A3_21,0.02
,,00001.592000,A3_24,0.089
,,00001.592960,A3_31,0.021
,,00001.593760,A3_41,0.017
,,00001.594080,A3_12,0.032
,,00001.594240,A3_33,0.02
,,00001.594400,A3_42,0.026
,,00001.594480,A3_34,0.02
,,00001.594880,A3_22,0.021
,,00001.595600,A3_32,0.017
,,00001.595840,A3_24,0.036
,,00001.596320,A3_21,0.032
,,00001.596720,A3_41,0.018
,,00001.596720,A3_42,0.037
,,00001.597200,A3_12,0.032
,,00001.597360,A3_34,0.021
,,00001.597840,A3_32,0.031
,,00001.598080,A3_24,0.055
,,00001.598320,A3_31,0.022
,,00001.598560,A3_22,0.018
,,00001.598560,A3_33,0.016
,,00001.599360,A3_42,0.039
,,00001.599520,A3_12,0.04
,,00001.599920,A3_34,0.026
,,00001.600480,A3_24,0.021
,,00001.600480,A3_32,0.027
,,00001.600560,A3_41,0.008
,,00001.601520,A3_33,0.03
,,00001.601680,A3_22,0.026
,,00001.601840,A3_12,0.046
,,00001.602320,A3_31,0.025
,,00001.602880,A3_41,0.012
,,00001.603120,A3_34,0.025
,,00001.603200,A3_23,0.015
,,00001.603520,A3_24,0.034
,,00001.603760,A3_42,0.062
,,00001.604240,A3_33,0.023
,,00001.604400,A3_21,0.03
,,00001.604720,A3_12,0.032
,,00001.605600,A3_13,0.019
,,00001.605600,A3_23,0.01
,,00001.605760,A3_41,0.013
,,00001.605840,A3_34,0.02
,,00001.606640,A3_24,0.071
,,00001.606640,A3_33,0.035
,,00001.607280,A3_42,0.028
,,00001.607680,A3_12,0.037
,,00001.608080,A3_34,0.019
,,00001.608320,A3_13,0.022
,,00001.608320,A3_23,0.025
,,00001.608320,A3_31,0.022
,,00001.609280,A3_22,0.019
,,00001.609280,A3_33,0.021
,,00001.609920,A3_41,0.015
,,00001.610000,A3_12,0.035
,,00001.610160,A3_21,0.025
,,00001.610240,A3_42,0.031
,,00001.610480,A3_24,0.032
,,00001.610480,A3_34,0.028
,,00001.610640,A3_31,0.022
,,00001.611120,A3_23,0.022
,,00001.611440,A3_13,0.031
,,00001.611920,A3_32,0.028
,,00001.612320,A3_41,0.011
,,00001.612640,A3_33,0.018
,,00001.613040,A3_31,0.025
,,00001.613120,A3_42,0.034
,,00001.613360,A3_23,0.01
,,00001.613520,A3_22,0.028
,,00001.613680,A3_24,0.014
,,00001.613760,A3_13,0.078
,,00001.613840,A3_12,0.031
,,00001.614160,A3_34,0.026
,,00001.614400,A3_32,0.022
,,00001.614560,A3_21,0.026
,,00001.615040,A3_33,0.024
,,00001.616000,A3_24,0.038
,,00001.616000,A3_42,0.03
,,00001.616240,A3_12,0.029
,,00001.616480,A3_34,0.021
,,00001.616560,A3_13,0.1
,,00001.616880,A3_31,0.024
,,00001.617440,A3_32,0.019
,,00001.617520,A3_33,0.02
,,00001.617600,A3_41,0.012
,,00001.617680,A3_21,0.028
,,00001.618560,A3_22,0.028
,,00001.618800,A3_24,0.089
,,00001.618880,A3_23,0.015
,,00001.619120,A3_13,0.025
,,00001.619360,A3_42,0.06
,,00001.619840,A3_31,0.02
,,00001.619920,A3_12,0.036
,,00001.620080,A3_33,0.024
,,00001.620160,A3_14,0.011
,,00001.620240,A3_34,0.035
,,00001.621520,A3_13,0.084
,,00001.621520,A3_24,0.047
,,00001.621680,A3_22,0.014
,,00001.621840,A3_42,0.03
,,00001.622480,A3_33,0.017
,,00001.622480,A3_34,0.033
,,00001.622800,A3_23,0.021
,,00001.622880,A3_12,0.03
,,00001.623200,A3_21,0.032
,,00001.623440,A3_32,0.016
,,00001.624160,A3_24,0.057
,,00001.624880,A3_33,0.013
,,00001.625200,A3_12,0.031
,,00001.625280,A3_41,0.013
,,00001.625760,A3_42,0.043
,,00001.625840,A3_13,0.063
,,00001.625920,A3_22,0.023
,,00001.626480,A3_24,0.035
,,00001.626800,A3_34,0.022
,,00001.627200,A3_31,0.012
,,00001.627520,A3_12,0.029
,,00001.628080,A3_33,0.021
,,00001.628400,A3_13,0.157
,,00001.628640,A3_23,0.015
,,00001.628640,A3_42,0.026
,,00001.628960,A3_21,0.03
,,00001.629040,A3_24,0.03
,,00001.629280,A3_22,0.019
,,00001.629760,A3_31,0.031
,,00001.629760,A3_34,0.027
,,00001.630080,A3_12,0.044
,,00001.630160,A3_32,0.022
,,00001.630960,A3_13,0.018
,,00001.631280,A3_33,0.016
,,00001.631520,A3_24,0.032
,,00001.631680,A3_42,0.032
,,00001.631840,A3_22,0.034
,,00001.632400,A3_23,0.015
,,00001.632720,A3_12,0.035
,,00001.632880,A3_34,0.025
,,00001.633840,A3_24,0.026
,,00001.633840,A3_32,0.028
,,00001.634240,A3_33,0.027
,,00001.634480,A3_31,0.016
,,00001.634560,A3_42,0.029
,,00001.634640,A3_41,0.015
,,00001.634880,A3_21,0.022
,,00001.635040,A3_23,0.015
,,00001.635120,A3_22,0.017
,,00001.635760,A3_34,0.017
,,00001.635840,A3_13,0.053
,,00001.636160,A3_12,0.033
,,00001.636640,A3_33,0.019
,,00001.636720,A3_24,0.022
,,00001.636800,A3_42,0.033
,,00001.637440,A3_23,0.016
,,00001.637600,A3_41,0.014
,,00001.638240,A3_32,0.023
,,00001.638880,A3_12,0.029
,,00001.638960,A3_33,0.023
,,00001.638960,A3_34,0.019
,,00001.639440,A3_13,0.027
,,00001.639440,A3_24,0.071
,,00001.639520,A3_31,0.027
,,00001.640000,A3_42,0.033
,,00001.640240,A3_21,0.031
,,00001.641280,A3_22,0.022
,,00001.641360,A3_34,0.022
,,00001.641840,A3_12,0.04
,,00001.641840,A3_32,0.016
,,00001.642480,A3_41,0.007
,,00001.642640,A3_33,0.02
,,00001.642720,A3_42,0.049
,,00001.642800,A3_31,0.02
,,00001.642960,A3_13,0.031
,,00001.643360,A3_24,0.014
,,00001.644480,A3_34,0.015
,,00001.645120,A3_42,0.022
,,00001.645280,A3_12,0.044
,,00001.645920,A3_23,0.02
,,00001.645920,A3_24,0.028
,,00001.646320,A3_21,0.033
,,00001.646400,A3_22,0.022
,,00001.646640,A3_31,0.018
,,00001.646640,A3_33,0.017
,,00001.647120,A3_13,0.03
,,00001.647120,A3_32,0.025
,,00001.647680,A3_12,0.033
,,00001.647840,A3_34,0.017
,,00001.648240,A3_24,0.066
,,00001.648960,A3_42,0.031
,,00001.649360,A3_31,0.03
,,00001.649360,A3_32,0.021
,,00001.649440,A3_33,0.017
,,00001.650080,A3_34,0.021
,,00001.650400,A3_22,0.024
,,00001.650800,A3_12,0.032
,,00001.651040,A3_24,0.074
,,00001.651120,A3_11,0.012
,,00001.651600,A3_32,0.02
,,00001.651840,A3_31,0.014
,,00001.652000,A3_33,0.03
,,00001.652320,A3_21,0.029
,,00001.652480,A3_13,0.014
,,00001.653040,A3_12,0.016
,,00001.653760,A3_24,0.039
,,00001.654000,A3_42,0.045
,,00001.654160,A3_31,0.03
,,00001.654240,A3_22,0.027
,,00001.654320,A3_33,0.023
,,00001.654560,A3_32,0.02
,,00001.654800,A3_41,0.013
,,00001.655760,A3_12,0.028
,,00001.656160,A3_34,0.014
,,00001.656400,A3_42,0.021
,,00001.656800,A3_24,0.036
,,00001.656880,A3_13,0.037
,,00001.657040,A3_33,0.021
,,00001.657200,A3_22,0.02
,,00001.658480,A3_31,0.028
,,00001.658800,A3_34,0.033
,,00001.658960,A3_21,0.032
,,00001.659040,A3_12,0.036
,,00001.659200,A3_42,0.026
,,00001.659360,A3_41,0.018
,,00001.660640,A3_32,0.021
,,00001.660640,A3_33,0.019
,,00001.660880,A3_13,0.158
,,00001.661280,A3_23,0.015
,,00001.661280,A3_24,0.026
,,00001.661680,A3_34,0.019
,,00001.661680,A3_42,0.067
,,00001.662080,A3_12,0.04
,,00001.662240,A3_21,0.029
,,00001.662960,A3_33,0.016
,,00001.663840,A3_24,0.043
,,00001.664160,A3_13,0.11
,,00001.664160,A3_22,0.026
,,00001.664240,A3_31,0.012
,,00001.664560,A3_34,0.016
,,00001.664960,A3_12,0.031
,,00001.665120,A3_42,0.021
,,00001.665280,A3_23,0.014
,,00001.666160,A3_24,0.016
,,00001.666560,A3_22,0.023
,,00001.666720,A3_33,0.014
,,00001.666880,A3_34,0.021
,,00001.667200,A3_21,0.03
,,00001.667280,A3_13,0.029
,,00001.668000,A3_42,0.017
,,00001.668880,A3_12,0.044
