,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,14:08:25.999646,14:08:26.201696,0 days 00:00:00.202050
1,2,200,0,14:08:29.226771,14:08:29.436431,0 days 00:00:00.209660
2,3,200,0,14:08:32.469461,14:08:32.669724,0 days 00:00:00.200263
3,4,200,0,14:08:35.692514,14:08:35.896959,0 days 00:00:00.204445
4,5,200,0,14:08:38.919104,14:08:39.119399,0 days 00:00:00.200295
5,6,200,0,14:08:42.168941,14:08:42.388586,0 days 00:00:00.219645
6,7,200,0,14:08:45.428290,14:08:45.632406,0 days 00:00:00.204116
7,8,200,0,14:08:48.668605,14:08:48.868909,0 days 00:00:00.200304
8,9,200,0,14:08:51.896033,14:08:52.104756,0 days 00:00:00.208723
9,10,200,0,14:08:55.135150,14:08:55.351600,0 days 00:00:00.216450
10,1,200,20,14:08:58.384566,14:08:58.584609,0 days 00:00:00.200043
11,2,200,20,14:09:01.625028,14:09:01.843434,0 days 00:00:00.218406
12,3,200,20,14:09:04.874933,14:09:05.093734,0 days 00:00:00.218801
13,4,200,20,14:09:08.117615,14:09:08.334354,0 days 00:00:00.216739
14,5,200,20,14:09:11.374543,14:09:11.584146,0 days 00:00:00.209603
15,6,200,20,14:09:14.610465,14:09:14.820188,0 days 00:00:00.209723
16,7,200,20,14:09:17.868358,14:09:18.084033,0 days 00:00:00.215675
17,8,200,20,14:09:21.124060,14:09:21.337175,0 days 00:00:00.213115
18,9,200,20,14:09:24.383305,14:09:24.601906,0 days 00:00:00.218601
19,10,200,20,14:09:27.623573,14:09:27.833417,0 days 00:00:00.209844
20,1,200,40,14:09:30.875819,14:09:31.087007,0 days 00:00:00.211188
21,2,200,40,14:09:34.106774,14:09:34.316488,0 days 00:00:00.209714
22,3,200,40,14:09:37.365858,14:09:37.581315,0 days 00:00:00.215457
23,4,200,40,14:09:40.603346,14:09:40.803862,0 days 00:00:00.200516
24,5,200,40,14:09:43.833027,14:09:44.036501,0 days 00:00:00.203474
25,6,200,40,14:09:47.058773,14:09:47.263065,0 days 00:00:00.204292
26,7,200,40,14:09:50.291382,14:09:50.499545,0 days 00:00:00.208163
27,8,200,40,14:09:53.526353,14:09:53.739782,0 days 00:00:00.213429
28,9,200,40,14:09:56.764101,14:09:56.986959,0 days 00:00:00.222858
29,10,200,40,14:10:00.009681,14:10:00.210031,0 days 00:00:00.200350
30,1,200,60,14:10:03.239345,14:10:03.448595,0 days 00:00:00.209250
31,2,200,60,14:10:06.476135,14:10:06.699712,0 days 00:00:00.223577
32,3,200,60,14:10:09.728996,14:10:09.930656,0 days 00:00:00.201660
33,4,200,60,14:10:12.970891,14:10:13.174624,0 days 00:00:00.203733
34,5,200,60,14:10:16.202990,14:10:16.420116,0 days 00:00:00.217126
35,6,200,60,14:10:19.445394,14:10:19.652288,0 days 00:00:00.206894
36,7,200,60,14:10:22.684561,14:10:22.886186,0 days 00:00:00.201625
37,8,200,60,14:10:25.913768,14:10:26.121909,0 days 00:00:00.208141
38,9,200,60,14:10:29.146281,14:10:29.355755,0 days 00:00:00.209474
39,10,200,60,14:10:32.378858,14:10:32.588151,0 days 00:00:00.209293
40,1,200,80,14:10:35.620034,14:10:35.829510,0 days 00:00:00.209476
41,2,200,80,14:10:38.879454,14:10:39.099793,0 days 00:00:00.220339
42,3,200,80,14:10:42.139750,14:10:42.349895,0 days 00:00:00.210145
43,4,200,80,14:10:45.379204,14:10:45.586017,0 days 00:00:00.206813
44,5,200,80,14:10:48.619441,14:10:48.829123,0 days 00:00:00.209682
45,6,200,80,14:10:51.869175,14:10:52.078846,0 days 00:00:00.209671
46,7,200,80,14:10:55.119025,14:10:55.328455,0 days 00:00:00.209430
47,8,200,80,14:10:58.369306,14:10:58.583412,0 days 00:00:00.214106
48,9,200,80,14:11:01.618689,14:11:01.828684,0 days 00:00:00.209995
49,10,200,80,14:11:04.871395,14:11:05.085578,0 days 00:00:00.214183
50,1,200,100,14:11:08.118226,14:11:08.326783,0 days 00:00:00.208557
51,2,200,100,14:11:11.365118,14:11:11.578960,0 days 00:00:00.213842
52,3,200,100,14:11:14.618242,14:11:14.827399,0 days 00:00:00.209157
53,4,200,100,14:11:17.853377,14:11:18.064534,0 days 00:00:00.211157
54,5,200,100,14:11:21.101009,14:11:21.310650,0 days 00:00:00.209641
55,6,200,100,14:11:24.353449,14:11:24.562635,0 days 00:00:00.209186
56,7,200,100,14:11:27.593455,14:11:27.800734,0 days 00:00:00.207279
57,8,200,100,14:11:30.833916,14:11:31.043464,0 days 00:00:00.209548
58,9,200,100,14:11:34.084155,14:11:34.293705,0 days 00:00:00.209550
59,10,200,100,14:11:37.333591,14:11:37.540199,0 days 00:00:00.206608
