,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,14:46:39.897701,14:46:40.114128,0 days 00:00:00.216427
1,2,200,0,14:46:43.135955,14:46:43.345881,0 days 00:00:00.209926
2,3,200,0,14:46:46.372708,14:46:46.582372,0 days 00:00:00.209664
3,4,200,0,14:46:49.616337,14:46:49.828256,0 days 00:00:00.211919
4,5,200,0,14:46:52.854683,14:46:53.064240,0 days 00:00:00.209557
5,6,200,0,14:46:56.104625,14:46:56.314695,0 days 00:00:00.210070
6,7,200,0,14:46:59.348295,14:46:59.548368,0 days 00:00:00.200073
7,8,200,0,14:47:02.588228,14:47:02.797146,0 days 00:00:00.208918
8,9,200,0,14:47:05.830347,14:47:06.051313,0 days 00:00:00.220966
9,10,200,0,14:47:09.089731,14:47:09.296649,0 days 00:00:00.206918
10,1,200,20,14:47:12.330262,14:47:12.550808,0 days 00:00:00.220546
11,2,200,20,14:47:15.579137,14:47:15.785958,0 days 00:00:00.206821
12,3,200,20,14:47:18.814669,14:47:19.021567,0 days 00:00:00.206898
13,4,200,20,14:47:22.056257,14:47:22.258096,0 days 00:00:00.201839
14,5,200,20,14:47:25.284362,14:47:25.498096,0 days 00:00:00.213734
15,6,200,20,14:47:28.529488,14:47:28.730135,0 days 00:00:00.200647
16,7,200,20,14:47:31.756507,14:47:31.968515,0 days 00:00:00.212008
17,8,200,20,14:47:35.003598,14:47:35.216805,0 days 00:00:00.213207
18,9,200,20,14:47:38.251978,14:47:38.459756,0 days 00:00:00.207778
19,10,200,20,14:47:41.485096,14:47:41.689151,0 days 00:00:00.204055
20,1,200,40,14:47:44.718159,14:47:44.932179,0 days 00:00:00.214020
21,2,200,40,14:47:47.970672,14:47:48.178508,0 days 00:00:00.207836
22,3,200,40,14:47:51.218077,14:47:51.422267,0 days 00:00:00.204190
23,4,200,40,14:47:54.461297,14:47:54.677625,0 days 00:00:00.216328
24,5,200,40,14:47:57.719770,14:47:57.932370,0 days 00:00:00.212600
25,6,200,40,14:48:00.955705,14:48:01.161052,0 days 00:00:00.205347
26,7,200,40,14:48:04.184689,14:48:04.393992,0 days 00:00:00.209303
27,8,200,40,14:48:07.427095,14:48:07.627208,0 days 00:00:00.200113
28,9,200,40,14:48:10.667379,14:48:10.876886,0 days 00:00:00.209507
29,10,200,40,14:48:13.900012,14:48:14.106851,0 days 00:00:00.206839
30,1,200,60,14:48:17.133327,14:48:17.343084,0 days 00:00:00.209757
31,2,200,60,14:48:20.366652,14:48:20.576557,0 days 00:00:00.209905
32,3,200,60,14:48:23.617297,14:48:23.826188,0 days 00:00:00.208891
33,4,200,60,14:48:26.852530,14:48:27.059486,0 days 00:00:00.206956
34,5,200,60,14:48:30.092519,14:48:30.292789,0 days 00:00:00.200270
35,6,200,60,14:48:33.332512,14:48:33.535600,0 days 00:00:00.203088
36,7,200,60,14:48:36.565377,14:48:36.779454,0 days 00:00:00.214077
37,8,200,60,14:48:39.815611,14:48:40.029473,0 days 00:00:00.213862
38,9,200,60,14:48:43.065111,14:48:43.270082,0 days 00:00:00.204971
39,10,200,60,14:48:46.301192,14:48:46.511987,0 days 00:00:00.210795
40,1,200,80,14:48:49.546533,14:48:49.762002,0 days 00:00:00.215469
41,2,200,80,14:48:52.782492,14:48:52.991136,0 days 00:00:00.208644
42,3,200,80,14:48:56.015074,14:48:56.224587,0 days 00:00:00.209513
43,4,200,80,14:48:59.264604,14:48:59.477628,0 days 00:00:00.213024
44,5,200,80,14:49:02.525944,14:49:02.740902,0 days 00:00:00.214958
45,6,200,80,14:49:05.764977,14:49:05.968019,0 days 00:00:00.203042
46,7,200,80,14:49:09.000262,14:49:09.203871,0 days 00:00:00.203609
47,8,200,80,14:49:12.229224,14:49:12.446759,0 days 00:00:00.217535
48,9,200,80,14:49:15.480419,14:49:15.683106,0 days 00:00:00.202687
49,10,200,80,14:49:18.719013,14:49:18.919649,0 days 00:00:00.200636
50,1,200,100,14:49:21.947007,14:49:22.153921,0 days 00:00:00.206914
51,2,200,100,14:49:25.177388,14:49:25.394071,0 days 00:00:00.216683
52,3,200,100,14:49:28.425834,14:49:28.627057,0 days 00:00:00.201223
53,4,200,100,14:49:31.653793,14:49:31.863106,0 days 00:00:00.209313
54,5,200,100,14:49:34.883793,14:49:35.095801,0 days 00:00:00.212008
55,6,200,100,14:49:38.127955,14:49:38.341332,0 days 00:00:00.213377
56,7,200,100,14:49:41.371087,14:49:41.574049,0 days 00:00:00.202962
57,8,200,100,14:49:44.601836,14:49:44.812798,0 days 00:00:00.210962
58,9,200,100,14:49:47.848030,14:49:48.051180,0 days 00:00:00.203150
59,10,200,100,14:49:51.078408,14:49:51.286596,0 days 00:00:00.208188
