,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,15:16:34.000824,15:16:34.211046,0 days 00:00:00.210222
1,2,200,0,15:16:37.249881,15:16:37.459811,0 days 00:00:00.209930
2,3,200,0,15:16:40.488003,15:16:40.688490,0 days 00:00:00.200487
3,4,200,0,15:16:43.714331,15:16:43.922737,0 days 00:00:00.208406
4,5,200,0,15:16:46.947242,15:16:47.149115,0 days 00:00:00.201873
5,6,200,0,15:16:50.177807,15:16:50.385907,0 days 00:00:00.208100
6,7,200,0,15:16:53.408921,15:16:53.615806,0 days 00:00:00.206885
7,8,200,0,15:16:56.648936,15:16:56.859211,0 days 00:00:00.210275
8,9,200,0,15:16:59.898687,15:17:00.102997,0 days 00:00:00.204310
9,10,200,0,15:17:03.142617,15:17:03.362830,0 days 00:00:00.220213
10,1,200,20,15:17:06.391582,15:17:06.613484,0 days 00:00:00.221902
11,2,200,20,15:17:09.648290,15:17:09.860939,0 days 00:00:00.212649
12,3,200,20,15:17:12.897828,15:17:13.098285,0 days 00:00:00.200457
13,4,200,20,15:17:16.131217,15:17:16.344875,0 days 00:00:00.213658
14,5,200,20,15:17:19.383390,15:17:19.590849,0 days 00:00:00.207459
15,6,200,20,15:17:22.630778,15:17:22.840872,0 days 00:00:00.210094
16,7,200,20,15:17:25.874082,15:17:26.074623,0 days 00:00:00.200541
17,8,200,20,15:17:29.100750,15:17:29.313851,0 days 00:00:00.213101
18,9,200,20,15:17:32.346917,15:17:32.556689,0 days 00:00:00.209772
19,10,200,20,15:17:35.600900,15:17:35.802620,0 days 00:00:00.201720
20,1,200,40,15:17:38.840962,15:17:39.049855,0 days 00:00:00.208893
21,2,200,40,15:17:42.080262,15:17:42.289570,0 days 00:00:00.209308
22,3,200,40,15:17:45.313345,15:17:45.523161,0 days 00:00:00.209816
23,4,200,40,15:17:48.566181,15:17:48.776121,0 days 00:00:00.209940
24,5,200,40,15:17:51.796184,15:17:52.022638,0 days 00:00:00.226454
25,6,200,40,15:17:55.048521,15:17:55.256225,0 days 00:00:00.207704
26,7,200,40,15:17:58.296620,15:17:58.505669,0 days 00:00:00.209049
27,8,200,40,15:18:01.555659,15:18:01.764118,0 days 00:00:00.208459
28,9,200,40,15:18:04.795491,15:18:05.005653,0 days 00:00:00.210162
29,10,200,40,15:18:08.045337,15:18:08.255551,0 days 00:00:00.210214
30,1,200,60,15:18:11.295459,15:18:11.505571,0 days 00:00:00.210112
31,2,200,60,15:18:14.545542,15:18:14.754464,0 days 00:00:00.208922
32,3,200,60,15:18:17.781607,15:18:17.987674,0 days 00:00:00.206067
33,4,200,60,15:18:21.011825,15:18:21.220956,0 days 00:00:00.209131
34,5,200,60,15:18:24.254272,15:18:24.463831,0 days 00:00:00.209559
35,6,200,60,15:18:27.495222,15:18:27.703735,0 days 00:00:00.208513
36,7,200,60,15:18:30.744197,15:18:30.954286,0 days 00:00:00.210089
37,8,200,60,15:18:33.994115,15:18:34.204018,0 days 00:00:00.209903
38,9,200,60,15:18:37.243883,15:18:37.447380,0 days 00:00:00.203497
39,10,200,60,15:18:40.480331,15:18:40.686455,0 days 00:00:00.206124
40,1,200,80,15:18:43.726977,15:18:43.936314,0 days 00:00:00.209337
41,2,200,80,15:18:46.960418,15:18:47.170716,0 days 00:00:00.210298
42,3,200,80,15:18:50.210184,15:18:50.426445,0 days 00:00:00.216261
43,4,200,80,15:18:53.452431,15:18:53.659776,0 days 00:00:00.207345
44,5,200,80,15:18:56.693398,15:18:56.902947,0 days 00:00:00.209549
45,6,200,80,15:18:59.942481,15:19:00.152330,0 days 00:00:00.209849
46,7,200,80,15:19:03.195162,15:19:03.402168,0 days 00:00:00.207006
47,8,200,80,15:19:06.441998,15:19:06.651998,0 days 00:00:00.210000
48,9,200,80,15:19:09.691459,15:19:09.895487,0 days 00:00:00.204028
49,10,200,80,15:19:12.924906,15:19:13.139494,0 days 00:00:00.214588
50,1,200,100,15:19:16.174825,15:19:16.389646,0 days 00:00:00.214821
51,2,200,100,15:19:19.417748,15:19:19.624608,0 days 00:00:00.206860
52,3,200,100,15:19:22.657762,15:19:22.871366,0 days 00:00:00.213604
53,4,200,100,15:19:25.907744,15:19:26.131783,0 days 00:00:00.224039
54,5,200,100,15:19:29.161138,15:19:29.368041,0 days 00:00:00.206903
55,6,200,100,15:19:32.407343,15:19:32.620905,0 days 00:00:00.213562
56,7,200,100,15:19:35.657555,15:19:35.871197,0 days 00:00:00.213642
57,8,200,100,15:19:38.906677,15:19:39.110306,0 days 00:00:00.203629
58,9,200,100,15:19:42.140425,15:19:42.350786,0 days 00:00:00.210361
59,10,200,100,15:19:45.389797,15:19:45.603910,0 days 00:00:00.214113
