,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,11:36:34.000213,11:36:34.202348,0 days 00:00:00.202135
1,2,200,0,11:36:37.228789,11:36:37.429754,0 days 00:00:00.200965
2,3,200,0,11:36:40.452269,11:36:40.659296,0 days 00:00:00.207027
3,4,200,0,11:36:43.691993,11:36:43.901996,0 days 00:00:00.210003
4,5,200,0,11:36:46.925754,11:36:47.129492,0 days 00:00:00.203738
5,6,200,0,11:36:50.168226,11:36:50.379477,0 days 00:00:00.211251
6,7,200,0,11:36:53.408239,11:36:53.612406,0 days 00:00:00.204167
7,8,200,0,11:36:56.641374,11:36:56.851028,0 days 00:00:00.209654
8,9,200,0,11:36:59.891080,11:37:00.100752,0 days 00:00:00.209672
9,10,200,0,11:37:03.141108,11:37:03.354816,0 days 00:00:00.213708
10,1,200,20,11:37:06.390725,11:37:06.609193,0 days 00:00:00.218468
11,2,200,20,11:37:09.643176,11:37:09.849348,0 days 00:00:00.206172
12,3,200,20,11:37:12.890429,11:37:13.099615,0 days 00:00:00.209186
13,4,200,20,11:37:16.123890,11:37:16.338152,0 days 00:00:00.214262
14,5,200,20,11:37:19.381499,11:37:19.590194,0 days 00:00:00.208695
15,6,200,20,11:37:22.623412,11:37:22.837085,0 days 00:00:00.213673
16,7,200,20,11:37:25.882781,11:37:26.089835,0 days 00:00:00.207054
17,8,200,20,11:37:29.123091,11:37:29.332509,0 days 00:00:00.209418
18,9,200,20,11:37:32.381881,11:37:32.589668,0 days 00:00:00.207787
19,10,200,20,11:37:35.622670,11:37:35.834203,0 days 00:00:00.211533
20,1,200,40,11:37:38.856256,11:37:39.067253,0 days 00:00:00.210997
21,2,200,40,11:37:42.105945,11:37:42.315254,0 days 00:00:00.209309
22,3,200,40,11:37:45.339042,11:37:45.548499,0 days 00:00:00.209457
23,4,200,40,11:37:48.588653,11:37:48.798186,0 days 00:00:00.209533
24,5,200,40,11:37:51.839604,11:37:52.048176,0 days 00:00:00.208572
25,6,200,40,11:37:55.071652,11:37:55.281525,0 days 00:00:00.209873
26,7,200,40,11:37:58.314208,11:37:58.521805,0 days 00:00:00.207597
27,8,200,40,11:38:01.554076,11:38:01.764295,0 days 00:00:00.210219
28,9,200,40,11:38:04.804528,11:38:05.014368,0 days 00:00:00.209840
29,10,200,40,11:38:08.056789,11:38:08.263883,0 days 00:00:00.207094
30,1,200,60,11:38:11.296992,11:38:11.504372,0 days 00:00:00.207380
31,2,200,60,11:38:14.532147,11:38:14.736986,0 days 00:00:00.204839
32,3,200,60,11:38:17.770286,11:38:17.981658,0 days 00:00:00.211372
33,4,200,60,11:38:21.009648,11:38:21.216913,0 days 00:00:00.207265
34,5,200,60,11:38:24.241479,11:38:24.449025,0 days 00:00:00.207546
35,6,200,60,11:38:27.477508,11:38:27.681898,0 days 00:00:00.204390
36,7,200,60,11:38:30.703941,11:38:30.904761,0 days 00:00:00.200820
37,8,200,60,11:38:33.930505,11:38:34.138067,0 days 00:00:00.207562
38,9,200,60,11:38:37.179329,11:38:37.400098,0 days 00:00:00.220769
39,10,200,60,11:38:40.437342,11:38:40.650063,0 days 00:00:00.212721
40,1,200,80,11:38:43.685552,11:38:43.889659,0 days 00:00:00.204107
41,2,200,80,11:38:46.918740,11:38:47.128632,0 days 00:00:00.209892
42,3,200,80,11:38:50.178624,11:38:50.378638,0 days 00:00:00.200014
43,4,200,80,11:38:53.401589,11:38:53.611550,0 days 00:00:00.209961
44,5,200,80,11:38:56.653808,11:38:56.866073,0 days 00:00:00.212265
45,6,200,80,11:38:59.901146,11:39:00.111526,0 days 00:00:00.210380
46,7,200,80,11:39:03.150969,11:39:03.367869,0 days 00:00:00.216900
47,8,200,80,11:39:06.400979,11:39:06.611092,0 days 00:00:00.210113
48,9,200,80,11:39:09.651204,11:39:09.860838,0 days 00:00:00.209634
49,10,200,80,11:39:12.886270,11:39:13.093684,0 days 00:00:00.207414
50,1,200,100,11:39:16.132354,11:39:16.342481,0 days 00:00:00.210127
51,2,200,100,11:39:19.370066,11:39:19.576789,0 days 00:00:00.206723
52,3,200,100,11:39:22.600314,11:39:22.810179,0 days 00:00:00.209865
53,4,200,100,11:39:25.859791,11:39:26.066882,0 days 00:00:00.207091
54,5,200,100,11:39:29.093530,11:39:29.300290,0 days 00:00:00.206760
55,6,200,100,11:39:32.332974,11:39:32.545202,0 days 00:00:00.212228
56,7,200,100,11:39:35.582906,11:39:35.792888,0 days 00:00:00.209982
57,8,200,100,11:39:38.816410,11:39:39.019295,0 days 00:00:00.202885
58,9,200,100,11:39:42.050152,11:39:42.256733,0 days 00:00:00.206581
59,10,200,100,11:39:45.283112,11:39:45.483983,0 days 00:00:00.200871
