Investigator;;Time (s);Electrode;Amplitude (mV)
;;0.99928;C4_42;0.019
;;0.99968;C4_22;0.025
;;1.00032;C4_23;0.068
;;1.00048;C4_43;0.009
;;1.0016;C4_32;0.027
;;1.00288;C4_22;0.019
;;1.00336;C4_23;0.034
;;1.00352;C4_21;0.093
;;1.00456;C4_44;0.029
;;1.00512;C4_43;0.105
;;1.00584;C4_23;0.053
;;1.00616;C4_22;0.025
;;1.00648;C4_32;0.037
;;1.0072;C4_12;0.048
;;1.0076;C4_21;0.013
;;1.00864;C4_23;0.314
;;1.00872;C4_22;0.02
;;1.00872;C4_24;0.037
;;1.00984;C4_21;0.113
;;1.01032;C4_11;0.026
;;1.01048;C4_44;0.025
;;1.01128;C4_22;0.038
;;1.01136;C4_23;0.089
;;1.012;C4_43;0.017
;;1.01304;C4_42;0.021
;;1.01424;C4_12;0.028
;;1.0144;C4_21;0.022
;;1.01448;C4_23;0.035
;;1.01456;C4_11;0.048
;;1.01496;C4_22;0.031
;;1.0156;C4_32;0.039
;;1.01576;C4_24;0.034
;;1.01672;C4_21;0.107
;;1.01672;C4_43;0.106
;;1.018;C4_24;0.02
;;1.01856;C4_44;0.043
;;1.01864;C4_23;0.023
;;1.0208;C4_43;0.018
;;1.02096;C4_23;0.034
;;1.02256;C4_21;0.102
;;1.02368;C4_12;0.043
;;1.02384;C4_11;0.018
;;1.02416;C4_23;0.051
;;1.02504;C4_21;0.025
;;1.02672;C4_24;0.034
;;1.02784;C4_23;0.055
;;1.02824;C4_44;0.027
;;1.02832;C4_43;0.021
;;1.02944;C4_11;0.043
;;1.03056;C4_44;0.021
;;1.03144;C4_23;0.029
;;1.03208;C4_32;0.032
;;1.03312;C4_12;0.018
;;1.03528;C4_23;0.042
;;1.03656;C4_24;0.035
;;1.03688;C4_21;0.124
;;1.0372;C4_12;0.053
;;1.03832;C4_23;0.231
;;1.03832;C4_32;0.045
;;1.03896;C4_22;0.031
;;1.03912;C4_24;0.051
;;1.03928;C4_21;0.025
;;1.04104;C4_44;0.027
;;1.04128;C4_22;0.031
;;1.04128;C4_23;0.039
;;1.04192;C4_12;0.021
;;1.04232;C4_21;0.104
;;1.04432;C4_23;0.066
;;1.04472;C4_24;0.03
;;1.04504;C4_44;0.029
;;1.04576;C4_43;0.12
;;1.0464;C4_12;0.044
;;1.04664;C4_21;0.012
;;1.04672;C4_23;0.191
;;1.04696;C4_24;0.053
;;1.04808;C4_43;0.028
;;1.04864;C4_22;0.04
;;1.0492;C4_21;0.107
;;1.0496;C4_24;0.025
;;1.04992;C4_44;0.032
;;1.05032;C4_23;0.048
;;1.05056;C4_42;0.023
;;1.0508;C4_32;0.039
;;1.05136;C4_43;0.03
;;1.05184;C4_22;0.017
;;1.05328;C4_11;0.055
;;1.05352;C4_21;0.017
;;1.05352;C4_32;0.016
;;1.05416;C4_23;0.022
;;1.056;C4_11;0.026
;;1.05664;C4_21;0.102
;;1.0576;C4_12;0.026
;;1.05896;C4_22;0.021
;;1.05928;C4_32;0.032
;;1.06;C4_43;0.041
;;1.06088;C4_23;0.061
;;1.06136;C4_21;0.019
;;1.06312;C4_23;0.021
;;1.0636;C4_44;0.024
;;1.06496;C4_21;0.112
;;1.06544;C4_32;0.026
;;1.06568;C4_23;0.026
;;1.06648;C4_43;0.02
;;1.06704;C4_12;0.019
;;1.06992;C4_23;0.053
;;1.07008;C4_42;0.019
;;1.07112;C4_44;0.038
;;1.07136;C4_43;0.109
;;1.07184;C4_32;0.031
;;1.07232;C4_23;0.028
;;1.07304;C4_24;0.021
;;1.07352;C4_21;0.112
;;1.07368;C4_44;0.021
;;1.07584;C4_21;0.013
;;1.07824;C4_32;0.035
;;1.07848;C4_44;0.028
;;1.07928;C4_23;0.058
;;1.0812;C4_22;0.056
;;1.08128;C4_44;0.023
;;1.08168;C4_24;0.045
;;1.08232;C4_21;0.108
;;1.08232;C4_23;0.027
;;1.0832;C4_42;0.013
;;1.0844;C4_33;0.022
;;1.08472;C4_23;0.054
;;1.08504;C4_22;0.015
;;1.08576;C4_32;0.031
;;1.08632;C4_12;0.048
;;1.08672;C4_24;0.052
;;1.08728;C4_21;0.023
;;1.08736;C4_23;0.277
;;1.08864;C4_22;0.041
;;1.08912;C4_44;0.029
;;1.08984;C4_12;0.032
;;1.09;C4_21;0.111
;;1.09024;C4_23;0.08
;;1.09128;C4_22;0.028
;;1.09128;C4_43;0.116
;;1.09216;C4_32;0.029
;;1.09224;C4_44;0.027
;;1.09352;C4_11;0.047
;;1.09368;C4_43;0.021
;;1.09424;C4_23;0.034
;;1.09448;C4_22;0.019
;;1.09456;C4_32;0.022
;;1.09496;C4_21;0.113
;;1.098;C4_11;0.038
;;1.09896;C4_32;0.029
;;1.09904;C4_23;0.031
;;1.09936;C4_43;0.018
;;1.10128;C4_24;0.021
;;1.10152;C4_21;0.099
;;1.1016;C4_44;0.025
;;1.10232;C4_23;0.038
;;1.10304;C4_22;0.026
;;1.1032;C4_42;0.017
;;1.10408;C4_12;0.026
;;1.1056;C4_21;0.016
;;1.10592;C4_23;0.056
;;1.10608;C4_24;0.055
;;1.10768;C4_43;0.023
;;1.10776;C4_44;0.017
;;1.1084;C4_21;0.101
;;1.10976;C4_22;0.022
;;1.11224;C4_22;0.028
;;1.11248;C4_32;0.035
;;1.11264;C4_23;0.041
;;1.11392;C4_33;0.021
;;1.11568;C4_23;0.05
;;1.11784;C4_21;0.104
;;1.11984;C4_43;0.019
;;1.12072;C4_23;0.03
;;1.1216;C4_32;0.028
;;1.12168;C4_44;0.029
;;1.12368;C4_22;0.016
;;1.1272;C4_23;0.058
;;1.13536;C4_22;0.02
;;1.13592;C4_23;0.063
;;1.13712;C4_32;0.029
;;1.13792;C4_12;0.023
;;1.14008;C4_23;0.03
;;1.14048;C4_34;0.022
;;1.14144;C4_22;0.032
;;1.1424;C4_23;0.039
;;1.14432;C4_32;0.028
;;1.14624;C4_44;0.016
;;1.14712;C4_21;0.109
;;1.14784;C4_23;0.056
;;1.14904;C4_44;0.016
;;1.1512;C4_23;0.039
;;1.15144;C4_22;0.022
;;1.15192;C4_32;0.034
;;1.15208;C4_42;0.022
;;1.1524;C4_21;0.108
;;1.15424;C4_23;0.063
;;1.15504;C4_43;0.075
;;1.15544;C4_12;0.045
;;1.15616;C4_44;0.031
;;1.1568;C4_23;0.236
;;1.1572;C4_24;0.074
;;1.1572;C4_32;0.026
;;1.15776;C4_22;0.047
;;1.15824;C4_43;0.041
;;1.1584;C4_44;0.022
;;1.15872;C4_21;0.102
;;1.16008;C4_23;0.028
;;1.16088;C4_44;0.03
;;1.16128;C4_12;0.02
;;1.16168;C4_43;0.024
;;1.16176;C4_21;0.03
;;1.1624;C4_33;0.02
;;1.16344;C4_23;0.034
;;1.16416;C4_21;0.071
;;1.1652;C4_44;0.03
;;1.16544;C4_24;0.045
;;1.16568;C4_23;0.052
;;1.16696;C4_42;0.02
;;1.16712;C4_21;0.017
;;1.16768;C4_22;0.019
;;1.16864;C4_43;0.019
;;1.17008;C4_23;0.068
;;1.172;C4_32;0.035
;;1.17416;C4_23;0.015
;;1.17448;C4_21;0.109
;;1.18136;C4_22;0.024
;;1.18448;C4_21;0.11
;;1.18456;C4_23;0.062
;;1.18928;C4_32;0.037
;;1.19016;C4_23;0.037
;;1.19336;C4_22;0.021
;;1.19624;C4_12;0.032
;;1.19656;C4_23;0.055
;;1.19688;C4_21;0.109
;;1.20032;C4_32;0.031
;;1.20136;C4_44;0.031
;;1.20192;C4_11;0.045
;;1.202;C4_22;0.025
;;1.20272;C4_43;0.119
;;1.20368;C4_23;0.045
;;1.20376;C4_21;0.104
;;1.20584;C4_42;0.017
;;1.2064;C4_21;0.015
;;1.20656;C4_23;0.032
;;1.20696;C4_44;0.027
;;1.20912;C4_21;0.015
;;1.2108;C4_23;0.016
;;1.21104;C4_22;0.028
;;1.21496;C4_22;0.026
;;1.21552;C4_32;0.03
;;1.21784;C4_23;0.049
;;1.21856;C4_21;0.104
;;1.22056;C4_23;0.019
;;1.22192;C4_43;0.019
;;1.22344;C4_32;0.031
;;1.22376;C4_23;0.032
;;1.22664;C4_22;0.021
;;1.22824;C4_11;0.041
;;1.2288;C4_23;0.056
;;1.22896;C4_12;0.022
;;1.22984;C4_21;0.109
;;1.23064;C4_42;0.014
;;1.23136;C4_32;0.033
;;1.23384;C4_23;0.03
;;1.2352;C4_44;0.032
;;1.23632;C4_23;0.025
;;1.23688;C4_24;0.028
;;1.2376;C4_44;0.026
;;1.23768;C4_32;0.032
;;1.23864;C4_22;0.017
;;1.23936;C4_43;0.113
;;1.24008;C4_23;0.026
;;1.24168;C4_43;0.02
;;1.24184;C4_44;0.032
;;1.24208;C4_34;0.014
;;1.24488;C4_22;0.03
;;1.2456;C4_21;0.103
;;1.24576;C4_23;0.07
;;1.24632;C4_24;0.053
;;1.2484;C4_21;0.02
;;1.2492;C4_44;0.025
;;1.2516;C4_22;0.034
;;1.2528;C4_43;0.027
;;1.25376;C4_23;0.038
;;1.25392;C4_21;0.102
;;1.25416;C4_44;0.023
;;1.2544;C4_12;0.021
;;1.25472;C4_22;0.024
;;1.25616;C4_43;0.019
;;1.25648;C4_42;0.018
;;1.2576;C4_23;0.04
;;1.25848;C4_44;0.03
;;1.25904;C4_32;0.031
;;1.2592;C4_34;0.025
;;1.25936;C4_33;0.021
;;1.25992;C4_23;0.043
;;1.26512;C4_11;0.039
;;1.26552;C4_42;0.019
;;1.26816;C4_23;0.058
;;1.2708;C4_23;0.019
;;1.27344;C4_44;0.02
;;1.2736;C4_21;0.111
;;1.27472;C4_32;0.027
;;1.27536;C4_43;0.036
;;1.2756;C4_23;0.039
;;1.27616;C4_21;0.016
;;1.27712;C4_12;0.026
;;1.2772;C4_22;0.053
;;1.27768;C4_42;0.015
;;1.27904;C4_43;0.019
;;1.28224;C4_21;0.1
;;1.28224;C4_32;0.029
;;1.28336;C4_22;0.028
;;1.28352;C4_43;0.114
;;1.28416;C4_23;0.037
;;1.28448;C4_32;0.015
;;1.28464;C4_21;0.018
;;1.28592;C4_43;0.014
;;1.28616;C4_22;0.035
;;1.2864;C4_23;0.043
;;1.28768;C4_44;0.044
;;1.28848;C4_22;0.018
;;1.28872;C4_12;0.04
;;1.28888;C4_23;0.25
;;1.28896;C4_24;0.068
;;1.2896;C4_32;0.031
;;1.28992;C4_21;0.104
;;1.2912;C4_24;0.028
;;1.29216;C4_23;0.045
;;1.2924;C4_22;0.031
;;1.2924;C4_44;0.032
;;1.2936;C4_43;0.026
;;1.29512;C4_21;0.021
;;1.29624;C4_32;0.029
;;1.29648;C4_22;0.022
;;1.29648;C4_24;0.038
;;1.2972;C4_23;0.072
;;1.2984;C4_21;0.108
;;1.29872;C4_11;0.02
;;1.30104;C4_44;0.025
;;1.30456;C4_43;0.022
;;1.30784;C4_23;0.057
;;1.30824;C4_12;0.024
;;1.31104;C4_43;0.104
;;1.31352;C4_43;0.021
;;1.31392;C4_44;0.025
;;1.3152;C4_21;0.101
;;1.3188;C4_23;0.028
;;1.31992;C4_44;0.031
;;1.32;C4_42;0.018
;;1.32072;C4_32;0.033
;;1.32128;C4_23;0.033
;;1.32432;C4_23;0.019
;;1.32632;C4_21;0.11
;;1.32672;C4_23;0.055
;;1.33024;C4_23;0.037
;;1.33384;C4_23;0.055
;;1.33464;C4_32;0.029
;;1.34088;C4_23;0.031
;;1.34192;C4_44;0.027
;;1.34768;C4_32;0.036
;;1.34776;C4_21;0.108
;;1.34928;C4_23;0.021
;;1.35;C4_22;0.026
;;1.35168;C4_12;0.019
;;1.352;C4_21;0.015
;;1.35232;C4_23;0.058
;;1.35336;C4_43;0.022
;;1.35344;C4_44;0.032
;;1.35584;C4_11;0.051
;;1.35592;C4_23;0.037
;;1.35616;C4_32;0.031
;;1.35624;C4_44;0.028
;;1.35896;C4_21;0.108
;;1.36056;C4_44;0.016
;;1.3612;C4_22;0.028
;;1.3632;C4_21;0.013
;;1.36432;C4_44;0.029
;;1.3644;C4_23;0.052
;;1.36616;C4_12;0.048
;;1.36648;C4_24;0.066
;;1.36704;C4_23;0.45
;;1.36736;C4_32;0.031
;;1.36776;C4_21;0.099
;;1.3692;C4_12;0.026
;;1.36952;C4_23;0.035
;;1.36992;C4_11;0.023
;;1.37;C4_22;0.028
;;1.37032;C4_44;0.049
;;1.37088;C4_42;0.018
;;1.37272;C4_23;0.053
;;1.37312;C4_42;0.02
;;1.3732;C4_21;0.016
;;1.37336;C4_32;0.034
;;1.37344;C4_43;0.114
;;1.37624;C4_43;0.021
;;1.3772;C4_23;0.023
;;1.37872;C4_44;0.032
;;1.3788;C4_22;0.023
;;1.37976;C4_32;0.031
;;1.38056;C4_43;0.027
;;1.3812;C4_24;0.027
;;1.38152;C4_21;0.103
;;1.38248;C4_23;0.048
;;1.38304;C4_44;0.026
;;1.38368;C4_22;0.02
;;1.3844;C4_21;0.023
;;1.38544;C4_32;0.029
;;1.38704;C4_22;0.054
;;1.39016;C4_21;0.109
;;1.39064;C4_23;0.051
;;1.39136;C4_43;0.109
;;1.39368;C4_23;0.025
;;1.39432;C4_12;0.018
;;1.39448;C4_43;0.018
;;1.39608;C4_32;0.03
;;1.39936;C4_23;0.055
;;1.40232;C4_11;0.044
;;1.40248;C4_23;0.031
;;1.40544;C4_32;0.032
;;1.40552;C4_23;0.028
;;1.40944;C4_12;0.024
;;1.41104;C4_23;0.015
;;1.41848;C4_23;0.034
;;1.41888;C4_32;0.034
;;1.42472;C4_44;0.019
;;1.95904;C4_24;0.107
;;1.96192;C4_24;0.018
;;2.0584;C4_43;0.127
;;2.06664;C4_43;0.117
;;2.06888;C4_43;0.019
;;2.0712;C4_43;0.066
;;2.0736;C4_43;0.011
;;2.07832;C4_43;0.04
;;2.08056;C4_43;0.016
;;2.32024;C4_24;0.064
;;2.32256;C4_24;0.016
;;2.634;C4_24;0.06
;;2.63656;C4_24;0.012
;;2.95416;C4_24;0.063
;;2.9568;C4_24;0.013
;;3.11392;C4_44;0.016
;;3.12848;C4_24;0.051
;;3.13128;C4_24;0.013
;;3.13464;C4_44;0.019
;;3.17336;C4_23;0.211
;;3.19024;C4_24;0.023
;;3.49792;C4_24;0.051
;;3.78408;C4_24;0.066
;;3.78744;C4_24;0.018
;;3.88784;C4_44;0.018
;;3.89032;C4_44;0.018
;;3.90264;C4_24;0.031
;;3.94536;C4_23;0.038
;;3.94592;C4_44;0.032
;;3.94704;C4_32;0.038
;;3.94856;C4_24;0.031
;;3.94952;C4_23;0.021
;;3.95288;C4_44;0.035
;;4.05304;C4_44;0.022
;;4.17928;C4_22;0.017
;;4.1944;C4_44;0.031
;;4.20816;C4_44;0.03
;;4.21072;C4_33;0.02
;;4.21584;C4_44;0.028
;;4.21736;C4_22;0.026
;;4.21888;C4_31;0.017
;;4.22048;C4_44;0.034
;;4.22168;C4_43;0.032
;;4.22248;C4_11;0.037
;;4.22376;C4_32;0.032
;;4.2244;C4_23;0.491
;;4.22448;C4_33;0.023
;;4.22488;C4_24;0.073
;;4.22632;C4_11;0.035
;;4.22712;C4_12;0.035
;;4.22736;C4_24;0.018
;;4.2276;C4_32;0.034
;;4.22784;C4_22;0.059
;;4.22856;C4_11;0.051
;;4.22984;C4_21;0.03
;;4.22992;C4_33;0.015
;;4.23;C4_23;0.04
;;4.23048;C4_22;0.015
;;4.23064;C4_12;0.035
;;4.2308;C4_32;0.03
;;4.23136;C4_44;0.03
;;4.23248;C4_23;0.224
;;4.23312;C4_32;0.011
;;4.23392;C4_13;0.022
;;4.23408;C4_22;0.018
;;4.2344;C4_12;0.043
;;4.23456;C4_24;0.064
;;4.2368;C4_23;0.029
;;4.23688;C4_14;0.018
;;4.23704;C4_21;0.119
;;4.23712;C4_43;0.021
;;4.23752;C4_22;0.03
;;4.23848;C4_44;0.023
;;4.2392;C4_32;0.034
;;4.24016;C4_23;0.043
;;4.24208;C4_22;0.025
;;4.24208;C4_32;0.017
;;4.24208;C4_43;0.035
;;4.24232;C4_12;0.028
;;4.24256;C4_23;0.173
;;4.2436;C4_11;0.048
;;4.2436;C4_24;0.053
;;4.24368;C4_44;0.039
;;4.24432;C4_21;0.024
;;4.24432;C4_43;0.018
;;4.24472;C4_12;0.052
;;4.24488;C4_23;0.344
;;4.24504;C4_32;0.027
;;4.2452;C4_22;0.037
;;4.24616;C4_24;0.05
;;4.24624;C4_44;0.023
;;4.24712;C4_21;0.114
;;4.24744;C4_34;0.016
;;4.24768;C4_22;0.084
;;4.24768;C4_23;0.05
;;4.24928;C4_42;0.018
;;4.24928;C4_44;0.033
;;4.24936;C4_32;0.034
;;4.24992;C4_21;0.025
;;4.25008;C4_23;0.072
;;4.25048;C4_22;0.013
;;4.25064;C4_24;0.023
;;4.25096;C4_43;0.021
;;4.25168;C4_42;0.017
;;4.25224;C4_12;0.047
;;4.25232;C4_23;0.248
;;4.25272;C4_21;0.114
;;4.25304;C4_24;0.044
;;4.2536;C4_11;0.052
;;4.25368;C4_43;0.022
;;4.25392;C4_22;0.035
;;4.25392;C4_34;0.019
;;4.25456;C4_44;0.031
;;4.25472;C4_12;0.019
;;4.2552;C4_42;0.019
;;4.25552;C4_23;0.059
;;4.25624;C4_32;0.038
;;4.25704;C4_22;0.019
;;4.25704;C4_43;0.149
;;4.25744;C4_21;0.104
;;4.25824;C4_23;0.027
;;4.25872;C4_12;0.023
;;4.25992;C4_43;0.019
;;4.26;C4_21;0.021
;;4.26008;C4_24;0.023
;;4.26024;C4_44;0.032
;;4.26032;C4_11;0.042
;;4.26168;C4_12;0.042
;;4.26176;C4_32;0.02
;;4.26208;C4_23;0.065
;;4.26224;C4_21;0.036
;;4.26224;C4_43;0.03
;;4.2632;C4_34;0.019
;;4.26336;C4_44;0.019
;;4.26368;C4_22;0.038
;;4.26448;C4_21;0.106
;;4.26456;C4_24;0.033
;;4.26456;C4_32;0.031
;;4.26464;C4_23;0.167
;;4.26616;C4_44;0.028
;;4.26672;C4_12;0.02
;;4.26808;C4_22;0.017
;;4.26896;C4_23;0.052
;;4.26928;C4_33;0.023
;;4.26984;C4_24;0.029
;;4.27008;C4_21;0.102
;;4.27048;C4_22;0.038
;;4.2708;C4_32;0.036
;;4.27168;C4_23;0.082
;;4.27216;C4_12;0.051
;;4.27248;C4_44;0.022
;;4.2728;C4_24;0.037
;;4.27352;C4_32;0.022
;;4.27432;C4_21;0.018
;;4.27472;C4_22;0.029
;;4.27488;C4_12;0.022
;;4.27568;C4_44;0.02
;;4.27576;C4_23;0.06
;;4.27624;C4_11;0.015
;;4.27696;C4_22;0.023
;;4.27696;C4_32;0.033
;;4.27712;C4_21;0.101
;;4.27792;C4_43;0.086
;;4.2784;C4_34;0.018
;;4.27888;C4_23;0.021
;;4.27912;C4_11;0.027
;;4.27936;C4_24;0.024
;;4.27976;C4_22;0.028
;;4.28024;C4_32;0.02
;;4.28152;C4_34;0.023
;;4.2816;C4_43;0.023
;;4.28224;C4_21;0.098
;;4.28264;C4_23;0.067
;;4.28344;C4_32;0.026
;;4.28416;C4_12;0.046
;;4.28416;C4_44;0.017
;;4.2852;C4_23;0.243
;;4.28544;C4_24;0.06
;;4.28648;C4_22;0.03
;;4.28768;C4_44;0.029
;;4.28816;C4_23;0.079
;;4.2884;C4_21;0.11
;;4.2888;C4_22;0.055
;;4.28928;C4_32;0.03
;;4.28952;C4_43;0.131
;;4.29064;C4_23;0.034
;;4.29192;C4_43;0.032
;;4.29248;C4_22;0.025
;;4.29344;C4_21;0.013
;;4.29416;C4_23;0.064
;;4.2944;C4_43;0.019
;;4.29464;C4_32;0.029
;;4.29664;C4_21;0.108
;;4.29784;C4_23;0.017
;;4.2996;C4_32;0.027
;;4.30232;C4_44;0.02
;;4.30464;C4_23;0.053
;;4.30528;C4_44;0.021
;;4.3056;C4_43;0.12
;;4.30576;C4_32;0.023
;;4.30648;C4_21;0.109
;;4.30784;C4_44;0.033
;;4.30792;C4_43;0.021
;;4.308;C4_23;0.019
;;4.31056;C4_21;0.016
;;4.3112;C4_22;0.021
;;4.31296;C4_43;0.018
;;4.31328;C4_21;0.108
;;4.31352;C4_11;0.04
;;4.3136;C4_23;0.037
;;4.31456;C4_32;0.029
;;4.31512;C4_22;0.022
;;4.31512;C4_42;0.018
;;4.31584;C4_21;0.021
;;4.31616;C4_23;0.249
;;4.31624;C4_12;0.045
;;4.3164;C4_24;0.067
;;4.318;C4_44;0.02
;;4.31816;C4_22;0.039
;;4.31872;C4_24;0.03
;;4.31952;C4_21;0.072
;;4.31952;C4_23;0.021
;;4.32096;C4_44;0.039
;;4.32112;C4_43;0.022
;;4.32256;C4_21;0.014
;;4.3228;C4_22;0.02
;;4.32312;C4_23;0.074
;;4.32472;C4_43;0.112
;;4.3248;C4_24;0.028
;;4.32536;C4_32;0.03
;;4.32544;C4_12;0.047
;;4.32568;C4_23;0.201
;;4.326;C4_21;0.016
;;4.32816;C4_43;0.027
;;4.32912;C4_23;0.032
;;4.3292;C4_44;0.019
;;4.32928;C4_21;0.106
;;4.32968;C4_22;0.024
;;4.32992;C4_12;0.023
;;4.33088;C4_32;0.03
;;4.33136;C4_23;0.087
;;4.33248;C4_11;0.053
;;4.33248;C4_24;0.02
;;4.33352;C4_21;0.025
;;4.33424;C4_23;0.026
;;4.33488;C4_11;0.018
;;4.33576;C4_43;0.019
;;4.33608;C4_12;0.019
;;4.33608;C4_21;0.112
;;4.33864;C4_24;0.022
