Investigator,,Time (s),Electrode,Amplitude (mV)
,,00003.792480,D2_33,0.048
,,00003.795200,D2_33,0.012
,,00003.814480,D2_13,0.011
,,00003.890240,D2_33,0.051
,,00003.911920,D2_33,0.011
,,00003.918480,D2_42,0.012
,,00003.918560,D2_13,0.014
,,00004.002160,D2_12,0.016
,,00004.006000,D2_33,0.053
,,00004.017520,D2_13,0.016
,,00004.030880,D2_14,0.02
,,00004.064480,D2_12,0.011
,,00004.088240,D2_13,0.014
,,00004.099120,D2_33,0.049
,,00004.113840,D2_42,0.011
,,00004.169600,D2_42,0.014
,,00004.182240,D2_23,0.009
,,00004.185360,D2_33,0.05
,,00004.206560,D2_13,0.015
,,00004.222160,D2_42,0.011
,,00004.233360,D2_23,0.01
,,00004.269280,D2_33,0.047
,,00004.341920,D2_42,0.012
,,00004.345120,D2_13,0.013
,,00004.354400,D2_33,0.05
,,00004.419600,D2_42,0.012
,,00004.441840,D2_13,0.012
,,00004.445360,D2_33,0.047
,,00004.480400,D2_42,0.012
,,00004.492640,D2_13,0.011
,,00004.527760,D2_12,0.013
,,00004.539520,D2_42,0.011
,,00004.548480,D2_33,0.051
,,00004.558720,D2_13,0.014
,,00004.587600,D2_12,0.014
,,00004.602480,D2_42,0.013
,,00004.657760,D2_12,0.014
,,00004.659200,D2_13,0.011
,,00004.661120,D2_33,0.052
,,00004.742160,D2_33,0.049
,,00004.785440,D2_42,0.013
,,00004.830640,D2_33,0.051
,,00004.858240,D2_13,0.011
,,00004.921680,D2_33,0.046
,,00004.958160,D2_13,0.012
,,00004.966240,D2_12,0.012
,,00004.973200,D2_42,0.017
,,00005.008240,D2_13,0.014
,,00005.008800,D2_33,0.048
,,00005.035920,D2_42,0.012
,,00005.064720,D2_12,0.014
,,00005.093120,D2_33,0.052
,,00005.097360,D2_42,0.013
,,00005.105600,D2_23,0.011
,,00005.116160,D2_12,0.017
,,00005.119760,D2_12,0.011
,,00005.180080,D2_33,0.047
,,00005.223360,D2_42,0.011
,,00005.238800,D2_13,0.013
,,00005.268000,D2_33,0.049
,,00005.284720,D2_13,0.013
,,00005.286800,D2_42,0.014
,,00005.348960,D2_12,0.014
,,00005.352880,D2_42,0.013
,,00005.374800,D2_13,0.01
