Investigator,,Time (s),Electrode,Amplitude (mV)
,,00007.260880,C4_34,0.054
,,00007.261440,C4_13,0.033
,,00007.261440,C4_33,0.096
,,00007.261520,C4_12,0.018
,,00007.261520,C4_23,0.029
,,00007.262640,C4_42,0.089
,,00007.263040,C4_44,0.018
,,00007.263440,C4_34,0.185
,,00007.263920,C4_33,0.095
,,00007.264240,C4_23,0.036
,,00007.264320,C4_43,0.014
,,00007.265520,C4_42,0.104
,,00007.265680,C4_31,0.01
,,00007.265760,C4_32,0.022
,,00007.265760,C4_44,0.022
,,00007.266000,C4_34,0.141
,,00007.266160,C4_33,0.077
,,00007.267120,C4_23,0.031
,,00007.268240,C4_31,0.016
,,00007.268240,C4_34,0.062
,,00007.268400,C4_33,0.048
,,00007.268400,C4_42,0.026
,,00007.268640,C4_32,0.021
,,00007.269360,C4_12,0.021
,,00007.269360,C4_13,0.032
,,00007.269760,C4_23,0.042
,,00007.270480,C4_34,0.089
,,00007.270640,C4_33,0.103
,,00007.271120,C4_42,0.083
,,00007.271920,C4_32,0.028
,,00007.272000,C4_23,0.033
,,00007.272800,C4_31,0.015
,,00007.272800,C4_34,0.129
,,00007.273600,C4_33,0.134
,,00007.273680,C4_44,0.058
,,00007.273760,C4_42,0.085
,,00007.274640,C4_32,0.026
,,00007.275440,C4_31,0.014
,,00007.275680,C4_34,0.164
,,00007.275840,C4_13,0.02
,,00007.276000,C4_42,0.054
,,00007.276080,C4_23,0.037
,,00007.276400,C4_33,0.015
,,00007.276960,C4_32,0.024
,,00007.277120,C4_44,0.013
,,00007.278480,C4_34,0.017
,,00007.278720,C4_42,0.045
,,00007.279040,C4_12,0.022
,,00007.279120,C4_33,0.112
,,00007.281040,C4_32,0.051
,,00007.281200,C4_42,0.215
,,00007.281600,C4_34,0.046
,,00007.281760,C4_23,0.028
,,00007.283120,C4_33,0.021
,,00007.283680,C4_31,0.015
,,00007.283920,C4_34,0.182
,,00007.284320,C4_42,0.093
,,00007.284880,C4_44,0.049
,,00007.285920,C4_32,0.021
,,00007.285920,C4_33,0.074
,,00007.286800,C4_34,0.02
,,00007.286960,C4_42,0.054
,,00007.287280,C4_23,0.092
,,00007.287600,C4_44,0.013
,,00007.288480,C4_33,0.022
,,00007.289200,C4_13,0.025
,,00007.289680,C4_42,0.068
,,00007.290000,C4_12,0.015
,,00007.291200,C4_33,0.073
,,00007.291440,C4_44,0.016
,,00007.294080,C4_34,0.161
,,00007.294080,C4_42,0.12
,,00007.295840,C4_33,0.045
,,00007.296720,C4_42,0.038
,,00007.296880,C4_34,0.011
,,00007.297280,C4_31,0.018
,,00007.299680,C4_34,0.041
,,00007.299840,C4_42,0.062
,,00007.300160,C4_33,0.049
,,00007.302960,C4_44,0.02
,,00007.307840,C4_42,0.051
,,00007.311840,C4_42,0.051
,,00007.319680,C4_42,0.068
,,00007.320560,C4_32,0.017
,,00007.322640,C4_42,0.017
,,00007.747680,C4_32,0.021
,,00007.755840,C4_33,0.024
,,00007.801920,C4_42,0.018
,,00007.810480,C4_33,0.02
,,00007.846880,C4_33,0.02
,,00007.936080,C4_31,0.022
,,00008.079040,C4_23,0.021
,,00008.083600,C4_33,0.023
,,00008.108880,C4_32,0.017
,,00008.121200,C4_42,0.016
,,00008.127840,C4_42,0.032
,,00008.148480,C4_32,0.021
,,00008.160400,C4_12,0.026
,,00008.165680,C4_23,0.048
,,00008.174560,C4_42,0.059
,,00008.174960,C4_33,0.02
,,00008.197680,C4_42,0.06
,,00008.200080,C4_42,0.072
,,00008.202880,C4_34,0.031
,,00008.203120,C4_33,0.02
,,00008.206000,C4_42,0.018
,,00008.216000,C4_23,0.022
,,00008.220400,C4_31,0.008
,,00008.220800,C4_42,0.058
,,00008.223840,C4_33,0.061
,,00008.229040,C4_32,0.023
,,00008.229440,C4_31,0.01
,,00008.249840,C4_42,0.058
,,00008.258400,C4_12,0.029
,,00008.273200,C4_12,0.027
,,00008.274400,C4_13,0.032
