Investigator,,Time (s),Electrode,Amplitude (mV)
,,00003.039200,D3_12,0.041
,,00003.039280,D3_32,0.022
,,00003.039280,D3_42,0.039
,,00003.039840,D3_22,0.031
,,00003.040960,D3_11,0.037
,,00003.041120,D3_34,0.024
,,00003.041200,D3_14,0.061
,,00003.041520,D3_13,0.109
,,00003.041760,D3_42,0.039
,,00003.041920,D3_33,0.059
,,00003.042080,D3_22,0.063
,,00003.042160,D3_12,0.031
,,00003.042480,D3_23,0.045
,,00003.043840,D3_13,0.022
,,00003.043840,D3_14,0.069
,,00003.043840,D3_24,0.022
,,00003.043920,D3_11,0.041
,,00003.044160,D3_42,0.03
,,00003.044480,D3_21,0.039
,,00003.044560,D3_33,0.106
,,00003.044560,D3_34,0.029
,,00003.044800,D3_12,0.026
,,00003.044800,D3_23,0.029
,,00003.045760,D3_22,0.069
,,00003.046480,D3_14,0.04
,,00003.046720,D3_11,0.063
,,00003.046880,D3_13,0.012
,,00003.046960,D3_42,0.063
,,00003.047200,D3_24,0.025
,,00003.047360,D3_33,0.042
,,00003.047600,D3_23,0.022
,,00003.048160,D3_12,0.047
,,00003.048560,D3_22,0.068
,,00003.048800,D3_21,0.046
,,00003.049200,D3_14,0.054
,,00003.049200,D3_34,0.021
,,00003.049600,D3_33,0.08
,,00003.050000,D3_11,0.013
,,00003.050320,D3_23,0.039
,,00003.050480,D3_32,0.018
,,00003.050800,D3_13,0.133
,,00003.051120,D3_42,0.02
,,00003.051200,D3_22,0.042
,,00003.051520,D3_12,0.054
,,00003.052000,D3_14,0.061
,,00003.052160,D3_33,0.052
,,00003.052480,D3_11,0.077
,,00003.052480,D3_21,0.028
,,00003.053520,D3_22,0.057
,,00003.053520,D3_23,0.03
,,00003.053520,D3_34,0.023
,,00003.053840,D3_42,0.049
,,00003.054240,D3_12,0.036
,,00003.054720,D3_21,0.032
,,00003.054720,D3_33,0.032
,,00003.055920,D3_11,0.018
,,00003.055920,D3_14,0.024
,,00003.056080,D3_34,0.016
,,00003.056160,D3_22,0.032
,,00003.056160,D3_42,0.041
,,00003.056640,D3_23,0.027
,,00003.056880,D3_13,0.087
,,00003.057040,D3_24,0.017
,,00003.057680,D3_12,0.072
,,00003.058160,D3_11,0.04
,,00003.058400,D3_14,0.051
,,00003.058640,D3_33,0.049
,,00003.058880,D3_23,0.019
,,00003.059040,D3_22,0.043
,,00003.059680,D3_42,0.044
,,00003.060720,D3_12,0.019
,,00003.060880,D3_33,0.042
,,00003.061120,D3_21,0.068
,,00003.061280,D3_11,0.211
,,00003.061360,D3_22,0.036
,,00003.061760,D3_34,0.018
,,00003.062480,D3_42,0.029
,,00003.062560,D3_14,0.036
,,00003.062720,D3_24,0.022
,,00003.063200,D3_33,0.069
,,00003.063760,D3_11,0.039
,,00003.063760,D3_22,0.045
,,00003.064000,D3_23,0.031
,,00003.064400,D3_13,0.128
,,00003.064480,D3_21,0.023
,,00003.065040,D3_12,0.054
,,00003.065040,D3_14,0.038
,,00003.065120,D3_42,0.038
,,00003.065520,D3_31,0.014
,,00003.065840,D3_33,0.046
,,00003.066240,D3_22,0.061
,,00003.066960,D3_13,0.019
,,00003.067040,D3_11,0.091
,,00003.067120,D3_34,0.012
