Investigator,,Time (s),Electrode,Amplitude (mV)
,,00007.776320,C5_42,0.016
,,00007.776880,C5_44,0.018
,,00007.777040,C5_13,0.033
,,00007.777440,C5_22,0.081
,,00007.777600,C5_34,0.017
,,00007.777840,C5_33,0.034
,,00007.778080,C5_24,0.047
,,00007.779760,C5_14,0.017
,,00007.780080,C5_12,0.046
,,00007.780240,C5_33,0.04
,,00007.780320,C5_32,0.02
,,00007.780400,C5_13,0.024
,,00007.780800,C5_34,0.025
,,00007.780880,C5_24,0.049
,,00007.781040,C5_11,0.079
,,00007.781360,C5_22,0.022
,,00007.781840,C5_44,0.026
,,00007.782800,C5_13,0.049
,,00007.782880,C5_42,0.025
,,00007.782880,C5_43,0.026
,,00007.783440,C5_12,0.032
,,00007.783760,C5_33,0.047
,,00007.783840,C5_22,0.084
,,00007.784000,C5_32,0.024
,,00007.784480,C5_44,0.038
,,00007.784960,C5_24,0.015
,,00007.785360,C5_31,0.02
,,00007.785600,C5_13,0.051
,,00007.785680,C5_11,0.04
,,00007.786640,C5_14,0.021
,,00007.786720,C5_33,0.031
,,00007.786800,C5_44,0.063
,,00007.787280,C5_12,0.063
,,00007.787280,C5_32,0.017
,,00007.787680,C5_24,0.014
,,00007.787760,C5_34,0.034
,,00007.788240,C5_22,0.025
,,00007.788800,C5_11,0.069
,,00007.789440,C5_33,0.053
,,00007.789680,C5_13,0.038
,,00007.790400,C5_34,0.019
,,00007.790560,C5_12,0.033
,,00007.790560,C5_32,0.032
,,00007.790880,C5_44,0.018
,,00007.791280,C5_11,0.039
,,00007.791280,C5_22,0.105
,,00007.791360,C5_43,0.023
,,00007.791760,C5_33,0.02
,,00007.791920,C5_24,0.03
,,00007.792320,C5_13,0.036
,,00007.792960,C5_12,0.037
,,00007.793520,C5_42,0.022
,,00007.794000,C5_11,0.144
,,00007.794080,C5_44,0.019
,,00007.794640,C5_24,0.039
,,00007.794800,C5_13,0.043
,,00007.794880,C5_34,0.016
,,00007.794960,C5_22,0.03
,,00007.796000,C5_14,0.019
,,00007.796320,C5_44,0.032
,,00007.796720,C5_11,0.076
,,00007.796720,C5_33,0.032
,,00007.797440,C5_24,0.012
,,00007.797520,C5_22,0.053
,,00007.797760,C5_13,0.035
,,00007.798960,C5_34,0.021
,,00007.799040,C5_11,0.047
,,00007.799440,C5_33,0.019
,,00007.799520,C5_44,0.018
,,00007.800400,C5_22,0.019
,,00007.800560,C5_24,0.025
,,00007.802000,C5_11,0.039
,,00007.802080,C5_13,0.025
,,00007.802800,C5_22,0.079
,,00007.803360,C5_33,0.015
,,00007.804400,C5_44,0.027
,,00007.804560,C5_34,0.025
,,00007.804960,C5_42,0.023
,,00007.805440,C5_13,0.022
,,00007.805520,C5_24,0.035
,,00007.805680,C5_22,0.044
,,00007.806080,C5_33,0.04
,,00007.806240,C5_11,0.159
,,00007.806240,C5_32,0.039
,,00007.806800,C5_34,0.017
,,00007.807920,C5_24,0.024
,,00007.808080,C5_12,0.021
,,00007.808480,C5_44,0.019
,,00007.809360,C5_11,0.049
,,00007.809680,C5_22,0.043
,,00007.810000,C5_13,0.021
,,00007.810080,C5_32,0.016
,,00007.811120,C5_43,0.019
,,00007.813040,C5_13,0.045
,,00007.814400,C5_12,0.022
,,00007.816000,C5_24,0.025
,,00007.816080,C5_22,0.191
,,00007.816400,C5_13,0.024
,,00007.816720,C5_42,0.025
,,00007.817120,C5_12,0.024
,,00007.818320,C5_22,0.029
,,00007.818720,C5_13,0.015
,,00007.818960,C5_24,0.035
,,00007.819440,C5_11,0.131
,,00007.820400,C5_44,0.019
,,00007.821360,C5_32,0.016
,,00007.821920,C5_11,0.016
,,00007.822000,C5_12,0.018
,,00007.822160,C5_22,0.014
,,00007.822160,C5_33,0.045
,,00007.823120,C5_43,0.02
,,00007.823680,C5_34,0.014
,,00007.824320,C5_42,0.019
,,00007.825520,C5_11,0.022
,,00007.829200,C5_11,0.092
,,00007.829680,C5_13,0.021
,,00007.829920,C5_22,0.104
,,00007.831600,C5_43,0.02
,,00007.831680,C5_11,0.025
,,00007.832480,C5_42,0.018
,,00007.832640,C5_13,0.019
,,00007.833200,C5_22,0.029
,,00007.833440,C5_12,0.036
,,00007.834560,C5_11,0.033
,,00007.835200,C5_13,0.032
,,00007.835920,C5_22,0.015
,,00007.836240,C5_12,0.048
,,00007.837600,C5_11,0.029
,,00007.837840,C5_33,0.031
,,00007.837840,C5_44,0.016
,,00007.838640,C5_12,0.013
,,00007.840480,C5_11,0.037
,,00007.840640,C5_42,0.019
,,00007.842480,C5_33,0.051
,,00007.843600,C5_22,0.176
,,00007.843760,C5_42,0.026
,,00007.843840,C5_11,0.174
,,00007.845280,C5_41,0.012
,,00007.846240,C5_22,0.185
,,00007.846240,C5_42,0.023
,,00007.846720,C5_24,0.035
,,00007.846960,C5_11,0.015
,,00007.848640,C5_41,0.013
,,00007.849280,C5_13,0.027
,,00007.849360,C5_24,0.023
,,00007.850160,C5_22,0.062
,,00007.851520,C5_43,0.013
,,00007.852000,C5_33,0.159
,,00007.852480,C5_24,0.039
,,00007.853360,C5_22,0.016
,,00007.854640,C5_33,0.027
,,00007.855120,C5_11,0.014
,,00007.855280,C5_32,0.031
,,00007.855760,C5_24,0.048
,,00007.855920,C5_12,0.033
,,00007.856240,C5_13,0.035
,,00007.856320,C5_42,0.024
,,00007.857360,C5_11,0.045
,,00007.857600,C5_33,0.042
,,00007.858480,C5_12,0.036
,,00007.858720,C5_22,0.124
,,00007.858720,C5_24,0.155
,,00007.860240,C5_23,0.039
,,00007.860560,C5_11,0.023
,,00007.860960,C5_31,0.019
,,00007.860960,C5_41,0.012
,,00007.861040,C5_24,0.142
,,00007.861120,C5_12,0.095
,,00007.861760,C5_33,0.105
,,00007.861840,C5_22,0.036
,,00007.862480,C5_13,0.027
,,00007.862800,C5_11,0.269
,,00007.864320,C5_24,0.097
,,00007.864560,C5_23,0.03
,,00007.864720,C5_33,0.029
,,00007.864800,C5_22,0.011
,,00007.865120,C5_11,0.199
,,00007.865200,C5_13,0.052
,,00007.867120,C5_34,0.015
,,00007.867120,C5_44,0.021
,,00007.867440,C5_13,0.047
,,00007.867440,C5_33,0.031
,,00007.867680,C5_24,0.042
,,00007.867680,C5_32,0.049
,,00007.868160,C5_11,0.348
,,00007.868160,C5_22,0.192
,,00007.868720,C5_42,0.022
,,00007.868880,C5_41,0.013
,,00007.869440,C5_12,0.066
,,00007.869520,C5_44,0.042
,,00007.869600,C5_34,0.03
,,00007.870560,C5_11,0.054
,,00007.870640,C5_32,0.04
,,00007.870640,C5_33,0.205
,,00007.870880,C5_13,0.052
,,00007.870960,C5_24,0.169
,,00007.871200,C5_22,0.036
,,00007.871360,C5_23,0.026
,,00007.871840,C5_12,0.12
,,00007.872080,C5_43,0.02
,,00007.872720,C5_34,0.025
,,00007.872880,C5_32,0.046
,,00007.872880,C5_44,0.162
,,00007.873280,C5_13,0.061
,,00007.873280,C5_24,0.024
,,00007.873280,C5_33,0.069
,,00007.873680,C5_11,0.046
,,00007.874080,C5_12,0.035
,,00007.874320,C5_43,0.038
,,00007.874720,C5_22,0.022
,,00007.874880,C5_42,0.018
,,00007.875360,C5_44,0.01
,,00007.875600,C5_13,0.029
,,00007.875600,C5_24,0.035
,,00007.875600,C5_33,0.044
,,00007.875680,C5_32,0.037
,,00007.876320,C5_11,0.216
,,00007.876960,C5_12,0.107
,,00007.877360,C5_42,0.016
,,00007.877840,C5_24,0.042
,,00007.878080,C5_32,0.016
,,00007.878080,C5_33,0.042
,,00007.878320,C5_13,0.044
,,00007.878720,C5_44,0.017
,,00007.878960,C5_14,0.02
,,00007.879040,C5_22,0.032
,,00007.879120,C5_11,0.095
,,00007.879360,C5_34,0.021
,,00007.880320,C5_32,0.024
,,00007.880480,C5_12,0.031
,,00007.880480,C5_24,0.06
,,00007.880880,C5_33,0.056
,,00007.881360,C5_22,0.054
,,00007.881360,C5_44,0.04
,,00007.881840,C5_11,0.123
,,00007.882000,C5_34,0.018
,,00007.882160,C5_13,0.055
,,00007.882160,C5_43,0.03
,,00007.883120,C5_12,0.013
,,00007.883120,C5_24,0.106
,,00007.883200,C5_42,0.018
,,00007.883280,C5_23,0.021
,,00007.883440,C5_32,0.026
,,00007.883840,C5_44,0.049
,,00007.884080,C5_22,0.02
,,00007.884560,C5_11,0.036
,,00007.885040,C5_13,0.023
,,00007.885280,C5_14,0.019
,,00007.885440,C5_34,0.014
,,00007.885680,C5_24,0.027
,,00007.887040,C5_12,0.019
,,00007.887440,C5_11,0.024
,,00007.888000,C5_13,0.025
,,00007.888000,C5_33,0.025
,,00007.889920,C5_12,0.021
,,00007.890240,C5_44,0.015
,,00007.890320,C5_13,0.02
,,00007.890880,C5_34,0.012
,,00007.891200,C5_33,0.024
,,00007.891280,C5_32,0.017
,,00007.892480,C5_11,0.022
,,00007.892640,C5_24,0.033
,,00007.943600,C5_33,0.05
,,00007.949760,C5_11,0.092
,,00007.949840,C5_31,0.016
,,00007.950560,C5_42,0.016
,,00007.952720,C5_22,0.218
,,00007.952800,C5_11,0.086
,,00007.952800,C5_33,0.049
,,00007.953040,C5_12,0.043
,,00007.953520,C5_42,0.015
,,00007.953600,C5_32,0.018
,,00007.954960,C5_22,0.024
,,00007.955280,C5_11,0.201
,,00007.955760,C5_13,0.02
,,00007.957600,C5_22,0.06
,,00007.958080,C5_11,0.244
,,00007.958160,C5_33,0.023
,,00007.958960,C5_12,0.028
,,00007.960560,C5_22,0.019
,,00007.960640,C5_43,0.048
,,00007.961120,C5_11,0.155
,,00007.961280,C5_12,0.023
,,00007.962880,C5_33,0.09
,,00007.962960,C5_13,0.024
,,00007.963440,C5_32,0.04
,,00007.964560,C5_12,0.056
,,00007.964560,C5_22,0.184
,,00007.964640,C5_42,0.038
,,00007.965600,C5_11,0.045
,,00007.966080,C5_33,0.025
,,00007.966480,C5_44,0.023
,,00007.966560,C5_43,0.046
,,00007.967040,C5_32,0.025
,,00007.967040,C5_42,0.022
,,00007.967600,C5_12,0.103
,,00007.967600,C5_13,0.023
,,00007.968160,C5_22,0.019
,,00007.969040,C5_11,0.063
,,00007.969520,C5_32,0.06
,,00007.969840,C5_33,0.048
,,00007.970000,C5_12,0.055
,,00007.970000,C5_44,0.039
,,00007.970240,C5_43,0.027
,,00007.970640,C5_22,0.192
,,00007.971600,C5_42,0.026
