Investigator,,Time (s),Electrode,Amplitude (mV)
,,00003.835280,D1_22,0.025
,,00003.843920,D1_22,0.042
,,00003.848240,D1_22,0.027
,,00003.851840,D1_22,0.03
,,00003.859520,D1_22,0.045
,,00003.861920,D1_22,0.033
,,00003.864320,D1_22,0.048
,,00003.868560,D1_22,0.035
,,00003.870880,D1_23,0.024
,,00003.873760,D1_22,0.051
,,00003.876160,D1_22,0.018
,,00003.876720,D1_24,0.031
,,00003.883920,D1_22,0.042
,,00003.887360,D1_22,0.027
,,00003.890560,D1_22,0.038
,,00003.919360,D1_22,0.017
,,00004.234400,D1_22,0.026
,,00004.250240,D1_22,0.031
,,00004.252720,D1_22,0.017
,,00004.255360,D1_22,0.034
,,00004.258160,D1_22,0.034
,,00004.260640,D1_22,0.019
,,00004.263360,D1_23,0.024
,,00004.263680,D1_22,0.027
,,00004.269040,D1_22,0.033
,,00004.270000,D1_24,0.029
,,00004.271760,D1_22,0.053
,,00004.274560,D1_22,0.031
,,00004.275200,D1_24,0.025
,,00004.277520,D1_22,0.023
,,00004.281040,D1_22,0.036
,,00004.283200,D1_24,0.139
,,00004.283520,D1_22,0.025
,,00004.285840,D1_24,0.015
,,00004.286720,D1_22,0.018
,,00004.289200,D1_22,0.011
,,00004.295200,D1_22,0.032
,,00004.297520,D1_22,0.026
,,00004.321040,D1_22,0.017
,,00004.323440,D1_22,0.029
,,00004.657920,D1_22,0.025
,,00004.671440,D1_22,0.019
,,00004.675440,D1_22,0.028
,,00004.679920,D1_23,0.023
,,00004.680000,D1_22,0.036
,,00004.684960,D1_22,0.05
,,00004.687440,D1_22,0.034
,,00004.691280,D1_22,0.027
,,00004.699360,D1_22,0.029
,,00004.699760,D1_24,0.027
,,00004.705520,D1_22,0.027
,,00004.716160,D1_22,0.034
,,00004.718560,D1_22,0.019
,,00004.746640,D1_23,0.023
,,00005.092480,D1_22,0.027
,,00005.101760,D1_22,0.029
,,00005.105280,D1_22,0.022
,,00005.110480,D1_22,0.024
,,00005.113840,D1_22,0.038
,,00005.116400,D1_22,0.044
,,00005.118800,D1_23,0.029
,,00005.118960,D1_22,0.017
,,00005.125200,D1_22,0.041
,,00005.126640,D1_24,0.028
,,00005.127600,D1_22,0.036
,,00005.136320,D1_22,0.035
,,00005.138720,D1_22,0.029
,,00005.141040,D1_22,0.026
,,00005.143600,D1_22,0.023
,,00005.146160,D1_22,0.016
,,00005.473040,D1_22,0.02
,,00005.483440,D1_22,0.027
,,00005.488560,D1_22,0.022
,,00005.492960,D1_22,0.06
,,00005.495840,D1_22,0.032
,,00005.498320,D1_22,0.046
,,00005.502240,D1_22,0.031
,,00005.504800,D1_22,0.035
,,00005.507360,D1_22,0.024
,,00005.507680,D1_23,0.026
,,00005.510080,D1_22,0.043
,,00005.513840,D1_24,0.028
,,00005.513920,D1_22,0.032
,,00005.516240,D1_22,0.017
,,00005.519360,D1_22,0.029
,,00005.523440,D1_22,0.022
,,00005.527440,D1_22,0.035
,,00005.530720,D1_22,0.022
,,00005.880960,D1_22,0.033
,,00005.888080,D1_22,0.021
,,00005.893520,D1_22,0.02
,,00005.898640,D1_22,0.083
,,00005.901920,D1_22,0.025
,,00005.904240,D1_22,0.024
,,00005.907600,D1_23,0.029
,,00005.909360,D1_22,0.026
,,00005.911600,D1_24,0.209
,,00005.912160,D1_22,0.033
,,00005.915440,D1_22,0.023
,,00005.920160,D1_24,0.141
,,00005.922160,D1_22,0.044
,,00005.922400,D1_24,0.012
,,00005.924640,D1_22,0.035
,,00005.927200,D1_22,0.016
,,00006.266720,D1_22,0.026
,,00006.275680,D1_22,0.022
,,00006.280800,D1_22,0.024
,,00006.283440,D1_22,0.045
,,00006.287440,D1_22,0.031
,,00006.290640,D1_22,0.058
,,00006.293520,D1_22,0.02
,,00006.297440,D1_22,0.019
,,00006.297920,D1_32,0.017
,,00006.300320,D1_22,0.021
,,00006.303120,D1_22,0.018
,,00006.303200,D1_23,0.027
,,00006.306560,D1_22,0.025
,,00006.307600,D1_24,0.21
,,00006.310080,D1_24,0.015
,,00006.313520,D1_22,0.035
,,00006.315920,D1_22,0.046
,,00006.319040,D1_22,0.023
,,00006.325360,D1_22,0.032
,,00006.360160,D1_22,0.022
,,00006.667600,D1_22,0.026
,,00006.671920,D1_22,0.019
,,00006.674800,D1_22,0.038
,,00006.679600,D1_22,0.023
,,00006.682640,D1_22,0.049
,,00006.686960,D1_22,0.058
,,00006.689120,D1_32,0.02
,,00006.692800,D1_23,0.027
,,00006.694560,D1_22,0.034
,,00006.697680,D1_22,0.025
,,00006.699040,D1_24,0.029
,,00006.700560,D1_22,0.046
,,00006.703680,D1_22,0.048
,,00006.707600,D1_22,0.045
,,00006.723920,D1_22,0.053
,,00006.728960,D1_22,0.008
,,00006.740160,D1_22,0.019
,,00007.081280,D1_22,0.022
,,00007.088800,D1_22,0.022
,,00007.094640,D1_22,0.033
,,00007.099360,D1_22,0.019
,,00007.102000,D1_22,0.038
,,00007.105520,D1_22,0.027
,,00007.108160,D1_22,0.033
,,00007.111360,D1_22,0.051
,,00007.113440,D1_23,0.021
,,00007.117680,D1_22,0.038
,,00007.117760,D1_24,0.027
,,00007.120080,D1_22,0.032
,,00007.126400,D1_22,0.037
,,00007.128640,D1_22,0.027
,,00007.465760,D1_22,0.024
,,00007.468480,D1_22,0.014
,,00007.481120,D1_22,0.026
,,00007.484800,D1_22,0.027
,,00007.488320,D1_22,0.021
,,00007.492400,D1_22,0.026
,,00007.497440,D1_22,0.06
,,00007.499680,D1_22,0.03
,,00007.503680,D1_32,0.021
,,00007.503840,D1_22,0.029
,,00007.506160,D1_22,0.019
,,00007.508160,D1_23,0.025
,,00007.509520,D1_31,0.018
,,00007.510000,D1_22,0.034
,,00007.513360,D1_22,0.048
,,00007.513840,D1_24,0.033
,,00007.516480,D1_22,0.041
,,00007.519760,D1_22,0.045
,,00007.524880,D1_22,0.024
,,00007.533680,D1_24,0.142
,,00007.536080,D1_12,0.02
,,00007.536160,D1_24,0.012
,,00007.539840,D1_13,0.025
,,00007.543360,D1_13,0.022
,,00007.545360,D1_12,0.017
,,00007.547680,D1_13,0.04
,,00007.548240,D1_12,0.021
,,00007.548320,D1_22,0.022
