Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,D18_POSTsiembre_P1_C2_(I),00000.014480,C2_23,0.087
Description,,00000.254960,C2_23,0.09
Maestro Edge (Maestro-091) Settings,,00000.526560,C2_41,0.011
   Original File Time,04/23/2024 12:02:57,00000.657040,C2_23,0.091
   Sampling Frequency,12.5 kHz,00001.541280,C2_23,0.097
   Voltage Scale,-5.484861781483107E-08 V/sample,00001.871120,C2_23,0.094
   Experiment Start Time,04/23/2024 11:30:21,00002.156320,C2_23,0.097
   Referencing Method,Median,00002.492160,C2_23,0.094
   Analog Mode Setting,Neural Spikes,00002.813440,C2_23,0.091
   Plate Type,CytoView MEA 24,00003.173520,C2_23,0.092
   Digital Low Pass Filter,3 kHz Kaiser Window,00003.560160,C2_23,0.091
   Digital High Pass Filter,200 Hz IIR,00003.935360,C2_23,0.091
   Temperature Set Point,37.0 Degrees C,00004.836400,C2_23,0.09
   Current Temperature,37.1 Degrees C,00004.839680,C2_23,0.019
   Heater Power,On,00005.241520,C2_43,0.03
   Legacy Heating Mode,Off,00005.242320,C2_23,0.03
   Barcode Plate Type,TwentyFourWell,00005.243840,C2_12,0.023
   Plate Serial Number,114-3632,00005.244800,C2_14,0.026
   CO2 Conc. Set Point,5.0 %,00005.244960,C2_23,0.03
   Actual CO2 Conc.,4.9 %,00005.246160,C2_12,0.035
   Gas Mixer Status,Regulating,00005.247440,C2_43,0.029
   AxIS Version,3.10.3.6,00005.248000,C2_14,0.029
   Maestro Edge (Maestro-091) Firmware,3.6.2.2,00005.248560,C2_12,0.039
   Maestro Edge (Maestro-091) BioCore Version,BioCore 4B,00005.248640,C2_23,0.101
,,00005.250160,C2_33,0.04
Spike Detector Settings,,00005.250400,C2_14,0.043
   Method,Adaptive Threshold Crossing,00005.250400,C2_31,0.036
   Threshold,6,00005.250640,C2_43,0.045
   Threshold Status,Variable,00005.251040,C2_12,0.03
   Threshold Crossing Only,True,00005.251360,C2_32,0.086
   Pre-Spike Duration,0.84 ms,00005.251680,C2_23,0.076
   Post-Spike Duration,2.16 ms,00005.251840,C2_44,0.042
   Coincident Event Filter,Default (Well),00005.252640,C2_33,0.091
   Coincidence Occurrence Threshold,4 Electrodes,00005.252880,C2_14,0.188
   Coincidence Event Window,80 µs,00005.253360,C2_31,0.049
   Allow Sample Overlap,false,00005.253600,C2_32,0.042
   Spike Count Interval,1 s,00005.253680,C2_43,0.064
,,00005.253760,C2_12,0.106
,,00005.254240,C2_22,0.031
,,00005.254240,C2_44,0.025
