Investigator,,Time (s),Electrode,Amplitude (mV)
,,00002.744000,A4_13,0.12
,,00002.744160,A4_31,0.707
,,00002.744560,A4_14,0.172
,,00002.744720,A4_23,0.24
,,00002.744720,A4_32,0.061
,,00002.744800,A4_44,0.022
,,00002.744880,A4_22,0.127
,,00002.744880,A4_33,0.13
,,00002.744880,A4_42,0.117
,,00002.745200,A4_41,0.014
,,00002.745360,A4_43,0.05
,,00002.746000,A4_12,0.042
,,00002.746400,A4_13,0.121
,,00002.746560,A4_31,0.087
,,00002.747120,A4_42,0.091
,,00002.747200,A4_14,0.092
,,00002.747280,A4_23,0.164
,,00002.747360,A4_44,0.025
,,00002.747440,A4_22,0.101
,,00002.747600,A4_24,0.033
,,00002.747920,A4_43,0.025
,,00002.748000,A4_32,0.057
,,00002.748880,A4_12,0.085
,,00002.749120,A4_33,0.053
,,00002.749280,A4_31,0.5
,,00002.749520,A4_14,0.049
,,00002.749680,A4_13,0.087
,,00002.750080,A4_24,0.19
,,00002.750160,A4_42,0.206
,,00002.750160,A4_43,0.052
,,00002.750160,A4_44,0.022
,,00002.750240,A4_23,0.265
,,00002.750880,A4_22,0.172
,,00002.750960,A4_32,0.045
,,00002.751680,A4_31,0.755
,,00002.751840,A4_33,0.041
,,00002.752000,A4_14,0.052
,,00002.752080,A4_12,0.042
,,00002.752080,A4_13,0.187
,,00002.752800,A4_43,0.052
,,00002.753120,A4_22,0.144
,,00002.753200,A4_32,0.058
,,00002.753280,A4_42,0.075
,,00002.753760,A4_44,0.021
,,00002.754080,A4_33,0.066
,,00002.754160,A4_31,0.286
,,00002.754320,A4_23,0.08
,,00002.754400,A4_14,0.083
,,00002.754480,A4_12,0.051
,,00002.754960,A4_13,0.124
,,00002.754960,A4_24,0.078
,,00002.755680,A4_42,0.081
,,00002.756000,A4_43,0.023
,,00002.756240,A4_32,0.035
,,00002.756560,A4_33,0.084
,,00002.756720,A4_31,0.056
,,00002.756880,A4_22,0.136
,,00002.757040,A4_12,0.021
,,00002.757200,A4_23,0.181
,,00002.757280,A4_14,0.053
,,00002.757360,A4_41,0.006
,,00002.758400,A4_13,0.044
,,00002.758560,A4_32,0.026
,,00002.758880,A4_42,0.093
,,00002.759120,A4_22,0.149
,,00002.759440,A4_12,0.048
,,00002.759440,A4_31,0.138
,,00002.759680,A4_14,0.054
,,00002.759760,A4_33,0.029
,,00002.760000,A4_43,0.02
,,00002.760560,A4_24,0.028
,,00002.760800,A4_13,0.029
,,00002.761120,A4_23,0.065
,,00002.761680,A4_12,0.037
,,00002.762080,A4_22,0.077
,,00002.762160,A4_14,0.067
,,00002.762160,A4_32,0.028
,,00002.762240,A4_43,0.025
,,00002.762640,A4_42,0.04
,,00002.762720,A4_11,0.035
,,00002.763200,A4_31,0.068
,,00002.763440,A4_23,0.124
,,00002.763520,A4_33,0.039
,,00002.764400,A4_12,0.029
,,00002.764960,A4_14,0.043
,,00002.765280,A4_13,0.023
,,00002.765440,A4_42,0.055
,,00002.765520,A4_22,0.087
,,00002.765760,A4_31,0.069
,,00002.766240,A4_33,0.041
,,00002.766480,A4_23,0.045
,,00002.767120,A4_32,0.03
,,00002.767760,A4_24,0.033
,,00002.767920,A4_14,0.038
,,00002.768400,A4_42,0.05
,,00002.768640,A4_33,0.029
,,00002.768800,A4_23,0.06
,,00002.768880,A4_11,0.037
,,00002.768960,A4_13,0.084
,,00002.769200,A4_22,0.062
,,00002.770000,A4_31,0.065
,,00002.770240,A4_43,0.028
,,00002.770560,A4_12,0.052
,,00002.770560,A4_14,0.047
,,00002.770640,A4_41,0.013
,,00002.771040,A4_42,0.088
,,00002.771520,A4_13,0.02
,,00002.772160,A4_22,0.128
,,00002.772480,A4_23,0.082
,,00002.772880,A4_24,0.029
,,00002.773120,A4_31,0.08
,,00002.773120,A4_33,0.031
,,00002.773360,A4_14,0.058
,,00002.773680,A4_12,0.025
,,00002.773920,A4_42,0.03
,,00002.774640,A4_13,0.057
,,00002.775360,A4_32,0.03
,,00002.775600,A4_22,0.039
,,00002.775680,A4_31,0.05
,,00002.775760,A4_11,0.037
,,00002.775840,A4_23,0.019
,,00002.775920,A4_14,0.054
,,00002.776080,A4_24,0.029
,,00002.776480,A4_12,0.03
,,00002.776880,A4_13,0.052
,,00002.776880,A4_33,0.04
,,00002.776880,A4_42,0.09
,,00002.777760,A4_32,0.023
,,00002.778560,A4_23,0.066
,,00002.778640,A4_14,0.051
,,00002.778880,A4_22,0.08
,,00002.778880,A4_41,0.014
,,00002.779040,A4_12,0.028
,,00002.779680,A4_31,0.024
,,00002.779840,A4_13,0.015
,,00002.779840,A4_42,0.066
,,00002.779920,A4_33,0.054
,,00002.780160,A4_24,0.027
,,00002.781120,A4_32,0.034
,,00002.781200,A4_14,0.031
,,00002.782240,A4_13,0.063
,,00002.782320,A4_23,0.041
,,00002.782400,A4_22,0.042
,,00002.782400,A4_42,0.046
,,00002.782560,A4_43,0.024
,,00002.783360,A4_32,0.022
,,00002.783360,A4_33,0.025
,,00002.783600,A4_31,0.032
,,00002.784480,A4_24,0.029
,,00002.784880,A4_23,0.11
,,00002.785120,A4_11,0.043
,,00002.785440,A4_14,0.061
,,00002.785680,A4_13,0.04
,,00002.785680,A4_22,0.059
,,00002.785760,A4_42,0.025
,,00002.786000,A4_31,0.049
,,00002.787040,A4_33,0.033
,,00002.787520,A4_12,0.033
,,00002.787920,A4_22,0.053
,,00002.788080,A4_23,0.029
,,00002.788240,A4_32,0.06
,,00002.788320,A4_42,0.026
,,00002.788640,A4_14,0.046
,,00002.789280,A4_13,0.025
,,00002.790800,A4_22,0.079
,,00002.790960,A4_33,0.031
,,00002.791200,A4_14,0.058
,,00002.791680,A4_42,0.036
,,00002.791840,A4_12,0.029
,,00002.793200,A4_22,0.039
,,00002.793440,A4_14,0.069
,,00002.794000,A4_31,0.031
,,00002.794000,A4_42,0.075
,,00002.794240,A4_43,0.02
,,00002.794320,A4_33,0.032
,,00002.795440,A4_13,0.047
,,00002.795440,A4_22,0.053
,,00002.796000,A4_23,0.033
,,00002.796080,A4_14,0.04
,,00002.796800,A4_12,0.062
,,00002.797040,A4_42,0.055
,,00002.797520,A4_32,0.021
,,00002.797920,A4_11,0.041
,,00002.798480,A4_22,0.031
,,00002.798720,A4_33,0.031
,,00002.798880,A4_14,0.022
,,00002.799200,A4_24,0.039
,,00002.799360,A4_23,0.034
,,00002.800160,A4_13,0.02
,,00002.800240,A4_32,0.024
,,00002.800480,A4_42,0.018
,,00002.801280,A4_22,0.05
,,00002.802160,A4_23,0.055
,,00002.802320,A4_14,0.027
,,00002.802320,A4_33,0.034
,,00002.803440,A4_24,0.021
,,00002.803680,A4_42,0.038
,,00002.804480,A4_12,0.031
,,00002.804560,A4_13,0.026
,,00002.805120,A4_23,0.016
,,00002.805760,A4_33,0.02
,,00002.806400,A4_14,0.033
,,00002.806480,A4_32,0.039
,,00002.807360,A4_13,0.031
,,00002.811360,A4_12,0.029
,,00002.811760,A4_42,0.056
,,00002.812240,A4_14,0.044
,,00002.814480,A4_14,0.027
,,00002.814480,A4_42,0.028
,,00002.816480,A4_32,0.02
,,00002.817760,A4_42,0.024
,,00002.821120,A4_42,0.05
,,00002.821280,A4_14,0.03
,,00002.826080,A4_42,0.036
,,00002.836400,A4_42,0.044
,,00002.837680,A4_22,0.025
,,00002.861360,A4_12,0.045
,,00002.874240,A4_42,0.037
,,00002.958640,A4_12,0.046
,,00003.101360,A4_12,0.05
,,00003.104000,A4_12,0.016
,,00003.246560,A4_12,0.053
,,00003.322800,A4_42,0.073
,,00003.325200,A4_42,0.017
,,00003.333520,A4_42,0.064
,,00003.344720,A4_42,0.064
,,00003.357600,A4_42,0.068
,,00003.360080,A4_42,0.018
,,00003.393840,A4_12,0.047
,,00003.531920,A4_12,0.052
,,00003.676320,A4_12,0.048
,,00003.678720,A4_12,0.013
,,00003.775120,A4_42,0.077
,,00003.784480,A4_42,0.068
,,00003.793280,A4_42,0.063
,,00003.803280,A4_42,0.069
,,00003.816320,A4_42,0.059
,,00003.829600,A4_12,0.053
,,00003.830400,A4_42,0.063
,,00003.847840,A4_42,0.054
,,00003.866560,A4_42,0.058
,,00003.987280,A4_12,0.049
,,00004.175440,A4_12,0.058
,,00004.298560,A4_42,0.074
,,00004.307360,A4_42,0.067
,,00004.315040,A4_42,0.06
,,00004.317280,A4_42,0.019
,,00004.326080,A4_42,0.055
,,00004.344160,A4_42,0.062
,,00004.358160,A4_12,0.054
,,00004.360800,A4_12,0.02
,,00004.369040,A4_42,0.066
,,00004.390400,A4_42,0.057
,,00004.400160,A4_32,0.02
,,00004.554160,A4_42,0.089
,,00004.556320,A4_12,0.052
,,00004.556400,A4_42,0.011
,,00004.559120,A4_12,0.013
,,00004.560560,A4_42,0.017
,,00004.919280,A4_42,0.071
,,00004.926800,A4_42,0.067
,,00004.929120,A4_42,0.017
,,00004.935520,A4_42,0.066
,,00004.948080,A4_42,0.059
,,00004.992640,A4_42,0.067
,,00005.006560,A4_42,0.058
,,00005.434560,A4_42,0.075
,,00005.443280,A4_42,0.061
,,00005.452720,A4_42,0.063
,,00005.465280,A4_42,0.061
,,00005.495520,A4_42,0.057
,,00005.497920,A4_42,0.021
,,00005.516000,A4_42,0.055
,,00005.985280,A4_31,0.023
,,00005.985920,A4_42,0.028
,,00005.990960,A4_41,0.015
,,00005.997680,A4_41,0.012
,,00005.997840,A4_31,0.05
,,00005.999920,A4_42,0.039
,,00006.000320,A4_41,0.021
,,00006.002560,A4_31,0.068
,,00006.003200,A4_41,0.008
,,00006.006880,A4_31,0.055
,,00006.007360,A4_42,0.037
,,00006.009040,A4_41,0.018
,,00006.010160,A4_42,0.069
,,00006.011920,A4_41,0.009
,,00006.012080,A4_31,0.035
,,00006.012800,A4_42,0.025
,,00006.014880,A4_12,0.027
,,00006.015600,A4_41,0.012
,,00006.015760,A4_31,0.049
,,00006.016080,A4_42,0.05
,,00006.016640,A4_13,0.125
,,00006.018960,A4_42,0.073
,,00006.020800,A4_31,0.026
,,00006.021280,A4_23,0.046
,,00006.021840,A4_41,0.013
,,00006.022640,A4_22,0.04
,,00006.026960,A4_42,0.092
,,00006.027280,A4_31,0.447
,,00006.029520,A4_31,0.044
,,00006.029840,A4_42,0.029
,,00006.032160,A4_42,0.153
,,00006.032560,A4_31,0.01
,,00006.034560,A4_42,0.064
,,00006.035200,A4_41,0.013
,,00006.036400,A4_31,0.019
,,00006.036960,A4_42,0.127
,,00006.040320,A4_22,0.04
,,00006.040640,A4_31,0.033
,,00006.042000,A4_41,0.01
,,00006.043200,A4_24,0.026
,,00006.044480,A4_42,0.057
,,00006.047600,A4_31,0.023
,,00006.047680,A4_13,0.049
,,00006.047680,A4_42,0.061
,,00006.049120,A4_41,0.014
,,00006.050320,A4_42,0.021
,,00006.050960,A4_13,0.017
,,00006.052160,A4_22,0.087
,,00006.054640,A4_22,0.016
,,00006.054720,A4_42,0.034
,,00006.055680,A4_23,0.139
,,00006.055760,A4_13,0.108
,,00006.056400,A4_41,0.019
,,00006.057360,A4_22,0.036
,,00006.058080,A4_24,0.024
,,00006.058640,A4_13,0.018
,,00006.059280,A4_42,0.064
,,00006.059600,A4_12,0.022
,,00006.059920,A4_41,0.023
,,00006.060400,A4_23,0.07
,,00006.060720,A4_24,0.027
,,00006.061600,A4_42,0.011
,,00006.061760,A4_13,0.038
,,00006.063200,A4_24,0.041
,,00006.063440,A4_22,0.019
,,00006.063440,A4_23,0.016
,,00006.063760,A4_14,0.055
,,00006.064320,A4_42,0.032
,,00006.064480,A4_13,0.027
,,00006.065920,A4_31,0.03
,,00006.066000,A4_41,0.015
,,00006.066240,A4_23,0.059
,,00006.066400,A4_24,0.108
,,00006.067680,A4_14,0.015
,,00006.068400,A4_13,0.269
,,00006.068480,A4_42,0.036
,,00006.068800,A4_24,0.094
,,00006.069360,A4_22,0.023
,,00006.069600,A4_33,0.06
,,00006.070240,A4_14,0.043
,,00006.070800,A4_42,0.06
,,00006.071200,A4_23,0.052
,,00006.071440,A4_13,0.102
,,00006.072080,A4_24,0.035
,,00006.072400,A4_33,0.026
,,00006.073600,A4_14,0.033
,,00006.073760,A4_42,0.162
,,00006.073840,A4_22,0.075
,,00006.074080,A4_23,0.201
,,00006.074080,A4_31,0.03
,,00006.074080,A4_41,0.012
,,00006.074320,A4_12,0.027
,,00006.075040,A4_13,0.237
,,00006.075440,A4_32,0.021
,,00006.075840,A4_14,0.065
,,00006.076000,A4_24,0.041
,,00006.076000,A4_42,0.128
,,00006.076160,A4_33,0.035
,,00006.076480,A4_31,0.092
,,00006.076880,A4_23,0.083
,,00006.077600,A4_13,0.118
,,00006.078400,A4_42,0.051
,,00006.078560,A4_14,0.05
,,00006.078720,A4_12,0.025
,,00006.078720,A4_31,0.067
,,00006.078880,A4_24,0.023
,,00006.079280,A4_32,0.032
,,00006.079680,A4_22,0.051
,,00006.079680,A4_33,0.056
,,00006.079760,A4_43,0.035
,,00006.079840,A4_23,0.096
,,00006.080240,A4_41,0.012
,,00006.080320,A4_13,0.116
,,00006.081120,A4_31,0.432
,,00006.081200,A4_42,0.084
,,00006.081440,A4_14,0.073
,,00006.081600,A4_32,0.046
,,00006.081840,A4_24,0.034
,,00006.082320,A4_23,0.041
,,00006.082400,A4_12,0.046
,,00006.082480,A4_22,0.14
,,00006.082480,A4_44,0.023
,,00006.082800,A4_13,0.1
,,00006.083040,A4_33,0.048
,,00006.083440,A4_41,0.015
,,00006.083920,A4_43,0.034
,,00006.084080,A4_24,0.025
,,00006.084080,A4_42,0.101
,,00006.084320,A4_31,0.054
,,00006.084320,A4_32,0.031
,,00006.084400,A4_14,0.131
,,00006.084880,A4_23,0.466
,,00006.084960,A4_12,0.059
,,00006.085520,A4_13,0.105
,,00006.085840,A4_33,0.052
,,00006.086320,A4_24,0.03
,,00006.086320,A4_41,0.014
,,00006.086400,A4_22,0.09
,,00006.086640,A4_32,0.045
,,00006.087040,A4_42,0.071
,,00006.087120,A4_14,0.089
,,00006.087280,A4_43,0.042
,,00006.087520,A4_31,0.442
,,00006.087680,A4_12,0.037
,,00006.088000,A4_23,0.113
,,00006.088320,A4_13,0.072
,,00006.088480,A4_44,0.022
,,00006.088560,A4_24,0.198
,,00006.088720,A4_33,0.064
,,00006.089040,A4_22,0.132
